No,Name,PTI-IND,IND,TLP,PML-N,Total Votes,Filename
1,1 - Government Girls Elementary School Bakhshi Park TTSingh (Male)-I,500,30,78,302,,
2,2 - Dastkari School Gou Shalla Toba Tek Singh (Female)-I,337,40,49,221,,
3,3 - Government Boys Degree College Toba Tek Singh (Male)-I,195,11,16,112,,
4,4 - Government Boys Degree College Toba Tek Singh (Female)-I,162,17,4,114,,
5,5 - Government Degree College Women Jhang Road TTSingh (OLD BLOCK) (Male)-I,506,35,63,337,,
6,6 - Government Model High School High Portion TTSingh (Female)-I,440,59,48,251,,
7,7 - Government Degree College Women Jhang Road TTSingh (OLD BLOCK) (Male)-II,283,10,21,185,,
8,8 - Government Model High School High Portion TTSingh (Female)-II,260,28,13,116,,
9,9 - Government Girls Primary School VI Raja Park TTSingh (Combined)-I,146,4,6,64,,
10,10 - Government Girls Primary School VI Raja Park TTSingh (Male),367,10,16,213,,
11,11 - Government Girls Primary School VI Raja Park TTSingh (Female)-I,327,25,5,160,,
12,12 - Government Model High School Elementary Portion Jhang Road (Male)-I,487,12,22,315,,
13,13 - Government Model High School Elementary Portion Jhang Road (Female)-I,422,27,29,243,,
14,14 - Government Girls High School II Near Water Works TTSingh (Male)-I,269,7,12,202,,
15,15 - Government Girls High School II Near Water Works TTSingh Female-II,243,27,10,153,,
16,16 - Government Boys Primary School III Gobind Pura Toba Tek Singh (Male)-I,536,8,104,488,,
17,17 - Office of the XEN Highways TTSingh (Female)-I,380,62,34,297,,
18,18 - Government Girls High School Gobind Pura III TTSingh (Male)-I,537,23,41,398,,
19,19 - Office of the XEN Highways TTSingh (Female)-II,445,36,18,266,,
20,20 - office of the SDO Buildings Department  T.TSingh (Male)-I,223,6,9,111,,
21,21 - office of the SDO Buildings Department  T.TSingh Male-III,338,19,21,226,,
22,22 - Government Model Primary School Faiz Colony TTSingh (Female)-I,252,35,6,182,,
23,23 - Government Model Primary School Faiz Colony TTSingh (Female)-II,188,13,6,91,,
24,24 - Office of the Assistant Agriculture District Authority Near Railway Station TTSingh (Male)-I,408,25,29,304,,
25,25 - Government Boys Elementary School Housing Colony No.1 Toba Tek Singh (Female)-I,380,37,14,201,,
26,26 - Government Girls Jafferia High School Front Portion TTSingh (Male)-I,229,16,21,351,,
27,27 - Government Girls Jafferia High School Back Portion (Female)-I,198,36,9,321,,
28,28 - Government Boys Elementary School (IQRA Elementary Portion) Bakhshi Park Gou Shalla Road Toba Tek Singh (Male)-I,550,32,64,372,,
29,29 - Government Boys Elementary School (IQRA Elementary Portion) Bakhshi Park Gou Shalla Road Toba Tek Singh (Female)-I,406,57,42,305,,
30,30 - Government Boys Islamia Secondary School Old Portion TTSingh (Male)-I,258,23,20,191,,
31,31 - Government Boys Islamia Secondary School New Portion Toba Tek Singh (Male)-I,447,18,39,285,,
32,32 - Government Girls High School No.1 Eid Gah Road TTSingh (Female)-I,354,28,14,196,,
33,33 - Government Girls High School No.1 Eid Gah Road TTSingh (Female)-II,205,33,9,113,,
34,34 - Government Girls Latif High School New Portion TTSingh (Combined)-I,368,26,38,248,,
35,35 - Government Latif High School Old Portion TTSingh (Male)-I,279,16,21,213,,
36,36 - Government Girls Latif High School New Portion TTSingh (Female)-I,197,23,14,157,,
