No,Name,PTI-IND,IPP,TLP,Total Votes,Filename
1,1,373,275,126,,
2,2,258,164,63,,
3,3,258,162,40,,
4,4,288,307,87,,
5,5,383,349,70,,
6,6,203,166,42,,
7,7,197,247,42,,
8,8,298,260,96,,
9,9,231,200,92,,
10,10,276,193,50,,
11,11,113,129,37,,
12,12,247,317,94,,
13,13,150,200,42,,
14,14,370,294,116,,
15,15,269,229,114,,
16,16,202,187,50,,
17,17,201,142,36,,
18,18,386,272,111,,
19,19,321,178,44,,
20,20,535,277,207,,
21,21,325,141,54,,
22,22,448,273,77,,
23,23,370,356,89,,
24,24,233,243,40,,
25,25,400,334,109,,
26,26,283,346,42,,
27,27,149,79,34,,
28,28,263,376,69,,
29,29,173,156,87,,
30,30,242,288,80,,
31,31,299,219,83,,
32,32,206,116,23,,
33,33,311,234,146,,
34,34,252,154,74,,
35,35,500,234,96,,
36,36,339,146,30,,
37,37,352,205,99,,
38,38,290,134,51,,
39,39,356,241,69,,
40,40,272,157,54,,
41,41,284,181,123,,
42,42,173,65,43,,
43,43,322,138,69,,
44,44,315,173,104,,
45,45,566,313,168,,
46,46,445,215,61,,
47,47,359,234,136,,
48,48,250,131,49,,
49,49,217,576,162,,
50,50,132,332,80,,
51,51,294,141,81,,
52,52,131,61,29,,
53,53,425,250,103,,
54,54,290,177,50,,
55,55,189,1229,27,,
56,56,327,271,58,,
57,57,290,157,95,,
58,58,154,110,52,,
59,59,368,187,113,,
60,60,238,132,58,,
61,61,208,179,185,,
62,62,132,134,79,,
63,63,393,235,178,,
64,64,244,185,103,,
65,65,466,287,154,,
66,66,245,179,62,,
67,67,234,130,47,,
68,68,409,354,220,,
69,69,243,275,98,,
70,70,99,61,60,,
71,71,279,291,258,,
72,72,363,318,233,,
73,73,200,279,78,,
74,74,172,261,143,,
75,75,219,149,133,,
76,76,164,103,90,,
77,77,183,86,66,,
78,78,120,197,84,,
79,79,254,250,197,,
80,80,115,672,118,,
81,81,272,180,196,,
82,82,197,144,132,,
83,83,203,245,140,,
84,84,114,208,59,,
85,85,143,231,98,,
86,86,113,307,65,,
87,87,87,229,36,,
88,88,187,175,219,,
89,89,210,290,235,,
90,90,133,192,97,,
91,91,254,343,211,,
92,92,173,252,100,,
93,93,288,126,85,,
94,94,406,269,104,,
95,95,298,144,47,,
96,96,440,320,211,,
97,97,402,213,136,,
98,98,249,167,101,,
99,99,294,195,139,,
100,100,212,152,247,,
101,101,150,138,164,,
102,102,225,190,186,,
103,103,115,182,310,,
104,104,191,149,391,,
105,105,74,85,143,,
106,106,211,110,49,,
107,107,103,226,267,,
108,108,130,134,144,,
109,109,139,198,81,,
110,110,410,280,140,,
111,111,283,203,61,,
112,112,224,97,66,,
113,113,389,269,168,,
114,114,197,110,45,,
115,115,245,184,63,,
116,116,226,156,109,,
117,117,294,222,118,,
118,118,210,140,49,,
119,119,369,182,115,,
120,120,211,110,49,,
121,121,406,337,158,,
122,122,389,362,178,,
123,123,267,265,70,,
124,124,278,164,18,,
125,125,414,235,110,,
126,126,515,281,190,,
127,127,360,156,127,,
128,128,257,206,95,,
129,129,373,236,171,,
130,130,243,167,71,,
131,131,288,192,98,,
132,132,410,325,175,,
133,133,259,206,61,,
134,134,196,171,192,,
135,135,177,198,146,,
136,136,259,284,183,,
137,137,199,265,115,,
138,138,152,266,90,,
139,139,132,209,145,,
140,140,105,213,269,,
141,141,166,348,198,,
142,142,230,305,190,,
143,143,147,232,88,,
144,144,86,157,141,,
145,145,190,254,331,,
146,146,99,224,178,,
147,147,496,171,263,,
148,148,521,274,234,,
149,149,276,214,107,,
150,150,330,233,274,,
151,151,233,141,156,,
152,152,336,303,335,,
153,153,192,216,138,,
154,154,289,219,119,,
155,155,209,284,173,,
156,156,165,93,179,,
157,157,196,286,143,,
158,158,212,289,89,,
159,159,307,333,96,,
160,160,177,221,38,,
161,161,270,269,143,,
162,162,390,339,207,,
163,163,392,280,133,,
164,164,279,115,70,,
165,165,448,343,168,,
166,166,310,242,91,,
167,167,343,198,99,,
168,168,345,201,127,,
169,169,323,180,107,,
170,170,350,186,62,,
171,171,278,209,134,,
172,172,282,121,66,,
173,173,150,131,56,,
174,174,152,144,62,,
175,175,235,145,62,,
