No,Name,PML-N,PTI-IND,PPP,TLP,JIP,Total Votes,Filename
1,1-Defence Lyceum Main Ghazi Road Walton Cantt Lahore (Combined)-II,354,254,32,73,29,,
2,2-Defence Lyceum Main Ghazi Road Walton Cantt Lahore (Male)-I,323,257,0,0,0,,
3,3-Defence Lyceum Main Ghazi Road Walton Cantt Lahore (Female)-I,205,169,23,44,6,,
4,4-Defence Lyceum Main Ghazi Road Walton Cantt Lahore (Male)-II,254,194,23,84,16,,
5,5-Defence Lyceum Main Ghazi Road Walton Cantt Lahore (Female)-II,129,123,23,26,3,,
6,6-Govt. Girls Primary School Bulhe Shah Amar Sidhu Lahore (Male) (Male)-I,258,208,26,103,20,,
7,7-BRICS School System XX Block DHA Phase 3 Walton Cantt Lahore (Female)-I,0,0,0,0,0,,
8,8-Allied School System Qainchi Amar Sidhu Walton Cantt Lahore (Male)-I,414,367,40,170,40,,
9,9-Allied School System Qainchi Amar Sidhu Walton Cantt Lahore (Female)-I,189,249,52,64,15,,
10,10-Allied School Qainchi Amer Sidhu Hasnain Building main feroze pur Lahore (Male)-I,197,265,29,127,16,,
11,11-Allied School Qainchi Amer Sidhu Hasnain Building main feroze pur Lahore (Female)-I,155,188,30,58,12,,
12,"12-F.G. Girls Middle School, Doctor Ishaq Chowk, Madina Colony Kainchi Amar Sidhu Walton Cantt Lahore (Combined)-I",169,162,20,133,8,,
13,"13-F.G. Girls Middle School, Doctor Ishaq Chowk, Madina Colony Kainchi Amar Sidhu Walton Cantt Lahore (Male)-I",251,190,49,0,16,,
14,"14-F.G. Girls Middle School, Doctor Ishaq Chowk, Madina Colony Kainchi Amar Sidhu Walton Cantt Lahore (Female)-I",152,148,66,66,12,,
15,"15-Govt. Elementary School , Madina Colony Amar Sidhu (Eid Gah), Walton Cantt Lahore (Combined)-I",316,243,74,214,8,,
16,"16-Govt. Elementary School, Madina Colony Amar Sidhu (Eid Gah), Walton Cantt (Combined) I",0,0,0,0,0,,
17,"17-Govt. Elementary School , Madina Colony Amar Sidhu (Eid Gah), Walton Cantt Lahore (Combined)-II",0,0,0,0,0,,
18,"18-Govt. Elementary School , Madina Colony Amar Sidhu (Eid Gah), Walton Cantt Lahore (Combined)-III",220,123,46,109,4,,
19,19-City District Government Boys High School OPP PEL Ferozepur Road Lahore (Male)-I,356,374,82,75,21,,
20,20-City District Government Boys High School OPP PEL Ferozepur Road Lahore (Female)-I,276,226,69,30,19,,
21,21-City District Government Girls High School Bostan Colony (Male)-I,427,483,83,132,0,,
22,22-City District Government Girls High School Bostan Colony (Female)-I,259,356,126,57,12,,
23,23-The Modern Public High School Qanchi Amer Sidhu Near Sherian Punjab Lahore (Male)-I,425,372,83,75,14,,
24,24-The Modern Public High School Qanchi Amer Sidhu Near Sherian Punjab Lahore (Female)-I,271,234,91,23,13,,
25,25-Tanveer Islam Girls High School Ya Ali Street Bostan Colony QainchiMain Bazar Lahore (Combined)-I,203,245,101,55,3,,
26,26-Tanveer Islam Girls High School Ya Ali Street Bostan Colony QainchiMain Bazar Lahore (Male)-I,173,148,86,59,10,,
27,27-Tanveer Islam Girls High School Ya Ali Street Bostan Colony QainchiMain Bazar Lahore (Female)-I,116,110,111,21,4,,
28,28-Qazi Grammar High School Kohinoor Housing Scheme Lahore (Male)-I,311,379,64,73,28,,
29,29-Qazi Grammar High School Kohinoor Housing Scheme Lahore (Female)- I,219,256,69,32,27,,
30,30-Qazi Grammar High School Kohinoor Housing Scheme Lahore (Male)-II,217,220,49,52,0,,
31,31-Qazi Grammar High School Kohinoor Housing Scheme Lahore (Female)- II,131,145,52,20,9,,
32,"32-Government Elementary School (General Hospital), Lahore (Male)-I",310,296,70,103,17,,
33,"33-Government Elementary School (General Hospital), Lahore (Female)-I",199,189,109,56,6,,
34,"34-Government Elementary School (General Hospital), Lahore (Male)-II",295,372,72,107,12,,
35,"35-Government Elementary School (General Hospital), Lahore (Female)-II",194,228,42,50,14,,
36,"36-Govt Elementary School General Hospital, Rasool Park Chungi Amar Sidhu (Male)-I",0,307,0,0,0,,
37,"37-Govt Elementary School General Hospital, Rasool Park Chungi Amar Sidhu (Female)-I",192,181,140,40,4,,
38,38-Government High School Awami Colony Chungi Amer Sadhu (Combined)-I,225,242,46,68,14,,
39,39-Government High School Awami Colony Chungi Amer Sadhu (Male)-I,339,298,61,86,8,,
40,40-Government High School Awami Colony Chungi Amer Sadhu (Female)-I,195,158,94,22,7,,
41,"41-New Touqir Grammer Girls High School, New Jail Road, Lahore (Combine) (Combined)-I",166,254,21,98,8,,
42,"42-Govt Elementary School General Hospital, Rasool Park Lahore (Male)-I",262,290,25,121,22,,
43,"43-Govt Elementary School General Hospital, Rasool Park Lahore (Female)-I",190,171,25,53,13,,
44,"44-Govt Elementary School General Hospital, Rasool Park Lahore (Male)-II",287,263,43,113,13,,
45,"45-Govt Elementary School General Hospital, Rasool Park Lahore (Female)-II",155,176,0,0,0,,
46,46-The Reading School System Mohallah Tariqabad Mian Fazal Haq Road Near Gali No14 Lahore (Male)-I,296,320,18,127,19,,
47,47-Readings School System Mohallah Tariqabad Mian Fazalhaq Road Near Gali No14 (Female)-I,186,211,34,53,12,,
48,"48-Tayyaba School System Foundation High School, Makhdoom Abad Chowk (Male) (Male)-I",411,435,92,184,17,,
