No,Name,PTI-IND,IPP,Total Votes,Filename
1,"Govt Girls High School, Custom Colony Lahore CANTT (Male)-I",250,159,,
2,"Govt Girls High School, Custom Colony Lahore CANTT (Female)-I",189,107,,
3,Ali Garh College of Nursing Main Chowk Ali Colony Cavlary Ground Lahore Cantt: (Male),418,233,,
4,Ali Garh College of Nursing Main Chowk Ali Colony Cavlary Ground Lahore Cantt: (Female),269,116,,
5,"Govt. Primary School Luck Line, Cavalry Ground Lahore Cantt: (Combined)-I",357,123,,
6,Govt Elementary School Boys Custom Academy Lahore Cantt: (Combined)-I,370,158,,
7,"Govt. Primary School Luck Line, Cavalry Ground Lahore Cantt: (Combined)-II",361,93,,
8,The Educators St. No.7 Officer Colony Walton Road Lahore Cantt Boys: (Male)-I,370,134,,
9,The Educators St. No.7 Officer Colony Walton Road Lahore Cantt Boys: (Female)-I,339,92,,
10,The Educators St. No.7 Officer Colony Walton Road Lahore Cantt Boys: (Male)-II,301,77,,
11,The Educators St. No.7 Officer Colony Walton Road Lahore Cantt Boys: (Female)-II,286,45,,
12,The Educators St. No.7 Officer Colony Walton Road Lahore Cantt Boys: (Male)-III,269,116,,
13,The Educators St. No.7 Officer Colony Walton Road Lahore Cantt Boys: (Female)-III,303,108,,
14,Allied School Islam nagar Walton Road Walton Cantt. (Combined)-I,256,72,,
15,Allied School Islam nagar Walton Road Walton Cantt. (Combined)-II,320,128,,
16,Allied School Islam nagar Walton Road Walton Cantt. (Male)-I,326,115,,
17,Allied School Islam nagar Walton Road Walton Cantt. (Female)-I,285,88,,
18,Decent Public High School H.27/31 as Abu Bakar St. Ghousia St. Islam Nagar Walton Lahore Cantt: (Male)-I,364,210,,
19,Decent Public High School H.27/31 as Abu Bakar St. Ghousia St. Islam Nagar Walton Lahore Cantt: (Female)-I,273,173,,
20,"Iqra Roza Tul Itfal St.No.5-A, Madina Colony Rehmat Chowk Walton Road, Walton Cantt. (Male)-I",268,144,,
21,"Iqra Roza Tul Itfal St.No.5-A, Madina Colony Rehmat Chowk Walton Road, Walton Cantt. (Female)-I",0,0,,
22,Allied School Girls Walton Campus 26 26 Walton Road Walton Cantt Lahore (Combined)-I,292,144,,
23,"Concordia College Academy Road, Walton Cantt (Combined)-I",271,204,,
24,Allied School Girls Walton Campus 26 26 Walton Road Walton Cantt Lahore (Combined)-II,338,219,,
25,"Concordia College Academy Road, Walton Cantt (Combined)-II",500,231,,
26,"Concordia College Academy Road, Walton Cantt (Combined)-III",337,207,,
27,"Concordia College Academy Road, Walton Cantt (Combined)-IV",0,0,,
