No,Name,PML-N,IND,PTI-IND,Total Votes,Filename
1,Office Union Council No. 7/ 17.SP situated at 16/SP( Combined),356,71,200,,
2,"Govt:Boys Insaf Elementary School, 16/SP ( Combined)",414,28,285,,
3,"Govt:Girls Primary School, Rakh pakpattan  (Combined)",756,14,196,,
4,"Govt:Boys Middle School, Rakh Pakpattan        (Male)",569,6,190,,
5,"Govt:Boys Middle School, Rakh Pakpattan  (Female)",299,5,98,,
6,"Govt:Boys Middle School, 15/SP    (Male)",188,51,111,,
7,"Govt:Boys Middle School, 15/SP    (Male)",279,73,256,,
8,Govt: Girls Middle School 15/SP   (Female),278,92,298,,
9,Govt:Boys Primary School 14/SP      (Male),250,5,312,,
10,Govt:Boys Primary School 14/SP    (Female),140,11,219,,
11,"Govt:Boys Middle  School, 1/KB   (Combined)",200,73,509,,
12,"Govt:Boys Primary School, Rehmoo Kay       (Male)",99,83,323,,
13,"Govt:Boys Primary School, Rehmoo Kay    (Female)",37,74,218,,
14,"Govt:Boys  Middle School, Karm Pur Bhatti    (Male)",290,9,189,,
15,"Govt:Boys  Middle School, Karm Pur Bhatti   (Female)",184,22,137,,
16,"Govt: Boys Primary School,  Jandoo wala  (Combined)",103,9,184,,
17,"Govt: Boys Primary School, Ghulam Shah Bodla  (Combined)",59,54,85,,
18,"Govt.Boys High School, Basti Ghulam Qadir (Combined)",296,31,49,,
19,"Govt:Boys Primary School, Hafiz Sidique     (Combined)",201,8,316,,
20,"Govt:Boys Primary School, Behram Pur East (Combined)",39,6,86,,
21,"Govt:Boys Primary School, Behram Pur    west (Combined)",247,26,294,,
22,"Govt:Girls  Insaf Elementary School, Behram Pur   (Combined)",201,25,198,,
23,Office of the Union Council No.19 Behram Pur (Combined),330,42,152,,
24,Govt Modle Primary School Lal Khan Dhudhi (Combined),194,29,372,,
25,"Govt:Boys Middle School, Shahu Bloach    (Combined)",242,8,341,,
26,"Govt: Girls Middle  School, Thatha Manzoor Khan  (Combined)",170,24,254,,
27,"Govt:Girls High School, 17/SP     (Male)",412,38,198,,
28,Govt:Boys Primary School 17/SP           (Female),256,40,90,,
29,"Govt:Girls High School, 17/SP           (Combined)",254,40,225,,
30,"Govt:Boys High School, 13/SP            (Combined)",313,19,523,,
31,"Govt:Girl Primary School, 13/SP             (Combined)",184,8,511,,
32,"Govt:Girls High School,          37/SP   (Male)",360,107,320,,
33,"Govt:Girls High School,          37/SP   (Female)",353,109,240,,
34,"Govt:Boys High School, 37/SP              (Combined)",133,69,123,,
35,"Govt:Boys Primary School, Rasool Pur         (Combined)",204,97,428,,
36,"Govt:Boys Primary School, Tibba  Nanak Sar  (Combined)",201,53,227,,
37,"Govt:Boys Middle School, 19/SP   (Male)",492,313,295,,
38,"Govt:Boys Middle School, 19/SP             (Female)",333,241,158,,
39,"Govt:Girls Primary School, 19/SP           (Combined)",220,64,82,,
40,"GovtDPS, Malik Pur  Hota Road,            (Combined)",297,50,250,,
41,"Govt: Boys Primary School, Malik Pur,    (Male)",241,14,220,,
42,"Govt: Boys Primary School, Malik Pur,   (Female)",143,25,115,,
43,"Govt:Boys Insaf Elementary School, Ali Kamal ( Male)",189,14,538,,
44,"Govt:Girls  Insaf Elementary School, Malik Pur           (Female)",127,22,330,,
45,"Govt:Boys Primary School, Dhakku Chishti   (Combined)",45,7,435,,
46,"Govt:Girls High School, Adda Kot Dewan Hotta Road   (Combined)",6,4,178,,
47,"Govt:Boys Insaf Elementary School, 2/KB              (Combined)",199,185,261,,
48,"Govt:BoysInsaf Elementary School,Opana       (Male)",221,42,272,,
49,"Govt:Boys Insaf Elementary School,Opana          (Female)",145,52,250,,
50,"Govt:Boys Primary School, Arifabad    (Combined)",208,211,192,,
51,"Govt:Boys Insaf Elementary School, 3/KB (Combined)",241,61,199,,
52,"Govt: Girls Middle School,  Kot Bhubhar     (Combined)",483,27,189,,
53,"Govt:Boys Middle School, Pacca  Sidhar     (Male)",307,52,232,,
54,"Govt:Boys Middle School, Pacca  Sidhar        (Female)",217,41,115,,
55,"Govt:Girls Primary School, Pakka  Sidha    (Combined)",291,67,233,,
56,Govt Boys Middle School Pakka Sidhar         (Combined),212,113,353,,
57,"Govt.Boys Middle School, Amar Singh Hotta Road East         (Combined)",202,37,310,,
58,"Govt.Boys Middle School, Amar Singh Sochan,Hotta Road  (West)  (Combined)",251,83,207,,
59,"Govt:Girls Primary School, Naib Wal     (Combined)",215,279,183,,
60,"Govt:Boys Insaf Elementary School, 6/KB (Combined)",169,92,293,,
61,"Govt:Boys Insaf Elementary School, Jora  (Combined)",217,57,293,,
62,"Govt:Girls Primary School, Salamat             (Combined)",179,105,437,,
63,"Govt:Girls  Insaf Elementary School, Aalam Dhudhi    (Combined)",338,26,450,,
64,"Govt:Boys Primary School, Bheela (East)    (Male)",526,80,206,,
65,"Govt:Girls  Insaf Elementary School, Bheela       (Female)",263,80,142,,
66,Govt:Boys Primary School Bheela (West)   (Combined),778,1,72,,
67,"Govt: Girls Middle School, Pir Ghani     (Combined)",691,4,47,,
68,"Govt:Boys High School,Pir Ghani    (Male)",784,0,2,,
69,Office of the Union Council No.17 Pir Ghani (Female),569,3,3,,
70,"Govt:Boys High School,Pir Ghani  (West)              (Male)",1045,0,7,,
71,"Govt:Boys High School,Pir Ghani  (South          (Female)",831,0,0,,
72,"Govt:Boys Middle School, 41/SP  (Combined)",495,3,47,,
73,Govt:Boys Primary School 40/SP         (Combined),394,9,155,,
74,"Govt:Girls  Insaf Elementary School, 40/SP   (Combined)",291,3,245,,
75,"Govt:Girls  High School, 39/SP    (Male)",260,16,264,,
76,"Govt:Girls  High School, 39/SP         (Female)",213,23,206,,
77,"Govt:Boys High School, 39/SP     (Combined)",246,24,169,,
78,"Govt:BoysHigh School, Moosay Wal   (Combined)",459,24,484,,
79,Govt:Boys Primary School 7/SP     (Combined),175,10,347,,
80,Govt:Boys Primary School 8/SP   (Combined),282,34,456,,
81,"Govt:Boys Insaf Elementary School, 9/SP    (Combined)",217,2,729,,
82,Govt:Girls Primary School 38/SP   (Combined),629,15,172,,
83,"Govt:Girls Primary School, Siddhu Malka  (Combined)",332,59,244,,
84,"Govt:Boys High School, Farid Kot (East)    (Male)",746,79,169,,
85,"Govt:Boys High School, Farid Kot (West) (Female)",420,67,68,,
86,"Govt:Boys Middle School, Saleem Shah Bodla (Combined)",252,35,159,,
87,"Govt:Boys Primary School, Chak Nasir Khan (Combined)",176,10,297,,
88,"Govt:Girls Middle School, Saleem Shah Bodla (Combined)",58,8,104,,
89,Govt:Boys Primary School Qadir Pur Munshian.  (Combined),435,28,105,,
90,"Govt: Girls Community Model School, Siddu Pipli   (Male)",168,307,123,,
91,"Govt:Boys Primary School,  Siddu Pipli          (Female)",98,214,93,,
92,Govt:Boys Primary School Hassan ke Gamey Khan  (Combined),70,13,341,,
93,Govt:Boys Primary School Gadai Shah           (Combined),322,90,242,,
94,Govt:Boys Primary School Noora Ahlooka           (Male),187,60,560,,
95,Govt:Boys Primary School Noora Ahlooka        (Female),69,43,344,,
96,"Govt:Boys Middle School, Malik Bahawal (East)   (Combined)",256,18,353,,
97,"Govt:Boys Middle School, Malik Bahawal (West)   (Combined)",331,52,259,,
98,Govt:Boys Primary School Kund Mahar Kalan (Combined),168,20,86,,
99,"Govt:Boys Middle School, Chak Malik Bhawal (West)  (Combined)",190,39,330,,
100,"Govt:Boys Insaf Elementary School, Mustaqeem Mehmoonka   (Combined)",199,17,340,,
101,Govt:Girls Primary School Bohar (Meer Khan Mahmooka)            (Combined),132,8,445,,
102,Govt:Boys Primary School Panch  (Combined),386,81,407,,
103,Govt:Girls Primary School Jagga Bloach         (Combined),90,62,461,,
104,Govt: Boys Model Primary School Bakar kay (Combined),358,175,191,,
105,Govt:Boys Primary School Khola Utam Singh (Combined),302,148,262,,
106,"Govt:Boys High School, Kalyana (East)    (Male)",401,164,338,,
107,"Govt:Boys High School, Kalyana (East)    (Female)",203,0,175,,
108,"Govt:Boys High School, Kalyana (West)   (Combined)",325,87,418,,
109,"Govt: Girls High School, Kalyana (East)    (Combined)",296,65,196,,
110,Office of the Union Council No.21. Kalyana  (Combined),197,96,139,,
111,"Govt: Girls High School, Kalyana (West)  (Combined)",401,164,338,,
112,"Govt:Girls Primary School, Malyana    (Combined)",228,103,213,,
113,"Govt:Boys Insaf Elementary School, Mahint Darshan  (Combined)",532,47,350,,
114,"Govt:Boys Insaf Elementary School, 15/KB   (Combined)",284,89,300,,
115,"Govt:BoysInsaf Elementary School, 11/KB   (Combined)",200,168,480,,
116,"Govt:Girls Middle School, 13/KB    (Male)",456,55,151,,
117,"Govt:Girls Middle School, 13/KB  (Female)",249,48,124,,
118,"Govt:Boys Primary School, 16/KB   (Combined)",345,142,94,,
119,"Govt:Girls Middle School, 14/KB  (Male)",410,197,89,,
120,"Govt:Girls Middle School, 14/KB    (Female)",273,166,59,,
121,"Govt:Boys Insaf Elementary School, Purana Thana  (Combined)",323,65,136,,
122,"Govt:Boys Insaf Elementary School, Purana Thana       (Male)",355,89,223,,
123,"Govt:Boys Insaf Elementary School, Purana Thana       (Female)",226,58,148,,
124,"Govt:Boys Primary School, Malooka Kalan    (Male)",386,51,205,,
125,"Govt:Boys Primary School, Malooka Kalan    (Female)",245,39,114,,
126,"Govt:Boys High School, Hotta (East)  (Male)",434,110,434,,
127,"Govt:Boys High School, Hotta (East) (Female)",264,76,259,,
128,"Govt:Boys High School, Hotta (West) (Combined)",284,26,192,,
129,Govt:Girls  High School Hotta  (Combined),86,38,96,,
130,Office of the Union Council No.22.Hotta   (Combined),291,55,184,,
131,"Govt:Boys Insaf Elementary School, 8/KB (East) (Combined)",345,37,568,,
132,"Govt:Boys Insaf Elementary School, 8/KB (West)   (Combined)",157,4,166,,
133,"Govt:Boys Middle School, 9/KB      (Combined)",337,19,411,,
134,Govt: Boys Primary School  10/KB    (Combined),258,30,333,,
135,"Govt:Boys Insaf Elementary School, Kot Bahawal (West)  (Combined)",140,44,313,,
136,"Govt.Boys High School, Kot  Bakhsha East  (Combined)",322,48,462,,
137,"Govt:Boys High School, Kot Bakhsha (West)    (Combined)",70,27,98,,
138,"Govt:Boys Insaf Elementary School, Kot  Bahawal (East)   (Combined)",498,156,517,,
139,Govt:Boys Primary School 7/KB    (Combined),288,51,230,,
140,"Govt:Boys Insaf Elementary School, Bahdur Khera (Combined)",7,48,28,,
141,"Govt:Boys Primary School, Mari Aunmb   (Combined)",234,46,321,,
142,"Govt: Boys Insaf Elementary School, Kund Kanjwan   (Combined)",278,41,383,,
143,"Govt:Boys High School, Feroz Pur Chishtian (Combined)",486,92,384,,
144,"Govt:Girls Primary School, Feroz Pur Chishtian   (Combined)",300,65,306,,
145,Govt:Modle Primary School Kaly Chishti (Combined),127,133,73,,
146,"Govt:Boys Middle School, Warseen    (Male)",195,154,232,,
147,"Govt:Boys Middle School, Warseen  (Female)",91,114,134,,
148,Govt:Boys Primary School Bara   (Combined),217,169,422,,
149,"Govt: Boys Primary School,  Bhawan Shah    (Combined)",38,47,162,,
150,"Govt:Boys Primary School, Singh Pura  (Combined)",259,18,249,,
151,"Govt:Boys Insaf Elementary School,, Tehi Javind Singh (Combined)",372,77,452,,
152,"Govt:Boys High School, Azmat (East)   (Male)",332,45,363,,
153,"Govt:Boys High School, Azmat (South) (Female)",237,67,243,,
154,"Govt:Boys High School, Azmat (West)   (Combined)",154,20,81,,
155,"Govt:Boys Primary School, 3/EB    (Male)",385,81,226,,
156,"Govt:Boys Primary School, 3/EB    (Female)",254,68,193,,
157,"Govt:Boys High School, Bunga  Hayat   (Male)",385,47,495,,
158,"Govt:Boys High School, Bunga  Hayat   (Female)",201,191,275,,
159,Govt: Girls High School Bunga Hayat   (Combined),448,103,270,,
160,"Govt:Boys Insaf Elementary School, Arazi Amar Singh (Combined)",159,74,603,,
161,"Govt:Boys Insaf Elementary School, Asdullah Pur  (Combined)",618,59,182,,
162,"Govt: Girls Insaf Elementary School, 54/SP            (Combined)",197,25,746,,
163,Yousaf Saeed Public High School (PEF) 54/SP (Combined),168,8,162,,
164,Govt:Boys Primary School Prince Abad   (Combined),219,94,662,,
165,"Govt:Boys Insaf Elementary School, Nanik Pur  (Male)",342,87,337,,
166,"Govt:Boys Insaf Elementary School, Nanik Pur)  (Female)",179,96,209,,
