No,Name,PTI-IND,PML-N,PPP,Total Votes,Filename
1,1 - Govt Boys High School Neel Kot,440,72,63,,
2,2 - Govt Boys  Primary School Neel Kot,318,46,50,,
3,3 - Jhok Wains,90,177,232,,
4,4 - Govt High School Qasim Bela,507,327,270,,
5,5 - Khair pur Bhutta,183,154,183,,
6,6 - Govt Primary School Khair pur Bhutta,349,336,291,,
7,7 - Govt Boys Elementary School Chak Mahni,181,560,478,,
8,8 - Govt Elementary School Mustafa wala Markaz Nawab pur,193,471,331,,
9,9 - Qasim Bela,441,298,378,,
10,10 - Khor SajriWain,279,202,287,,
11,11 - Khor SajriWain,234,90,290,,
12,12 - Thathi Lal,409,246,786,,
13,13 - Govt Elementary School Muzafarabad Female 2,326,60,286,,
14,14 - Govt Elementary School Ahmadpur Bhutta,366,113,233,,
15,15 - Govt Elementary School Ahmad pur Bhutta,241,91,144,,
16,16 - Lali,259,321,480,,
17,17 - Govt Girls High School Rawani Female 2,175,270,379,,
18,18 - Ahmad pur Bhutta,376,100,114,,
19,19 - Govt Girls Primary School Alure,119,282,142,,
20,20 - Govt FG Boys High School No 2,482,219,62,,
21,21 - Govt High School Qasim Bela,303,142,99,,
22,22 - Govt Girls High School Daulatabad combined,401,55,35,,
23,23 - Hamid pur Morakha,123,301,318,,
24,24 - Govt Girls School Industrial Estate 3,255,140,199,,
25,25 - Govt Girls School Industrial Estate 3,428,181,233,,
26,26 - Govt Girls High School Industrial Estate,322,115,228,,
27,27 - Koti Bakhsu Khan,121,324,619,,
28,28 - Sahi Chawan,298,321,601,,
29,29 - Govt Girls Primary School Neel Kot,327,44,57,,
30,30 - Govt Girls Neel Kot Mardana,356,85,100,,
31,31 - Govt Girls Kotla Matarwan,520,173,342,,
32,32 - Govt Model S Muhammad pur Ghota,118,189,260,,
33,33 - Govt Girls Elementary School Thathi Khawaran,103,315,283,,
34,34 - BHU Qasim Bela,214,382,421,,
35,35 - Arjwain Shareef Muhammad pur Ghota,96,212,223,,
36,36 - Govt HSS Mardan pur,224,469,422,,
37,37 - Govt GMS Sheean Wala,134,205,285,,
38,38 - Govt HS 12 KM,237,168,179,,
