No,Name,PTI-IND,PPP,PML-N,Total Votes,Filename
1,1 - GGHSS PIRAN GHAIB MULTAN (PP-219) (Combined)-I,608,237,245,,
2,2 - GBHSS SAMEEJ ABAD PIRAN GHAIB ROAD MULTAN (PP-219) (Combined)-I,445,139,357,,
3,"3 - AL GHAZALI PUBLI SCHOOL SAMEEJ ABAD, NEAR 40 FEET ROAD MULTAN(0300-6364707) (PP-219) (Combined)-I",410,124,216,,
4,"4 - GGES SAMEEJ ABAD NO 1, MULTAN (PP-219) (Combined)-I",252,64,150,,
5,5 - GGHSS PIRAN GHAIB MULTAN (PP-219) (Combined)-II,226,119,98,,
6,6 - Basic Health Unit Piran Ghaib (PP-219) (Female)-I,277,133,152,,
7,7 - Basic Health Unit Piran Ghaib (PP-219) (Male)-I,463,150,230,,
8,"8 - GGES SAMEEJ ABAD NO 1, MULTAN (PP-219) (Combined)-II",163,159,233,,
9,9 - GGHSS PIRAN GHAIB MULTAN (PP-219) (Combined)-III,345,130,276,,
10,10 - Government Girls Primary School AMEERPUR (PP-219) (Combined)-I,442,553,391,,
11,11 - Government Boys Middle School AKRAM ABAD (PP-219) (Combined)-I,300,759,303,,
12,12 - Government Boys Middle School AKRAM ABAD (PP-219) (Combined)-II,216,352,260,,
13,13 - Government Primary School RAMOON WALA (PP-219) (Combined)-I,344,621,217,,
14,"14 - GBES MARI MANGO MAL, BANGAL WALA MULTAN (PP-219) (Combined)-I",63,306,287,,
15,"15 - GBES MARI MANGO MAL, BANGAL WALA MULTAN (PP-219) (Combined)-II",138,288,236,,
16,16 - Govt Boys Elementary School Bangal Wala Sharqi (PP-219) (Combined)-I,272,225,412,,
17,"17 - GBHSS KOT MELA RAAM, STATION RASHIDY MULTAN (PP-219) (Male)-I",224,197,440,,
18,18 - GBHSS Kot Mela Ram (Primary Portion) (PP-219) (Female)-I,225,181,346,,
19,"19 - Government Boys High School, Loother, (Loother) (PP-219) (Combined)-I",194,355,157,,
20,"20 - Government Boys High School, Loother, (Loother) (PP-219) (Combined)-II",256,660,185,,
21,"21 - Government Boys Primary School, Loother No.1 (PP-219) (Combined)-I",295,482,378,,
22,"22 - Government Girls High School, Loother (PP-219) (Combined)-I",283,384,245,,
23,"23 - Government Girls High School, Loother (PP-219) (Combined)-II",269,380,248,,
24,"24 - Government Girls High School, Loother (PP-219) (Combined)-III",338,148,134,,
25,"25 - Government Boys Primary School, Loother No.2 (PP-219) (Combined)-I",189,108,157,,
26,"26 - Government Boys Primary School, Loother No.2 (PP-219) (Combined)-II",241,429,214,,
27,"27 - Government Girls Primary School, Jinnah Abadi Loother (PP-219) (Combined)-I",376,309,251,,
28,"28 - GHS SANDA GHULAM HUSSAIN, MULTAN (PP-219) (Combined)-I",637,413,205,,
29,29 - Govt Primary School Mong Wadh (Insaf Afternoon) (PP-219) (Male)-I,392,429,286,,
30,30 - Govt Primary School Mong Wadh (Insaf Afternoon) (PP-219) (Female)-I,238,392,182,,
31,"31 - Government Boys High School Tatay Pur, Tatay Pur (PP-219) (Male)-I",454,367,515,,
32,"32 - Government Girls Higher Secondary School, Tatay Pur, Tatay Pur (PP-219) (Female)-I",306,330,343,,
33,"33 - Government Boys High School Tatay Pur, Tatay Pur (PP-219) (Male)-II",299,293,225,,
34,"34 - Government Boys High School Tatay Pur, Tatay Pur (PP-219) (Male)-III",278,238,169,,
35,"35 - Government Girls Higher Secondary School, Tatay Pur, Tatay Pur (PP-219) (Female)-II",422,465,204,,
36,36 - Govt Primary School Arjun Singh (Basti Islampur) (PP-219) (Combined)-I,90,485,445,,
37,37 - Government Community Model School KHAGAY WALA (PP-219) (Combined)-I,221,511,320,,
38,"38 - GGES KHAGY WALA, MULTAN (PP-219) (Combined)-I",205,291,288,,
39,39 - Govt High School Kotla Maharan (PP-219) (Combined)-I,410,416,184,,
40,40 - GGPS WAZIR SHAH WALA (BARHAMAN WALA) MULTAN (PP-219) (Combined)-I,287,350,426,,
41,41 - Govt Boys Primary School Mari Walian (PP-219) (Combined)-I,66,338,283,,
42,42 - Govt. Boys elementary school MAHNI WALA (PP-219) (Combined)-I,334,557,290,,
43,43 - Govt. Boys elementary school MAHNI WALA (PP-219) (Combined)-II,380,558,223,,
44,44 - Govt Boys Primary School Gharyala (Buddhay Wala) Gharyala (PP-219) (Combined)-I,467,416,326,,
45,45 - Govt Boys Primary School Gharyala (Buddhay Wala) Gharyala (PP-219) (Combined)-II,320,216,232,,
46,"46 - GGPS BHOJIAN WALA, MULTAN (PP-219) (Combined)-I",503,239,243,,
47,47 - GES 1 HANS(PATHI) MULTAN (PP-219) (Combined)-I,150,202,141,,
48,48 - GES 1 HANS(PATHI) MULTAN (PP-219) (Combined)-II,176,501,445,,
49,"49 - Government Boys Primary School, Chak 2 Hans (PP-219) (Combined)-I",235,180,248,,
50,50 - GPS 4 HANS MULTAN (PP-219) (Combined)-I,185,337,208,,
51,"51 - GBPS 8`/`T SHUMALI, MULTAN (PP-219) (Combined)-I",435,272,183,,
52,52 - Govt High School 7`/`T (PP-219) (Combined)-I,396,307,362,,
53,53 - Govt Girls Primary School 5 KMR (PP-219) (Combined)-I,475,610,212,,
54,54 - GPS 4KMR MULTAN (PP-219) (Combined)-I,416,355,195,,
55,"55 - GES 3KMR, MULTAN (PP-219) (Combined)-I",377,327,469,,
56,56 - Govt High School 2 KMR (PP-219) (Combined)-I,410,457,348,,
57,"57 - GES MULTANI WALA, MULTAN (PP-219) (Combined)-I",396,134,114,,
58,"58 - GES MULTANI WALA, MULTAN (PP-219) (Combined)-II",261,286,204,,
59,59 - Govt Girls Primary school Multani Wala (PP-219) (Combined)-I,290,297,644,,
60,60 - Govt Boys Primary School Kirari Tumak (PP-219) (Combined)-I,189,258,223,,
61,61 - Govt Boys Primary Schook Kirari Tumak (PP-219) (Combined)-II,369,566,225,,
62,62 - GPS BHAI VEER MUSTAFA CAMPUS 1KMR (PP-219) (Combined)-I,250,330,429,,
63,"63 - Government Boys Primary School, Chak 3 Hans (PP-219) (Combined)-I",192,337,231,,
64,64 - Govt Model Primary School Araian Wala (PP-219) (Combined)-I,312,277,252,,
65,65 - Govt Model Primary School Araian Wala (PP-219) (Combined)-II,319,442,289,,
66,66 - Govt Primary School 9-T (PP-219) (Combined)-I,273,280,315,,
67,67 - Govt Primary School 9-T (PP-219) (Combined)-II,111,403,54,,
68,68 - Govt Primary school 1`/`T (PP-219) (Combined)-I,326,151,270,,
69,69 - Govt Primary school 1`/`T (PP-219) (Combined)-II,448,267,102,,
70,70 - Govt Elementary School 3`/`T (PP-219) (Combined)-I,369,125,101,,
71,71 - Govt Girls Model School 3`/`T (PP-219) (Combined)-II,522,141,265,,
72,72 - GMPS 4-T (BOYS PORTION) MULTAN (PP-219) (Combined)-I,287,234,116,,
73,73 - GGES 4-T MULTAN (PP-219) (Combined)-I,281,386,239,,
74,74 - Govt Model Primary Shool Nai Wala (Boys Portion) (PP-219) (Male)-I,422,188,401,,
75,75 - Govt Model Primary Shool Nai Wala (Boys Portion) (PP-219) (Male)-II,265,168,300,,
76,76 - Govt Model Primary Shool Nai Wala (Girls Portion) (PP-219) (Female)-I,323,258,248,,
77,77 - Govt Model Primary Shool Nai Wala (Girls Portion) (PP-219) (Female)-II,110,77,108,,
78,78 - Govt Boys Primary School Domra (PP-219) (Combined)-I,211,251,436,,
79,79 - Govt Boys Primary School Domra (PP-219) (Combined)-II,140,86,823,,
80,"80 - GBPS SUMENDRI, MIANI RAWA (PP-219) (Combined)-I",451,473,386,,
81,"81 - GBPS SUMENDRI, MIANI RAWA (PP-219) (Combined)-II",265,328,225,,
82,82 - GBHS BASTI KOT RAB NAWAZ MULTAN (PP-219) (Combined)-I,231,85,195,,
83,83 - GBHS BASTI KOT RAB NAWAZ MULTAN (PP-219) (Combined)-II,454,196,304,,
84,84 - GBHS BASTI KOT RAB NAWAZ MULTAN (PP-219) (Combined)-III,372,212,193,,
85,85 - GBHS BASTI KOT RAB NAWAZ MULTAN (PP-219) (Combined)-IV,212,174,279,,
86,86 - GBHS BASTI KOT RAB NAWAZ MULTAN (PP-219) (Combined)-V,194,149,77,,
87,87 - Miani Canal Rest House Kot Rab Nawaz (PP-219) (Male)-I,321,260,446,,
88,"88 - Govt Girls Primary School Piray Wala, Kot Rab Nawaz (PP-219) (Female)-I",234,225,194,,
89,89 - Govt Primary School Chhapran Wala (PP-219) (Combined)-I,357,386,641,,
90,90 - Govt Girls Elementary School Chhapran Wala (PP-219) (Combined)-II,371,312,371,,
91,91 - Govt Boys High School Mullan Faqir (PP-219) (Combined)-I,261,507,260,,
92,92 - Govt Boys High School Mullan Faqir (PP-219) (Combined)-II,405,257,307,,
93,93 - Govt Boys High School Mullan Faqir (PP-219) (Combined)-III,295,262,142,,
94,"94 - Govt Boys High School, Jhoke Lashkar Pur (PP-219) (Combined)-I",173,202,389,,
95,"95 - Govt Boys High School, Jhoke Lashkar Pur (PP-219) (Combined)-II",141,357,188,,
96,"96 - Govt Boys High School, Jhoke Lashkar Pur (PP-219) (Combined)-III",184,441,254,,
97,"97 - Govt Boys High School, Jhoke Lashkar Pur (PP-219) (Male)-I",279,406,261,,
98,"98 - Govt Girls Primary School, Jhoke Lashkar Pur (Pairay Wala) (PP-219) (Female)-I",195,327,207,,
99,99 - Govt Model Primary School Jissay Wala (Girls Portion) Sher Singh Wala (PP-219) (Combined)-I,301,464,164,,
100,100 - Govt Model Primary School Jissay Wala (Girls Portion) Sher Singh Wala (PP-219) (Combined)-II,358,318,160,,
101,101 - Govt Girls High School Miltary Farm Sher Singh Wala (PP-219) (Combined)-I,444,183,306,,
102,102 - Govt Girls High School Miltary Farm Sher Singh Wala (PP-219) (Combined)-II,221,357,188,,
103,"103 - GMPS ARBI, BASTI ARBI MULTAN (PP-219) (Combined)-I",385,453,384,,
104,"104 - GHS JALAL ABAD, JALAL ABAD MULTAN (PP-219) (Combined)-I",603,260,464,,
105,"105 - GHS JALAL ABAD, JALAL ABAD MULTAN (PP-219) (Combined)-II",634,287,398,,
106,"106 - BASIC HEALTH CENTER JALAL ABAD, JALAL ABAD SHUMALI, MULTAN (PP-219) (Combined)-I",427,232,285,,
107,"107 - GBES AZAM HANS, BASTI JUDGE MULTAN (PP-219) (Combined)-I",434,396,376,,
108,"108 - GBES AZAM HANS, BASTI JUDGE MULTAN (PP-219) (Combined)-II",140,341,376,,
109,"109 - Government Girls Primary School, Mohan Wala (Kothay Wala Janoobi) (PP-219) (Combined)-I",192,217,260,,
110,"110 - Government Girls Primary School, Mohan Wala (Kothay Wala Janoobi) (PP-219) (Combined)-II",137,323,316,,
111,"111 - GPS KOTHAY WALA NO 2, KOTHAY WALA JANOBI MULTAN (PP-219) (Female)-I",171,258,160,,
112,"112 - GPS KOTHAY WALA NO 2, KOTHAY WALA JANOBI MULTAN (PP-219) (Male)-I",168,286,213,,
113,"113 - GHS KOT GUJJRAN, KOT GUJJRAN MULTAN (PP-219) (Combined)-I",273,272,317,,
114,"114 - GHS KOT GUJRAN, KOT GUJRAN MULTAN (PP-219) (Combined)-II",141,154,183,,
115,"115 - GGES KOT GUJJRAN, KOTHE WALA, SHUMALI (PP-219) (Combined)-I",251,224,211,,
116,116 - Government Boys Primary School Basti Kothay Wala (Kothay Wala Shumali) (PP-219) (Combined)-I,224,224,157,,
117,117 - Govt Higher Secondary School BUDHLA SANT (PP-219) (Combined)-I,195,477,95,,
118,118 - Govt Higher Secondary School BUDHLA SANT (PP-219) (Male)-I,331,178,185,,
119,119 - Govt Higher Secondary School BUDHLA SANT (PP-219) (Female)-I,311,171,106,,
120,"120 - GGHS , Budhla Sant (Dograna) (PP-219) (Male)-I",509,277,257,,
121,121 - GOVT HIGHER SECONDARY SCHOOL Budhla Sant (Dograna) (PP-219) (Female)-I,488,263,168,,
122,"122 - BASIC HEALTH CENTER, BUDHLA SANT MULTAN (PP-219) (Combined)-I",552,268,200,,
123,123 - GHS BASTI JALIL MULTAN (PP-219) (Combined)-I,359,346,153,,
124,124 - GHS BASTI JALIL MULTAN (PP-219) (Combined)-II,163,223,168,,
125,"125 - Government Girls Elementary School, Jalil (Jaleel) (PP-219) (Combined)-I",338,258,145,,
126,"126 - Government Girls Elementary School, Jalil (Jaleel) (PP-219) (Combined)-II",301,447,271,,
127,"127 - GBPS LAILI PUR, MULTAN (PP-219) (Combined)-I",213,515,185,,
128,128 - Government Boys High School BOHAR MULTAN (PP-219) (Male)-I,197,156,360,,
129,129 - Government Boys High School BOHAR MULTAN (PP-219) (Female)-I,292,351,472,,
130,130 - Government Boys High School BOHAR MULTAN (PP-219) (Male)-II,107,155,312,,
131,"131 - GBES SUJAN PUR, MULTAN (PP-219) (Combined)-I",420,448,519,,
132,"132 - GBES SUJAN PUR, MULTAN (PP-219) (Combined)-II",502,198,428,,
