No,Name,PTI-IND,PML-Z,PML-N,Total Votes,Filename
1,1,145,193,252,,
2,2,381,304,332,,
3,3,183,572,339,,
4,4,522,480,134,,
5,5,428,464,251,,
6,6,363,250,269,,
7,7,237,420,302,,
8,8,138,331,201,,
9,9,144,264,220,,
10,10,170,282,284,,
11,11,362,442,109,,
12,12,258,448,265,,
13,13,211,299,206,,
14,14,257,181,201,,
15,15,192,124,156,,
16,16,198,246,173,,
17,17,147,178,126,,
18,18,154,177,125,,
19,19,214,206,128,,
20,20,266,364,244,,
21,21,230,227,168,,
22,22,254,345,250,,
23,23,150,288,183,,
24,24,263,247,268,,
25,25,207,284,318,,
26,26,159,216,149,,
27,27,215,251,205,,
28,28,242,302,319,,
29,29,160,253,238,,
30,30,131,178,261,,
31,31,212,230,294,,
32,32,225,233,205,,
33,33,125,216,125,,
34,34,220,189,221,,
35,35,153,144,167,,
36,36,257,147,151,,
37,37,318,203,202,,
38,38,179,205,137,,
39,39,154,176,87,,
40,40,285,244,178,,
41,41,126,169,0,,
42,42,290,359,234,,
43,43,312,257,169,,
44,44,242,174,129,,
45,45,224,209,181,,
46,46,181,162,159,,
47,47,175,176,120,,
48,48,260,234,193,,
49,49,270,289,221,,
50,50,159,189,122,,
51,51,157,252,182,,
52,52,165,293,220,,
53,53,99,180,245,,
54,54,51,118,184,,
55,55,154,291,275,,
56,56,338,329,306,,
57,57,317,282,412,,
58,58,192,86,207,,
59,59,198,52,239,,
60,60,233,137,183,,
61,61,190,172,131,,
62,62,168,235,242,,
63,63,188,296,248,,
64,64,197,43,152,,
65,65,166,135,293,,
66,66,183,104,232,,
67,67,317,135,196,,
68,68,275,100,52,,
69,69,323,229,55,,
70,70,270,148,49,,
71,71,164,91,180,,
72,72,118,307,191,,
73,73,87,243,176,,
74,74,318,362,137,,
75,75,141,129,219,,
76,76,135,213,342,,
77,77,165,172,109,,
78,78,429,150,306,,
79,79,424,122,429,,
80,80,76,78,789,,
81,81,109,192,387,,
82,82,324,193,213,,
83,83,61,285,71,,
84,84,97,198,126,,
85,85,165,345,228,,
86,86,134,359,317,,
87,87,408,295,195,,
88,88,378,211,151,,
89,89,298,334,32,,
90,90,371,76,204,,
91,91,506,221,85,,
92,92,289,221,132,,
93,93,112,350,284,,
94,94,68,250,206,,
95,95,143,379,197,,
96,96,467,49,90,,
97,97,25,180,54,,
98,98,96,303,256,,
99,99,51,190,197,,
100,100,176,442,427,,
101,101,164,424,211,,
102,102,100,364,290,,
103,103,198,173,280,,
104,104,129,154,219,,
105,105,264,103,289,,
106,106,71,279,186,,
107,107,325,248,39,,
108,108,205,285,209,,
109,109,169,334,119,,
110,110,328,451,104,,
111,111,185,221,126,,
112,112,105,523,424,,
113,113,99,122,164,,
114,114,141,388,276,,
115,115,274,302,45,,
116,116,443,214,263,,
117,117,97,154,175,,
118,118,400,298,215,,
119,119,315,282,232,,
120,120,356,223,139,,
121,121,240,393,242,,
122,122,139,470,459,,
123,123,413,208,313,,
124,124,188,226,247,,
125,125,140,312,169,,
126,126,444,242,297,,
127,127,658,104,254,,
128,128,475,172,102,,
129,129,300,238,352,,
130,130,223,170,268,,
131,131,182,308,183,,
132,132,138,204,435,,
133,133,128,119,164,,
134,134,256,189,307,,
135,135,411,189,105,,
136,136,460,267,282,,
137,137,123,365,223,,
138,138,71,190,117,,
139,139,149,252,128,,
140,140,157,278,251,,
141,141,68,286,336,,
142,142,149,252,128,,
143,143,241,334,250,,
144,144,249,181,224,,
145,145,180,152,145,,
146,146,139,415,244,,
147,147,62,200,176,,
148,148,77,218,102,,
149,149,60,226,181,,
150,150,194,317,226,,
151,151,95,145,97,,
152,152,223,375,249,,
153,153,188,234,94,,
154,154,51,253,109,,
155,155,171,285,182,,
156,156,136,170,115,,
157,157,166,413,237,,
158,158,199,540,360,,
159,159,410,45,49,,
160,160,508,70,79,,
161,161,430,100,289,,
162,162,352,142,209,,
163,163,364,203,300,,
164,164,0,0,0,,
165,165,274,88,222,,
166,166,340,142,318,,
167,167,383,84,186,,
168,168,464,171,208,,
169,169,304,84,229,,
170,170,204,67,201,,
171,171,233,140,216,,
172,172,189,101,199,,
173,173,272,170,249,,
174,174,0,0,0,,
175,175,359,123,147,,
176,176,0,0,0,,
177,177,359,0,0,,
178,178,232,93,118,,
179,179,192,163,227,,
180,180,131,121,167,,
181,181,334,151,343,,
182,182,173,80,252,,
183,183,511,21,104,,
184,184,389,9,53,,
185,185,217,75,141,,
186,186,193,22,129,,
187,187,261,103,448,,
188,188,390,306,204,,
189,189,469,55,131,,
190,190,335,143,185,,
191,191,474,104,165,,
192,192,289,137,297,,
193,193,194,102,181,,
194,194,567,161,206,,
195,195,973,12,85,,
196,196,244,163,224,,
197,197,256,101,137,,
198,198,283,124,166,,
199,199,252,13,37,,
200,200,403,82,181,,
201,201,295,37,109,,
202,202,584,3,30,,
203,203,380,58,274,,
204,204,125,22,69,,
205,205,468,102,276,,
206,206,268,123,253,,
207,207,180,84,186,,
208,208,425,79,202,,
209,209,242,95,236,,
210,210,175,214,155,,
211,211,245,49,317,,
212,212,198,110,171,,
213,213,104,69,134,,
214,214,147,293,128,,
215,215,166,191,123,,
216,216,723,29,175,,
217,217,0,0,0,,
218,218,651,200,121,,
219,219,371,189,143,,
220,220,438,13,71,,
221,221,457,120,98,,
222,222,127,37,38,,
223,223,280,367,178,,
224,224,315,64,253,,
225,225,281,60,414,,
226,226,504,37,156,,
227,227,662,93,177,,
228,228,447,55,184,,
229,229,606,149,33,,
230,230,195,315,479,,
231,231,646,16,79,,
232,232,378,34,222,,
233,233,279,37,195,,
234,234,439,223,174,,
235,235,334,11,0,,
236,236,671,75,217,,
237,237,206,47,302,,
238,238,177,31,235,,
239,239,466,28,95,,
240,240,258,61,208,,
241,241,185,30,157,,
242,242,465,17,146,,
243,243,0,0,0,,
244,244,441,91,406,,
245,245,439,223,174,,
246,246,401,79,180,,
247,247,314,50,133,,
248,248,454,73,413,,
249,249,160,114,230,,
250,250,438,86,331,,
251,251,87,86,464,,
252,252,323,28,246,,
253,253,217,16,166,,
254,254,552,60,405,,
255,255,395,27,244,,
256,256,355,11,150,,
257,257,309,132,246,,
258,258,379,39,496,,
259,259,407,70,468,,
260,260,610,14,130,,
261,261,519,127,345,,
262,262,285,234,351,,
263,263,266,108,297,,
264,264,293,136,290,,
265,265,161,120,633,,
266,266,165,104,543,,
267,267,37,275,354,,
268,268,119,162,346,,
269,269,131,122,437,,
270,270,255,128,384,,
271,271,368,122,253,,
272,272,79,140,427,,
273,273,505,75,320,,
274,274,229,40,267,,
275,275,210,171,337,,
276,276,276,9,241,,
277,277,284,14,320,,
278,278,252,62,369,,
279,279,88,151,340,,
280,280,138,204,435,,
281,281,696,179,252,,
282,282,249,365,211,,
283,283,409,48,186,,
284,284,376,15,49,,
285,285,459,149,115,,
286,286,553,34,146,,
287,287,352,10,30,,
288,288,461,92,151,,
289,289,425,202,79,,
290,290,641,113,307,,
291,291,342,77,206,,
292,292,139,186,154,,
293,293,94,101,125,,
294,294,515,56,190,,
295,295,98,380,279,,
296,296,498,133,463,,
297,297,414,34,117,,
298,298,238,57,245,,
299,299,281,61,414,,
300,300,153,43,503,,
301,301,272,96,431,,
302,302,173,63,421,,
303,303,144,47,326,,
304,304,296,14,25,,
305,305,132,13,15,,
306,306,427,230,97,,
307,307,573,21,65,,
308,308,116,21,18,,
309,309,250,70,456,,
310,310,93,13,166,,
311,311,610,138,63,,
312,312,492,44,169,,
313,313,704,116,77,,
314,314,195,31,118,,
315,315,370,54,86,,
316,316,473,148,68,,
317,317,514,39,416,,
318,318,158,14,50,,
319,319,42,10,8,,
320,320,104,198,367,,
321,321,129,143,268,,
322,322,90,112,243,,
323,323,540,171,331,,
324,324,319,155,253,,
325,325,150,62,515,,
326,326,156,411,372,,
327,327,230,54,240,,
328,328,261,7,467,,
329,329,603,148,140,,
330,330,327,160,136,,
331,331,204,138,85,,
332,332,509,158,100,,
333,333,338,266,454,,
334,334,114,124,285,,
