No,Name,PTI-IND,PML-N,PPP,TLP,Total Votes,Filename
1,Govt. Elementry College Qaed Bwp,491,262,18,49,,
2,Social Welfare Fouji Basti Near Police Station,403,179,24,20,,
3,Govt. Girls High School Islamic Colony,308,0,20,67,,
4,Govt Darul Aftal Islamic Colony (Male),330,335,82,49,,
5,Govt. Girls High School Islamic Colony,440,374,46,135,,
6,Arabic Elementry School Islamic Colony Bwp,349,291,48,82,,
7,Govt.  High School Islamic Colony Female 1,147,0,72,9,,
8,Gps Basti Banga Islamic Colony (Male) Bwp,193,229,61,25,,
9,Govt.  High School Canal Colony Near Kali Pulli Male 1,666,341,29,37,,
10,Govt. Girls High School Canal Colony,547,244,24,20,,
11,Aeo Quarter No 34 1 Unit Staff Colony (Male),639,231,14,34,,
12,Gg E/S Medical Colony Near Markazi Jamiya Masjid,585,154,16,19,,
13,Govt. Technical Training Institute (Male 1),180,88,8,15,,
14,Govt. Girls Technical Training Institute (Female 1),138,41,4,2,,
15,Govt Technical Institute  Combined 1,360,246,12,31,,
16,Govt. Technical Training Institute (Male 2),472,298,12,23,,
17,Govt. Technical Training Institute (Female 2),334,212,10,23,,
18,Govt. Girls E/S Medical Colony 1 Unit (Male 1),364,133,12,16,,
19,Govt. Girls E/S Medical Colony 1 Unit (Female 2),298,116,8,9,,
20,Gg E/S Islamic Melay Wali Gali Colony (Male 1),405,234,15,18,,
21,Gg E/S Islam Mudarsa Hematiya Melay Wali Gali (Female 1),311,167,17,8,,
22,Office Of Deputy Deo (Male 1),447,241,16,19,,
23,Govt. Primery School  Satlite Town (Female 1),431,166,19,7,,
24,Govr Model English School Tibba Badar Sher (Male 1),547,304,27,41,,
25,Govt Model Girls English Medium Primery School Awami Scholl Tibba Badar (Female 1),432,219,42,24,,
26,Govt Girls Public School Muqbool Colony  (Male 1),318,243,13,66,,
27,Govt Girls Public School Muqbool Colony  (Female 1),318,199,24,25,,
28,Punjab Forest  Boys School Bagdad Road  (Male),220,178,23,16,,
29,Punjab Forest  Girls School Bagdad Road (Female),183,130,30,4,,
30,Govt Girls Degree College For Women (Male 1),359,188,8,28,,
31,Govt Girls High School Muhajar Colony (Female 1),287,161,7,22,,
32,Govt Boys High School Muhajar Colony (Male 1),550,395,12,42,,
33,Govt Girls High School Muhajar Colony (Female 2),335,280,10,30,,
34,Govt English Medium Boys Primery School C/N 9/Bc,519,377,28,46,,
35,Govt Girls E/S C/N 9/Bc,382,264,78,21,,
36,Govt School Shah Suleman Tibba Badar Shar (Male 1),378,316,15,77,,
37,Govt Girls Public School Tibba Badar Shar (Female 1),281,223,23,36,,
38,Red Rose Model School Mohalla Gulshan Habib Tibba Badar Sher Bwp (Male 1),397,325,38,58,,
39,Red Rose Model School Mohalla Gulshan Habib Tibba Badar Sher Bwp (Female 1),265,193,69,36,,
40,Girls Model Primery School  Tibba Badar Shar,397,156,16,58,,
41,Govt Girls Primery School Tibba Badar Shar Building 1 Near Aqsa Masjid,215,166,12,45,,
42,Govt Girls Model Public School Tibba Badar Shar Building 3,149,123,18,21,,
43,Govt Girls High School Tibba Badar Shar (Male 1),407,287,17,96,,
44,Govt Girls High School Tibba Badar Shar (Female 1),357,219,38,66,,
45,Govt E/S Boys Shah Suleman Tibba Badar Shar (Male 2,225,249,11,86,,
46,Govt Girls High School Tibba Badar Shar Building 2 (Female 2),143,194,25,45,,
47,Govt Primery School Govt Employees Society Combined- 1,386,94,6,20,,
48,Aiou Office (Male 1 ),185,285,35,21,,
49,Aiou Office,113,0,80,26,,
50,Govt Boys High School Jhangiwala (Male 1),449,154,22,28,,
51,Govt Boys High School Jhangiwala (Female 1),347,121,34,14,,
52,Govt High School Basti Salah (Male 1),370,408,34,15,,
53,Govt Boys High School Basti Salah (Female 1),261,279,34,1,,
54,Govt Boys Public School Akhtarabad (Male 1),559,312,31,29,,
55,Govt Primery School Akhtarabad (Female 1),368,165,34,17,,
56,Govt Boys Primery School Basti Bhatiya (Male 1),242,289,29,11,,
57,Govt Girls Public School Mari Elachi (Female 1),481,295,36,21,,
58,Govt School Baqirpur (Male 1),229,328,32,30,,
59,Govt E/S Boys Baqirpur (Male 2),164,323,35,56,,
60,Govt Boys E/S Baqirpur (Female 1),92,228,44,25,,
61,Govt Vacational Boys Training Institute (Male 1),339,167,4,22,,
62,Govt Vacational Girls Training Institute (Female 1),270,94,11,12,,
63,Govt Girls Sadiq High School Machali Talab (Male 1),285,109,9,7,,
64,Govt Girls High School Machali Talab (Female 1),212,85,7,1,,
65,Moon System Of Education Darbar Mahal (Male 1),465,359,15,17,,
66,Ahmed Public School Basti Matma (Female 1),359,252,16,18,,
67,Wapda Office Sadar Puli (Male 1),294,196,6,9,,
68,Wapda Office Female Sadar Puli (Female 1),205,138,18,4,,
69,Shahda Aps Boys High School Satelite Town (Male 1),487,127,11,13,,
70,Govt Girls High School Satelite Town (Male 1),381,128,7,12,,
71,Apwa Girls High School Satelite Town (Female 1),326,84,3,8,,
72,Govt College Of Technology Satelite Town (Male 1),416,169,14,18,,
73,Office Of Telephone Exchange Satelite Town (Male 1),625,210,6,21,,
