No,Name,MQM-P,PPP,IND-PTI,Total Votes,Filename
1,Improvise @ Edhi Centre Makrani Para Male (Part-I),51,320,435,,
2,Improvise @ Edhi Centre Makrani Para Female (Part-II),5,2,168,,
3,GBPS Makrani Para Male (Part-I),53,351,79,,
4,GBPS Makrani Para Female (Part-II),0,352,26,,
5,"Hali Road Sub Division WAPDA Office Muhammadi
Chowk (Combined)",0,110,513,,
6,GBPS Maki Shah (Combined),0,579,138,,
7,GPS Old Hali Raod (Male),75,23,130,,
8,GPS Gareeb Nawab @ Lalu Machi (Female),36,19,74,,
9,Saint Joseph KG School (Pvt) Sakhi Wahab Town,189,220,284,,
10,Basic Health Centre Lalu Machi (Female),67,187,124,,
11,GPS Islamia Qadria (Male) Portion 1,68,47,128,,
12,Govt High School Sakhi Wahab Town Female Portion 1,27,29,63,,
13,GPS Islamia Qadria Primary School (Male),67,31,110,,
14,Govt High School Sakhi Wahab Town Female Portion 2,45,41,57,,
15,"Khursheed Madarsa School Pvt Limted Nusrat Colony
(Famale)",36,15,63,,
16,GHS Iqra Eastern Side (Male),133,23,128,,
17,GPS Hali Road (Iqra) (Male),212,13,186,,
18,GHD Iqra Half Portion Western Side (Female),71,10,75,,
19,Basic Health Center Hali Road Hyderabad (Combined),113,23,264,,
20,GHS Iqra Hali Road Hyderabad (Combined) Portion-I,102,41,206,,
21,Sabir Hussain High School Pvt (Combined),102,37,320,,
22,Al Amir High School Al Waheed Colony (Combined),179,99,339,,
23,"Mothers Lab School System (Camps 2) Al Waheed
Colony Hali Road (Combined)",183,117,366,,
24,Family Welfare Centre @ Al Waheed Colony,29,513,107,,
25,GPS Allah Warayo Unnar (Male),32,374,233,,
26,GGPS Unnar Mehrani (Female) Improvised,11,215,279,,
27,GPS Gehra Sudhar Hindu Basti Part-I (Male),11,215,279,,
28,GPS Gehra Sudhar Hindu Basti Part-II (Female),6,95,92,,
29,Gulshan English Public High School Hali Nagar (Male),0,0,0,,
30,GBLSS Hadi Mil Hali Nagar Second Floor (Female),37,26,109,,
31,Al-Qamar English Public High School Boys Section,102,18,246,,
32,"Progressive English Grammer School Gulshan-e-Hali
(Female)",35,4,128,,
