No,Name,PTI-IND,MQM-P,PPP,Total Votes,Filename
1,01 DIRECTOR COLLEGE EDUCATION HYD,304,118,122,,
2,02 DIRECTOR COLLEGE EDUCATION FEMALE SOUTH GATE,195,49,43,,
3,03 ISLAMIA MODERAN HIGH SCHOOL MALE PORTION 1,239,74,20,,
4,04 LADIES CALUB HIRABAD,163,17,6,,
5,05 SACHAL SARMAST COLLEGE HIRABAD,184,90,32,,
6,shah latif primary male,176,55,26,,
7,7 SHAH LATIF PRIMARY SCHOOL PART 2 FEMALE,248,53,35,,
8,sachil commerce prtion 2,185,91,49,,
9,09 SHAH LATIF HIGH SCHOOL,160,121,11,,
10,10 ISLAMIA MODERAN HIGH SCHOOL MALE PORTION 2,222,160,35,,
11,11 DISTRICT EDUCATIN OFFICE FEMAL,153,61,27,,
12,12 AMIL COLONY PRIMARY SCHOOL,112,152,180,,
13,sdo wapda sarfaraz 1,137,184,19,,
14,moon public school,45,87,22,,
15,gps dhobi ghat,148,260,89,,
16,gps kali mori,63,57,32,,
17,18 FAIZ MUHAMMAD SILAWAT MALE,193,111,30,,
18,20 ZARTAZ PRIMARY SCHOOL KALI MORI,162,68,43,,
19,22 MADARSATUL BANNAT,104,44,114,,
20,23 SDO WAPDA SARFARAZ,181,66,58,,
21,24 INDUS PUBLIC SCHOOL MALE,132,156,102,,
22,ggls school p1 female,180,52,142,,
23,26 DARULULOOM,262,215,73,,
24,27 MODEL SCHOOL,183,80,51,,
25,28 DEO SECONDRY HYD MALE,179,95,119,,
26,horizon hugh school,219,201,13,,
27,30 MUNCIPAL HIGH SCHOOL KALI MORI,180,110,89,,
28,noor muhammad high school male,269,88,168,,
29,muslim science college,209,23,107,,
30,33 OFFICE OF THE NAZIM UC4,150,89,17,,
31,uc 4 office p2,53,32,145,,
32,madarsa tul bannat p1,134,42,62,,
33,noor muhammad high school p3,195,138,28,,
34,madar sa tul bannat f,178,69,85,,
