No,Name,PTI-IND,JIP,MQM-P,Total Votes,Filename
1,1 - GBSS NA Abbassi (Combined)-I,348,91,62,,
2,2 - Baldia Government Boys secondary School C/1 Landhi No 3 (Combined)-I,138,44,92,,
3,3 - Baldia Government Boys secondary School C/1 Landhi No 3 (Combined)-II,219,62,3,,
4,4 - GOVT BOYS PRIMARY SCHOOL C1/1 LANDHI (Male)-I,276,76,100,,
5,5 - GOVT BOYS PRIMARY SCHOOL C1/1 LANDHI (Female)-I,211,54,52,,
6,6 - Government Boys Primary School No. 13 Area 1/D Landhi Near Christian Colony (Combined)-I,68,67,110,,
7,"7 - Govt, boys Secondary School Paris Mill Landhi (Male)-I",255,111,96,,
8,"8 - Govt, boys Secondary School Paris Mill Landhi (Female)-I",163,70,34,,
9,"9 - Govt, boys Secondary School Paris Mill Landhi (Combined)-II",245,64,77,,
10,10 - Al-Hijra Education System (Combined)-I,100,34,27,,
11,11 - The Advance School Montessori System (Combined)-I,175,51,80,,
12,12 - Baldia Primary School Noor Manzil Landhi school No.1 32 (Male)-I,275,93,152,,
13,13 - Baldia Primary School Noor Manzil Landhi school No.1 32 (Female)-I,187,50,35,,
14,14 - DMC Muhammad Ali Jinnah Model Noor Manzil 32 Landhi (Male)-I,325,119,163,,
15,15 - DMC Muhammad Ali Jinnah Model Noor Manzil 32 Landhi (Female)-I,217,84,50,,
16,16 - Baldia Primary School Noor Manzil Landhi NO 1 (Male)-I,211,73,105,,
17,17 - Baldia Primary School Noor Manzil Landhi NO 1 (Female)-I,147,30,51,,
18,19 - Government Boys Primary School imam Memorial (Near Imam Memmorial Ground) (Combined)-I,165,62,80,,
19,20 - Govt. Girls Secondary School NO 1 Landhi No. 1 (Combined)-I,121,64,36,,
20,21 - Govt. Girls Secondary School NO 1 Landhi No. 1 (Male)-II,106,44,36,,
21,22 - Govt. Girls Secondary School NO 1 Landhi No. 1 (Female)-II,83,18,15,,
22,23 - Government Boys High school Landhi No. 1 C1 Landhi (Combined)-I,219,52,52,,
23,24 - Govt. Girls Higher Secondary School NO 1 Landhi No. 1 (Combined)-I,192,81,78,,
24,25 - GOVT BOYS PRIMARY SCHOOL C1/1 LANDHI (Combined)-I,191,56,66,,
25,26 - Government Boys high School No. 7 Area 37-D (Male)-I,410,117,65,,
26,27 - Government Boys high School No. 7 Area 37-D (Female)-I,271,55,58,,
27,28 - Government Boys high School No. 7 Area 37-D (Combined)-I,336,73,42,,
28,29 - Government Boys Primary School No. 9 Landhi (Combined)-I,299,111,107,,
29,30 - Millat Islamia Girls High School 37-D Landhi (Combined)-I,440,108,104,,
30,31 - Baldia Girls Primary School No. 33 Landhi No. 2 (Combined)-I,299,68,68,,
31,32 - Government Boys Secondary School No. 5 (JALI WALA) Landhi No 3 (Combined)-I,331,179,49,,
32,33 - DMC Muhammad Ali Jinnah Model School Campus 3 (Near Jali Wala School) (Combined)-I,248,141,86,,
33,34 - DMC Muhammad Ali Jinnah Model School Campus 3 (Near Jali Wala School) (Combined)-II,227,148,58,,
34,35 - Government Girls Degree College Landhi No. 3 1/2 (Mariam College) (Combined)-I,226,228,71,,
35,36 - Government Girls Degree College Landhi No. 3 1/2 (Mariam College) (Combined)-II,250,339,3,,
36,"37 - Govt Polytechnic Institute (For Woman) Babar Market, Landhi (Combined)-I",219,110,72,,
37,"38 - Govt Polytechnic Institute (For Woman) Babar Market, Landhi (Combined)-II",200,91,74,,
38,"40 - Govt Polytechnic Institute (BOYS ) Babar Market, Landhi (Combined)-I",283,90,72,,
39,"41 - Govt Polytechnic Institute (BOYS ) Babar Market, Landhi (Combined)-II",257,193,39,,
40,42 - Government Boys Primary school No. 5 (Jali Wala School Landhi No.3) (Combined)-I,197,165,56,,
41,43 - Government Boys Primary school No. 5 (Jali Wala School Landhi No.3) (Combined)-II,247,237,86,,
42,45 - Baldia Boys Pry School RSL 37/38 Khwaja Ajmer Colony (Combined)-I,222,108,162,,
43,46 - Baldia Boys Pry School RSL 37/38 Khwaja Ajmer Colony (Combined)-II,146,17,96,,
44,47 - Baldia Boys Pry School RSL 37/38 Khwaja Ajmer Colony (Combined)-III,468,115,109,,
45,48 - Baldia Boys Pry School RSL 37/38 Khwaja Ajmer Colony (Combined)-IV,147,74,175,,
46,49 - Pacific Grammar School near Ahmer Masjid Landhi (Combined)-I,155,80,74,,
47,50 - DMC School No. 35/36 Shah Khalid Colony Landhi(Tezgam) (Combined)-I,257,80,87,,
