No,Name,TLP,PTI-IND,PPP,MQM-P,Total Votes,Filename
1,"GBSS Azizia (masqatta) universal GBPS
48/A Korangi (male)",58,411,99,76,,
2,"GBSS Azizia (masqatta) universal GBPS
48/A Korangi (female)",17,268,56,24,,
3,"Azizia universal  GBPS 48/A Area
korangi (male)",45,202,44,37,,
4,"Azizia universal  GBPS 48/A Area
korangi (female)",26,44,39,7,,
5,"Info Academy sec 48korangi
(combined)",0,0,0,0,,
6,"Info Academy sec 48korangi
(combined)",33,274,29,45,,
7,GUBPS 48/H Korangi NO 1 (combined),33,295,76,51,,
8,GUBPS 48/H Korangi NO 1 (combined),23,165,100,29,,
9,"Perfect English Grammer Schl 48/A
Korangi (Combined)",51,150,89,78,,
10,"GUBPS Abbas Nagar sec 48/B Korangi
(combined)",68,393,82,96,,
11,"White House Grammer Schl sec 48/B
(Combined)",76,285,79,163,,
12,"White House Grammer Schl sec 48/B
(Combined)",83,423,89,119,,
13,"Kingston College Sec 48/B Korangi
(combined)",42,201,63,44,,
14,"AM Memorial Academy 48/B
(combined)",66,268,24,56,,
15,"AM Memorial Academy 48/B
(combined)",48,226,12,40,,
16,"Cost Guard Public Schl Korangi
(combined)",0,0,0,0,,
17,"Cost Guard Public Schl Korangi
(combined)",44,271,18,90,,
18,"Cost Guard Public Schl Korangi
(combined)",0,0,0,0,,
19,"Azizia Universal GBPS 48/A area
(combined)",0,0,0,0,,
20,"Azizia Universal GBPS 48/A area
(combined)",36,98,44,29,,
21,"Azizia Universal GBPS 48/A area
(combined)",66,238,0,0,,
22,"Azizia Universal GBPS 48/A area
(combined)",48,139,36,44,,
23,"White House Grammer Schl sec 48/B
(Combined)",0,0,0,0,,
24,"GBPS KPS-24 Sector 6/H Mehran Town
(Combined)",20,195,41,32,,
25,Talha Grammer Schl (Combined),0,0,0,0,,
26,GBPS KTS-24 (Combined),35,322,115,39,,
27,"Sana Grammer High School Mehran
Town (male)",50,293,224,54,,
28,"Sana Grammer High School Mehran
Town (female)",18,104,123,21,,
29,"GCT Hilal School (martin dow Campus)
Mehran Town (male)",28,193,111,13,,
30,"GCT Hilal School (martin dow Campus)
Mehran Town (female)",11,89,79,1,,
31,GCT Hilal School (martin dow Campus) Mehran Town (Combined),26,276,234,36,,
32,GCT Hilal School (martin dow Campus) Mehran Town (Combined),27,86,376,12,,
33,"Millat Secondary Schl Sector B-A Bilal
Colony (combined)",0,0,0,0,,
34,"National Institute of Leather
Technology Mehran Town (male)",20,308,53,6,,
35,National Institute of Leather Technology Mehran Town (female),4,107,32,2,,
36,"Knowledge Public School Bilal Colony
(Combined)",19,292,18,3,,
37,Kings Smart School Bilal Colony (male),21,163,52,0,,
38,"Kings Smart School Bilal Colony
(female)",9,72,33,0,,
39,"Sana Grammer High School Bilal
Colony (Combined)",0,0,0,0,,
40,"Takbeer Public School Bilal Colony
(combined)",21,338,106,11,,
41,"GBPS Mohammad Ali Goth Sector 8/C
(Combined)",16,88,515,1,,
42,GBSS School Bilal Colony (male),25,483,89,8,,
43,GBSS School Bilal Colony (female),16,170,72,2,,
44,GBSS School Bilal Colony (Combined),18,284,95,1,,
45,Tauheed Public Sec school (male),24,535,129,12,,
46,Tauheed Public Sec school (female),15,173,97,3,,
47,"Millat Secondary Schl Sector 8-A Bilal
Colony (combined)",11,244,53,6,,
48,"GBPS No 2 Bilal Colony Korangi 8/A
(Combined)",33,563,131,14,,
49,"GBPS Mohammad Ali Goth Sector 8/C
(male)",0,0,0,0,,
50,"GBPS Mohammad Ali Goth Sector 8/C
(female)",22,72,13,3,,
51,"Takbeer Public School Bilal Colony
(combined)",18,436,20,5,,
52,"GCT Hilal Public School 8/A Mehran
Town (male)",27,464,36,15,,
53,"GCT Hilal Public School 8/A Mehran
Town (female)",11,161,16,5,,
54,GBSS School Bilal Colony (Combined),11,281,40,3,,
55,"New Roomi School 33/E Korangi No
2:1/2 (male)",73,406,25,56,,
56,"New Roomi School 33/E Korangi No
2:1/2 (female)",23,247,15,18,,
57,MJM School 33/E Korangi (combined),39,368,15,71,,
58,"GBPS Sector 33/E Korangi No 2:1/2
(combined)",72,498,17,80,,
59,"Baldia Girls Sec School Sector 33/D
Korangi No 2:1/2 (combined)",112,447,181,66,,
60,"Baldia Girls Sec School Sector 33/D
Korangi No 2:1/2 (male)",117,413,59,114,,
61,"Baldia Girls Sec School Sector 33/D
Korangi No 2:1/2 (female)",41,256,31,41,,
62,"GGSS 13/J Sector 33/C Korangi No
2:1/2 (male)",76,295,28,169,,
63,"GGSS 13/J Sector 33/C Korangi No
2:1/2 (female)",31,232,21,53,,
64,"GGSS 13/J Sector 33/C Korangi No
2:1/2 (combined)",168,328,35,70,,
65,"GGSS 13/J Sector 33/C Korangi No
2:1/2 (combined)",0,0,0,0,,
66,"GBLSS Sector 33/C Korangi 2:1/2
(male)",113,309,27,81,,
67,"GBLSS Sector 33/C Korangi 2:1/2
(female)",41,151,14,28,,
68,Ather Foundation 33/C (combined),70,285,22,23,,
69,"Unique Primary Sec School Korangi No
2:1/2 (combined)",45,235,15,16,,
70,"GBLSS 33/C Korangi No 2:1/2
(Combined)",116,346,15,41,,
71,"GBPS 33/C korangi No 2:1/2 Sector
33/C Korangi (combined)",88,349,30,53,,
72,"KMC Ibrahim Ali Bhai School 33/B
Korangi NO 2 (male)",108,417,19,78,,
73,"KMC Ibrahim Ali Bhai School 33/B
Korangi NO 2 (female)",27,214,0,0,,
74,"City Pilot School P Area Korangi No
2:1/2 (Male)",68,446,68,61,,
75,"City Pilot School P Area Korangi No
2:1/2 (female)",27,265,35,26,,
76,The Educator Korangi No 2 (Combined),133,295,32,45,,
77,GGPS 35/B Korangi No 2 (male),134,341,21,87,,
78,GGPS 35/B Korangi No 2 (female),45,179,16,50,,
79,"GGPS No 11, 33/C korangi 2 (male)",148,466,25,89,,
80,"GGPS No 11, 33/C korangi 2 (female)",0,0,0,0,,
81,KMC Anis School (male),82,405,51,165,,
82,KMC Anis School (female),0,0,0,0,,
83,GBPS KTS No 2 (male),135,447,16,90,,
84,GBPS KTS No 2 (female),53,249,9,32,,
85,GBSS KTS No 8 (Combined),25,117,10,51,,
86,GBSS KTS No 8 (male),80,363,38,214,,
87,GBSS KTS No 8 (female),0,0,0,0,,
88,"Saima Sec School R.area Korangi 1-1/2
(male)",178,371,25,180,,
89,"Saima Sec School R.area Korangi 1-1/2
(female)",0,0,0,0,,
90,"Anjum Sec School Korangi 1-1/2
(Combined)",39,367,39,100,,
91,"Anjum Sec School Korangi 1-1/2
(Combined)",40,389,29,59,,
92,GBSS KTS No 11 (Combined),0,0,0,0,,
93,GGPS KTS No 11 (Combined),57,221,10,22,,
94,GGSS KTS No 11 (Combined),50,179,19,67,,
95,"National Grammer School luckhnow
Society (male)",29,501,37,37,,
96,"National Grammer School luckhnow
Society (female)",16,305,21,18,,
97,"NASRA School Darus Salam
(Combined)",15,396,50,39,,
98,"CDGK School No 3/4 Sec 32/D Nasir
Colony (Combined)",62,292,70,111,,
99,Allama Iqbal Boys & Girls Govt Baldia School UC 36-32/D (Combined),48,242,55,78,,
100,"CDGK School No 3/4 Sec 32/D Nasir
Colony (Combined)",134,364,45,137,,
101,"Aqsa School Sector 32/D Nasir Colony
(combined)",119,354,63,217,,
102,Al Bakka Sec School (combined),52,279,42,62,,
103,"GGLSS Nasir Colony 32/E Korangi
(male)",73,405,48,133,,
104,"GGLSS Nasir Colony 32/E Korangi
(female)",17,241,27,34,,
