No,Name,PTI-IND,MQM-P,JIP,PPP,Total Votes,Filename
1,Ali Public Secondary School Abbas Town (Combined),361,25,87,18,,
2,St.Francis School Abul Hassan Isphani Road (Combined),0,0,0,0,,
3,Iqra Grammar School (Combined),298,25,23,10,,
4,Al-Noor School Abbas Town (Combined),366,0,0,240,,
5,Bright Star School Abbas Town (Combined),0,0,0,0,,
6,Bright Star School Abbas Town (Combined),323,39,15,32,,
7,l Noor Islamic Schooling System Abu- l-Hassan Asphani Road (Combined),366,6,328,248,,
8,Govt. Boys Primary School Abdullah Palari Bakhar Goth (Combined),265,9,99,253,,
9,Al Hamd Academy Bakhar Goth (Combined),196,10,80,110,,
10,The Kings School Karachi (Rabia Petal Block-C) (Combined),395,45,83,11,,
11,The Kings School Karachi (Rabia Petal Block-C) (Combined),317,44,73,8,,
12,Crown City School Paradise Homes (Combined),415,42,98,9,,
13,Inspire Pakistan Community Center,380,25,79,45,,
14,St. Spring Field School A-1 Villas (Combined),537,46,65,6,,
15,St. Spring Field School A-1 Villas (Combined),289,20,34,10,,
16,Fatima Zehra Childern Grammar School/ College (Combined),234,21,80,55,,
17,Fatima Zehra Childern Grammar School/ College (Combined),157,10,47,414,,
18,Eastern Public (Al Akbar Changed to this),194,44,80,6,,
19,Tasmia Kindergarten & Grammer School (Combined),430,44,104,26,,
20,Tasmia Kindergarten & Grammer School (Combined),217,33,30,16,,
21,Ghazi Foundation (Combined),237,30,35,15,,
22,St. Phillips High School Gulshan-e-Iqbal (Combined) (Church),274,18,82,5,,
23,St. Phillips High School Gulshan-e-Iqbal (Combined) (Church),619,22,119,26,,
24,St. Phillips High School Gulshan-e-Iqbal (Combined) (Church),399,28,81,14,,
25,St. Phillips High School Gulshan-e-Iqbal (Combined) (Church),448,26,102,16,,
26,St. Phillips High School Gulshan-e-Iqbal (Combined) (Church),473,19,72,18,,
27,St. Phillips High School Gulshan-e-Iqbal (Combined) (Church),417,37,57,24,,
28,St. Phillips High School Gulshan-e-Iqbal (Combined) (Church),203,15,119,15,,
29,St. Phillips High School Gulshan-e-Iqbal (Combined) (Church),350,52,98,24,,
30,Little Hearts School A-82 Block 13D/2 Gulshan-e-Iqbal (Combined),314,34,62,18,,
31,Little Hearts School A-82 Block 13D/2 Gulshan-e-Iqbal (Combined),199,34,73,16,,
32,Little Hearts School A-82 Block 13D/2 Gulshan-e-Iqbal (Combined),398,47,81,20,,
33,Cambrig Public School A-41 Waseem Bagh 13D/2 Gulshan-e-Iqbal (Combined),417,37,102,5,,
34,Cambrig Public School A-41 Waseem Bagh 13D/2 Gulshan-e-Iqbal (Combined),335,51,67,13,,
35,Bright Future School B-118 Block 13/D Gulshan-e-Iqbal (Combined),352,19,64,33,,
36,Bright Future School B-118 Block 13/D Gulshan-e-Iqbal (Combined),575,26,86,0,,
37,National High School Block-13/A Gulshan-e-Iqbal (Combined),680,31,84,20,,
38,National High School Block-13/A Gulshan-e-Iqbal (Combined),579,36,125,13,,
39,National High School Block-13/A Gulshan-e-Iqbal (Combined),521,27,132,10,,
40,National High School Block-13/A Gulshan-e-Iqbal (Combined),352,35,123,4,,
41,National High School Block-13/A Gulshan-e-Iqbal (Combined),326,24,74,3,,
42,"Time Collegiate, Block 13/A Gulshan-e-Iqbal (Combined)",450,27,105,9,,
43,"Time Collegiate, Block 13/A Gulshan-e-Iqbal (Combined)",481,32,145,7,,
44,Educator School Plot No. 17 Block 13/A Gulshan-e-Iqbal (Combined),0,0,0,0,,
45,Educator School Plot No. 17 Block 13/A Gulshan-e-Iqbal (Combined),422,10,113,5,,
46,Educator School Plot No. 17 Block 13/A Gulshan-e-Iqbal (Combined),379,33,105,5,,
47,Zia Pubic School Bl-13 Gulshan-e-Iqbal (Combined),439,35,95,5,,
48,Zia Pubic School Bl-13 Gulshan-e-Iqbal (Combined),509,43,116,10,,
49,Zia Pubic School Bl-13 Gulshan-e-Iqbal (Combined),399,48,88,18,,
50,Land Mark School Plot No. A-162 Block 13/C Gulshan-e-Iqbal (Combined),489,56,109,24,,
51,Maritorious Collegiate A-1 Block 13/C Gulshan-e-Iqbal (Combined),318,61,113,3,,
52,Maritorious Collegiate A-1 Block 13/C Gulshan-e-Iqbal (Combined),512,0,129,12,,
53,Prime Rose Public School Block 13/C Gulshan-e-Iqbal (Combined),542,54,149,9,,
54,The Genesis School System Block 13D/2 Opp: Yahya Pride Gulshan-e- Iqbal (Female),386,22,93,14,,
PS No,Name of Polling Station,0,0,0,0,,
55,The Genesis School System Block 13D/2 Opp: Yahya Pride Gulshan-e- Iqbal (Female),0,0,0,0,,
56,"Ahmeds Academy Educational World, Block-13/D-2 Gulshan-e-Iqbal (combined)",0,0,0,0,,
57,"Ahmeds Academy Educational World, Block-13/D-2 Gulshan-e-Iqbal (combined)",410,56,91,4,,
58,"The Faheem Schooling System, B-13, Block 13D/2 Gulshan-e-Iqbal (Combined)",0,0,0,0,,
59,Hill Crest School Opp. Rufi Heaven Block-13/D/2 Gulshan (Combined),0,0,0,0,,
60,Hill Crest School Opp. Rufi Heaven Block-13/D/2 Gulshan (Combined),486,44,135,14,,
61,Shaheen Public School Block-13D/1 Gulshan (Combined),160,36,58,130,,
62,Shaheen Public School Block-13D/1 Gulshan (Combined),171,1,70,143,,
63,"The Smart School Plot No. C-3, Block 13D/1 Gulshan (Combined)",264,28,143,85,,
64,"City School Plot No.D-2, Block 13D/1 Gulshan-e-Iqbal (Combined)",209,47,95,53,,
65,Montessori Complex High School Block-13-D-1 Gulshan-e-Iqbal (Combined),206,17,69,5,,
66,Montessori Complex High School Block-13-D-1 Gulshan-e-Iqbal (Combined),310,23,48,7,,
67,Montessori Complex High School Block-13-D-1 Gulshan-e-Iqbal (Combined),558,63,0,0,,
68,Montessori Complex High School Block-13-D-1 Gulshan-e-Iqbal (Combined),562,30,157,11,,
69,Montessori Complex High School Block-13-D-1 Gulshan-e-Iqbal (Combined),208,15,46,3,,
