No,Name,PTI-IND,PPP,JIP,Total Votes,Filename
1,MALIR GOVT GIRLS BLCK 4 LAECHS,466,15,377,,
2,THE EDUCATORS GIRLS SCHOOL BLK 4 KAECHS,411,33,360,,
3,GREEN FLAG SCHOOL BLK 1 KAECHS,124,123,35,,
4,GREEN FLAG SCHOOL BLK 1 KAECHS,416,15,379,,
5,MALIR GOVT GIRLS BLCK 4 LAECHS,239,9,277,,
6,IBRAHIM ALI BHAI CDGK NO 12-13 KAECHS BLK 6 BALOCH COLONY,218,152,246,,
7,IBRAHIM ALI BHAI CDGK NO 12-13 KAECHS BLK 6 BALOCH COLONY,182,410,180,,
8,THE EDUCATORS GIRLS SCHOOL BLK 4 KAECHS,524,28,451,,
9,IBRAHIM ALI BHAI GOVT BOYS KAECHS BLK 7,281,16,251,,
10,IBRAHIM ALI BHAI GOVT BOYS KAECHS BLK 7,407,20,401,,
11,CDGK LOWER SECONDARY SCHOOL LIAQAT ASHRAF COLONY 2,0,0,0,,
12,CDGK LOWER SECONDARY SCHOOL LIAQAT ASHRAF COLONY 2 COMBINED,256,40,85,,
13,CDGK LOWER SECONDARY SCHOOL LIAQAT ASHRAF COLONY 2 COMBINED,204,0,101,,
14,CDGK LOWER SECONDARY SCHOOL LIAQAT ASHRAF COLONY 2 COMBINED,211,77,83,,
15,CDGK LOWER SECONDARY SCHOOL LIAQAT ASHRAF COLONY 2 COMBINED,206,63,90,,
16,CDGK LOWER SECONDARY SCHOOL LIAQAT ASHRAF COLONY 2 COMBINED,111,155,87,,
17,KIDS UNIVERSITY P 31 PECHS BLK 6,330,58,118,,
18,KIDS UNIVERSITY P 30 PECHS BLK 6,403,30,148,,
19,MUSLIM SECONDARY SCHOOL NO:1 SEC MANZOOR COLONY COMBINED,338,140,47,,
20,MUSLIM SECONDARY SCHOOL NO:1 SEC MANZOOR COLONY COMBINED,390,142,37,,
21,MUSLIM SECONDARY SCHOOL NO:1 SEC MANZOOR COLONY COMBINED,330,84,118,,
22,MUSLIM SECONDARY SCHOOL NO:1 SEC MANZOOR COLONY COMBINED,201,97,122,,
23,MUSLIM SECONDARY SCHOOL NO:1 SEC MANZOOR COLONY COMBINED,123,34,118,,
24,MUSLIM SECONDARY SCHOOL NO:1 SEC MANZOOR COLONY COMBINED,172,34,67,,
25,AL SEHER SEC. SCHOOL MANZOOR COLONY COMBINED,162,130,94,,
26,AL SEHER SEC. SCHOOL MANZOOR COLONY COMBINED,138,110,68,,
27,AL QUBA GOVT BOYS PRIMARY SCHOOL GUJJAR CHOWK MANZOOR COLONY COMBINED,330,151,122,,
28,GOHAR PUBLIC SCHOOL SEC.C MANZOOR COLONY COMBINED,320,70,157,,
29,NOOR-UL-HUDA PUBLICE SEC. SCHOOL SECTOR-C MANZOOR COLONY COMBINED,238,82,109,,
30,GOVT GIRLS SEC. SCHOOL AZMAT ISLAM ENGLISH MED. COMBINED,197,105,117,,
31,GOVT GIRLS SEC. SCHOOL AZMAT ISLAM ENGLISH MED. COMBINED,227,55,111,,
32,DEFENCE VIEW SECONDARY SCHOOL DEFENCE COMBINED,97,144,38,,
33,ALLIED SCHOOL DEFENCE CAMPUS EE-14 PH-2 COMBINED,235,61,126,,
34,"TAQWA MODEL SCHOOL H,S-13-14 DEFENCE PH,2 MALE",264,97,157,,
35,"TAQWA MODEL SCHOOL H,S-13-14 DEFENCE PH,2 FEMALE",0,0,0,,
36,ROYAL GRAMMAR SCHOOL DEFENCE APPARTMENT COMBINED,285,58,146,,
37,ROYAL GRAMMAR SCHOOL DEFENCE APPARTMENT COMBINED,341,125,195,,
38,ELYSIAN PUBLIC SCHOOL SEC.E MANZOOR COLONY COMBINED,205,25,81,,
39,AWADH SEC. PUBLIC SCHOOL SEC.E MANZOOR COLONY COMBINED,304,35,78,,
40,AWADH SEC. PUBLIC SCHOOL SEC.E MANZOOR COLONY COMBINED,169,35,67,,
41,"SADIQ FOUNDATION HIGHER SEC, SCHOOL SEC, E MANZOOR COLONY COMBINED",187,85,72,,
42,"SADIQ FOUNDATION HIGHER SEC, SCHOOL SEC, E MANZOOR COLONY COMBINED",0,0,0,,
43,"BISMILLAH MASJID SCHOOL SEC, B AKHTER COLONY COMBINED",236,107,99,,
44,"BISMILLAH MASJID SCHOOL SEC, B AKHTER COLONY COMBINED",223,322,115,,
