No,Name,PTI-IND,JIP,TLP,PPP,MQM-P,PML-N,Total Votes,Filename
1,,571,111,8,9,28,16,772,
2,,263,102,4,2,19,5,419,
3,,322,90,4,7,11,4,455,
4,,482,127,21,1,37,5,700,
5,,496,145,9,14,26,6,714,
6,,452,94,6,5,51,4,645,
7,,313,113,2,3,15,4,471,
8,,506,151,4,15,20,4,745,
9,,604,194,14,26,49,12,944,
14,,362,89,5,184,17,11,702,
15,,344,133,3,35,10,12,550,
17,,296,122,12,112,14,3,595,
19,,543,84,5,15,34,5,729,
20,,451,116,6,28,85,9,752,
21,,409,66,6,17,31,4,579,
22,,315,81,7,8,27,0,463,
23,,139,40,3,141,6,5,359,
24,,463,134,6,20,47,13,729,
25,,463,141,18,19,28,9,735,
26,,539,122,10,35,50,5,811,
29,,217,98,33,295,36,24,758,
30,,205,81,0,150,38,61,593,
31,,150,98,45,57,9,24,397,
32,,104,38,21,38,5,9,227,
33,,224,171,11,46,3,35,509,
34,,143,78,30,19,50,15,351,
35,,175,89,49,181,11,22,553,
36,,214,69,15,92,10,18,448,
37,,222,123,13,230,9,20,646,
38,,128,146,8,142,6,13,466,
39,,197,81,27,180,0,33,548,
40,,97,105,26,126,1,34,406,
41,,230,95,4,193,2,12,576,
42,,153,101,4,142,13,29,468,
43,,172,54,6,170,15,58,516,
44,,270,141,13,9,6,6,471,
45,,481,272,33,4,16,14,861,
46,,294,119,6,0,6,2,436,
47,,255,57,30,3,3,2,358,
48,,385,140,51,10,7,5,627,
49,,351,164,71,7,5,8,631,
51,,437,252,45,11,6,7,782,
52,,346,181,57,12,19,8,652,
53,,502,200,53,18,11,2,818,
54,,1107,195,102,10,9,6,1459,
55,,317,212,64,17,15,7,661,
56,,476,291,82,6,41,11,946,
57,,370,187,75,15,23,10,724,
58,,378,155,92,3,7,3,664,
59,,394,132,86,36,8,3,688,
61,,356,134,59,5,6,10,591,
62,,261,110,95,17,8,5,519,
63,,262,0,39,7,4,11,329,
64,,334,100,9,19,20,5,515,
66,,330,83,22,14,14,4,483,
67,,336,125,0,17,22,11,538,
68,,341,87,21,14,23,4,528,
69,,577,98,30,28,15,11,791,
71,,316,48,8,5,6,12,430,
72,,255,123,18,8,27,2,452,
73,,379,363,5,2,15,17,795,
74,,275,358,3,2,9,13,690,
75,,378,440,10,9,23,24,899,
76,,195,155,11,6,6,9,389,
79,,265,286,4,7,6,11,597,
80,,444,135,4,18,13,52,689,
81,,377,95,9,15,10,23,564,
85,,133,239,11,25,5,34,466,
86,,323,128,9,6,6,10,501,
87,,474,208,32,7,2,18,788,
88,,473,51,9,3,1,4,567,
90,,325,171,14,8,4,7,549,
91,,527,500,4,8,33,18,1118,
92,,391,261,0,11,11,9,761,
93,,297,208,24,12,0,7,590,
94,,335,157,23,10,13,6,559,
95,,243,101,120,9,8,10,513,
96,,231,80,61,1,2,7,402,
97,,349,164,150,9,13,7,722,
98,,318,135,59,5,0,7,548,
99,,181,57,128,12,3,5,394,
100,,327,120,120,7,6,11,611,
101,,315,128,43,9,8,4,531,
102,,348,145,39,7,8,3,563,
103,,279,102,10,0,3,3,442,
104,,267,206,28,53,7,45,632,
106,,395,163,85,5,3,9,682,
107,,296,143,21,4,36,21,539,
108,,246,0,0,0,0,0,253,
109,,337,113,19,3,18,16,540,
110,,504,95,19,9,15,0,656,
111,,196,143,0,35,2,32,454,
112,,450,224,39,8,9,16,790,
113,,251,138,41,11,30,6,529,
114,,179,98,38,2,33,5,405,
115,,322,149,49,6,34,4,632,
116,,236,89,42,6,75,3,510,
117,,137,63,53,15,40,2,372,
118,,208,131,25,4,23,6,441,
119,,297,108,14,11,22,7,498,
122,,375,125,13,13,33,10,603,
123,,318,99,11,3,9,2,571,
124,,439,119,8,6,17,8,644,
127,,379,132,0,12,24,5,584,
128,,327,107,8,6,8,2,487,
129,,389,94,6,8,30,3,578,
130,,301,113,9,2,11,6,466,
132,,189,74,7,6,17,10,337,
133,,310,106,12,4,7,8,477,
134,,403,110,18,9,19,6,583,
135,,274,77,10,4,12,5,407,
136,,228,60,11,2,3,3,331,
137,,557,104,28,7,4,12,764,
138,,300,175,123,1,15,4,685,
139,,333,123,78,5,82,4,732,
140,,285,128,177,12,25,5,687,
141,,224,165,88,9,22,0,567,
142,,277,133,118,5,10,13,610,
144,,573,269,73,4,17,21,1020,
145,,339,140,45,12,9,12,598,
146,,272,45,48,27,13,3,432,
147,,256,81,71,34,11,6,495,
148,,231,12,58,12,12,15,370,
149,,257,52,50,22,90,5,545,
150,,125,37,14,13,92,4,344,
151,,197,49,22,5,45,2,360,
152,,258,56,33,2,3,4,384,
154,,292,55,20,19,31,13,478,
155,,213,68,19,11,28,18,393,
156,,301,60,78,20,21,13,535,
157,,0,0,0,0,0,0,0,
158,,0,0,0,0,0,0,0,
159,,0,0,0,0,0,0,0,
160,,0,0,0,0,0,0,0,
161,,400,42,81,47,12,4,635,
162,,195,31,67,38,11,1,359,
163,,0,0,0,0,0,0,0,
164,,0,0,0,0,0,0,0,
167,,370,26,15,20,6,5,477,
169,,69,117,53,32,2,2,292,
175,,212,73,24,56,32,21,478,
176,,0,0,0,0,0,0,0,
179,,288,81,20,18,34,13,541,
180,,273,107,25,15,49,7,547,
181,,349,126,18,19,67,19,676,
187,,305,106,20,46,29,35,610,
188,,233,107,19,28,31,39,510,
189,,223,71,13,14,23,49,460,
190,,138,29,2,11,8,12,238,
191,,301,151,16,40,122,85,774,
192,,259,66,9,33,28,23,468,
193,,233,105,9,20,70,22,534,
194,,371,123,25,38,102,25,870,
195,,276,99,34,82,124,51,846,
196,,261,110,95,17,8,5,517,
197,,197,109,10,104,39,45,548,
201,,282,102,76,10,8,18,524,
203,,520,132,24,19,9,10,763,
204,,364,79,48,22,32,13,607,
206,,666,164,32,26,21,15,990,
210,,249,81,0,1,45,6,578,
211,,310,154,53,23,57,10,698,
212,,199,104,39,3,31,5,421,
213,,731,214,78,13,19,19,1171,
214,,386,129,127,36,32,0,737,
215,,289,74,62,25,14,2,517,
216,,293,133,155,35,85,10,871,
217,,270,89,23,13,67,7,561,
218,,186,63,32,4,16,7,370,
220,,181,89,87,18,41,10,504,
221,,127,61,25,10,17,2,290,
222,,277,136,15,3,54,7,592,
223,,337,91,28,22,232,3,867,
224,,255,115,53,43,77,5,682,
225,,255,115,53,43,77,5,682,
226,,292,160,49,9,26,3,628,
227,,261,128,31,4,7,2,484,
229,,299,131,111,6,19,4,606,
230,,327,171,122,5,9,3,685,
231,,218,104,95,10,40,3,524,
233,,156,87,95,26,135,0,678,
234,,168,58,129,67,169,11,730,
235,,137,95,33,6,49,4,456,
236,,185,64,45,15,101,9,527,
237,,343,84,18,48,7,13,588,
238,,213,69,41,166,8,3,542,
239,,290,13,2,20,9,3,380,
246,,480,134,81,0,8,14,746,
248,,455,112,47,21,67,10,791,
249,,127,21,74,71,400,8,750,
252,,315,88,28,44,24,19,555,
253,,220,91,29,18,60,22,573,
256,,241,45,11,9,18,6,390,
257,,90,43,57,10,46,1,299,
259,,230,104,21,3,39,4,487,
261,,206,142,93,8,38,7,585,
262,,171,84,54,8,13,2,390,
263,,301,150,174,3,29,4,773,
264,,308,172,178,12,36,8,791,
265,,420,176,352,31,46,18,1148,
267,,102,36,47,14,43,7,362,
269,,426,101,48,19,56,17,762,
271,,281,101,0,80,156,16,769,
272,,364,103,69,117,61,34,862,
273,,89,79,22,415,9,13,660,
274,,316,182,44,6,31,15,694,
275,,336,232,65,108,41,4,903,
276,,258,167,30,16,31,7,575,
277,,279,197,34,34,28,26,660,
278,,266,144,18,58,17,26,617,
279,,148,74,70,23,174,17,820,
280,,300,154,77,53,28,30,798,
284,,27,49,4,161,44,41,368,
285,,10,23,5,82,23,21,187,
286,,43,55,7,208,24,68,468,
288,,136,56,14,149,28,51,489,
289,,154,160,16,64,67,19,518,
290,,108,104,4,98,106,15,481,
291,,161,148,4,97,95,7,534,
292,,357,303,18,111,24,37,915,
