No,Name,PTI-IND,PPP,Total Votes,Filename
1,"GBPS Naval Flats Ghousia Road,Agra Taj colony",213,95,,
2,PN Model school( Bahria Model) KNCRE Agra Taj Colony,346,133,,
3,Ghulaman-e- Abbas High School,174,45,,
4,Ghulaman-e- Abbas High School,236,32,,
5,DMC School No. 12 Gate F- 22 Taj masjid Road.,399,79,,
6,DMC School No. 12 Gate F- 22 Taj masjid Road.,248,87,,
7,DMC School No. 34 Near Taj Masjid,337,143,,
8,Saqib Rose Academy Noorani Masjid Road Agra Taj Colony,478,100,,
9,GBHSS Ghazi Muhammad Bin Qasim Shah Abdul Latif Bhittai Road,0,0,,
10,GBHSS Ghazi Muhammad Bin Qasim Shah Abdul Latif Bhittai Road,285,157,,
11,GBHSS Ghazi Muhammad Bin Qasim Shah Abdul Latif Bhittai Road,314,133,,
12,Heaven Rose Grammar School Campus 1,257,137,,
12,Heaven Rose Grammar School Campus 2,257,110,,
13,Heaven Rose Grammar School Campus 2,190,77,,
14,Dar ul Huda Islamic School System Near Ghousia Masjid Road,350,136,,
15,Sadaya Academy Sec. School Haji Saleh Muhammad Road,300,177,,
16,Sadaya Academy Sec. School Haji Saleh Muhammad Road,260,189,,
17,DMC Girls Elementary School No.22 Lyari,268,78,,
18,The Educator School,289,68,,
19,The Educator School,269,79,,
20,"GGSS Shaheen School Masjid Road, Behar Colony",270,54,,
21,Peace Grammar School,376,70,,
22,Peace Grammar School,216,75,,
23,Heaven Model Iqra School,179,80,,
24,GGSS Bihar Colony,245,222,,
25,GGSS Bihar Colony,222,159,,
26,GGSS Bihar Colony,250,80,,
27,GGSS Bihar Colony,368,117,,
28,Nobel Grammar School,309,94,,
29,Nobel Grammar School,325,99,,
30,DMC School No. 2021,246,102,,
31,DMC School No. 2021,153,95,,
32,GBSS Behar Colony Mirza Adam Khan Road,388,270,,
33,GBSS Behar Colony Mirza Adam Khan Road,395,259,,
34,"Abdul Sattar Edhi DMC School No. 28,29,30 and 31",423,157,,
35,"Abdul Sattar Edhi DMC School No. 28,29,30 and 31",453,115,,
36,DMC No. 25-27 GBPS Miranaka Lyari,119,190,,
37,DMC No. 25-27 GBPS Miranaka Lyari,142,192,,
38,Al Aqsa model School Gulistan Colony Koila Godam,263,206,,
39,Red Rose Grammar School Koila Godam,333,190,,
40,GGHS Gulistan Colony Lyari,139,140,,
41,SM Din GGPS DMC 3233,152,184,,
42,DMC School No.39 (Dosa) near Mola dad Chock Singolan (Male),118,95,,
43,DMC School No.39 (Dosa) near Mola dad Chock Singolan (Female),118,95,,
44,DMC School No. 35 - 38,79,133,,
45,DMC School No. 35 - 38,205,298,,
46,DMC School No. 35 - 38,118,149,,
47,DMC School No. 34 Photo Lane Lyari,0,0,,
48,GBPS M.Usman Brohi,194,71,,
49,GGSS Singolane,167,362,,
50,GGSS Singolane,164,274,,
51,GBLSS Pak Baloch,185,181,,
52,Benazir Bhutto Shaheed Girls College (BBSGC),120,132,,
53,Benazir Bhutto Shaheed Girls College (BBSGC),123,82,,
54,Al Qadir School Campus No. 2 Muhammad Plaza Jhatpat Market,169,99,,
55,GBSS Lyari No.2,284,244,,
56,DMC School No.46,144,251,,
57,DMC School No.46,180,281,,
58,Kutchi Kumar School Kumharwara Hari Masjid Road Campus 1,762,186,,
59,Kutchi Kumar School Kumharwara Hari Masjid Road Campus 1,562,132,,
60,Bright Public School Nabi Dad Lane Mewashah Road,621,302,,
61,"Vector Education System, Hari Masjid, Gali No. 4 & 5",555,197,,
62,Baloch GBSS Lyari Abdul Khaleeq Road New Gabol Park Kala Kot,124,187,,
63,M.A Aivi Boys  Girls Primary School Mehrab Khan Essa Khan Road Lyari,237,258,,
64,Bright Public English School Faqeer Muhammad Durah Khan Road Kala Kot Lyari,173,373,,
65,Baloch GBSS Lyari Abdul Khaleeq Road New Gabol Park kala Kot,178,244,,
66,Foster Academy School Mewashah road sudhar lane,169,147,,
67,DMC School No 4849 Gabol Road Sudhar Lane Kala Kot Lyari,103,386,,
68,GBLSS Pak Baloch,169,225,,
69,Al-Qadir Public School Shenshai Shah Road,154,174,,
70,Al-Qadir Public School Shenshai Shah Road,152,172,,
71,"Bright Public School Gabool Road, Opposite Gabool Park.",115,197,,
72,"Pak Public Secondary School, Pir Muzammil Shah Road",225,282,,
73,Happy Children Academy pir Muzammil Shah Road,203,354,,
74,GBSS SM Lyari (Campus),118,533,,
75,GBSS SM Lyari (Campus),115,354,,
76,GBSS SM Lyari (Campus),113,254,,
77,GBSS SM Lyari (Campus),89,425,,
78,GGLS Ghulam Rasool Baloch,200,375,,
79,Hassan Ali Haji Govt.Girls School,97,189,,
80,DMC School No. 42,94,335,,
81,"GBLSS, GH Qasim Tennary Road",72,268,,
82,DMC School No. 42,0,0,,
83,"Shaheed Hafeez Rind Community Hall, Opposite Jannat Center Noor Elahi Road.",202,114,,
84,GBSS Lyari No.2 Main Chakiwara,132,243,,
85,Al Qadir Model English School 8 Chowk Branch,414,220,,
86,"Mughal School, Ahmed Shah Bukhari Road",118,218,,
