No,Name,MQM-P,PTI-IND,PPP,TLP,JIP,Total Votes,Filename
1,,0,0,0,0,0,,
2,,0,0,0,0,0,,
3,,0,82,289,43,80,,
4,,16,167,280,133,82,,
5,,5,108,416,28,67,,
6,,4,187,0,77,65,,
7,,0,0,0,0,0,,
8,,0,0,0,0,0,,
9,,0,0,0,0,0,,
10,,35,361,190,82,74,,
11,,6,144,249,17,153,,
12,,4,220,205,44,153,,
13,,23,134,42,59,36,,
14,,31,266,88,126,130,,
15,,2,236,467,65,84,,
16,,4,347,192,95,57,,
17,,3,153,321,47,58,,
18,,4,405,308,23,128,,
19,,5,167,337,46,83,,
20,,2,319,233,25,159,,
21,,2,365,265,66,159,,
22,,0,0,0,0,0,,
23,,23,298,87,40,93,,
24,,3,272,140,39,73,,
25,,7,346,138,57,123,,
26,,3,177,244,32,61,,
27,,4,299,210,148,100,,
28,,5,239,259,55,122,,
29,,5,130,200,123,130,,
30,,5,336,170,47,104,,
31,,16,387,100,63,98,,
32,,14,429,129,69,108,,
33,,37,326,89,58,0,,
34,,36,359,152,119,73,,
35,,13,167,114,76,47,,
36,,13,318,94,121,93,,
37,,24,145,233,47,36,,
38,,27,301,189,107,49,,
39,,0,393,100,131,102,,
40,,11,367,155,101,81,,
41,,6,262,50,89,64,,
42,,3,423,86,134,41,,
43,,10,479,124,143,53,,
44,,53,330,76,133,66,,
45,,20,175,136,56,27,,
46,,85,258,139,76,55,,
47,,30,376,83,171,63,,
48,,65,304,53,219,50,,
49,,17,342,115,173,54,,
50,,46,194,47,75,30,,
51,,65,336,150,127,97,,
52,,149,248,70,62,70,,
53,,205,189,50,65,63,,
54,,86,154,46,70,56,,
55,,116,144,52,58,41,,
56,,86,268,45,85,71,,
57,,0,0,0,0,0,,
58,,177,220,16,94,90,,
59,,238,189,51,66,109,,
60,,87,247,228,126,83,,
61,,57,273,236,26,128,,
62,,67,286,134,55,96,,
63,,337,158,170,100,107,,
64,,159,227,149,106,117,,
65,,69,415,29,95,169,,
66,,62,385,62,112,161,,
67,,51,264,63,78,113,,
68,,108,177,13,35,75,,
69,,169,143,30,81,99,,
70,,0,0,0,0,0,,
71,,58,219,17,44,74,,
72,,102,239,19,57,111,,
73,,111,282,18,95,89,,
74,,56,187,19,79,45,,
75,,0,0,0,0,0,,
76,,32,406,30,114,107,,
77,,0,0,0,0,0,,
78,,189,412,76,88,126,,
79,,98,409,18,112,125,,
80,,39,533,46,116,135,,
81,,149,265,89,66,94,,
82,,29,272,18,94,122,,
83,,19,249,29,80,99,,
84,,0,0,0,0,0,,
85,,81,318,43,80,144,,
86,,57,249,38,112,155,,
87,,102,130,42,35,82,,
88,,45,258,13,99,98,,
89,,120,233,21,56,107,,
90,,91,182,7,91,72,,
91,,71,182,15,90,61,,
92,,53,388,26,40,74,,
93,,23,134,42,59,36,,
94,,716,247,18,65,146,,
95,,85,226,38,70,88,,
96,,38,166,28,44,98,,
97,,150,245,59,96,82,,
98,,158,172,16,37,86,,
99,,205,139,40,41,54,,
100,,46,222,45,126,62,,
101,,50,241,156,109,63,,
102,,0,0,0,0,0,,
103,,39,299,48,52,156,,
104,,0,0,0,0,0,,
105,,58,349,34,27,130,,
106,,43,243,17,78,59,,
107,,27,180,10,38,71,,
108,,43,182,12,49,68,,
109,,441,157,19,68,83,,
110,,80,182,18,77,84,,
111,,76,166,18,95,125,,
112,,90,201,20,65,81,,
113,,65,187,17,47,64,,
114,,58,241,23,52,93,,
115,,131,347,167,110,61,,
116,,142,119,229,31,32,,
117,,75,114,359,23,33,,
118,,103,214,164,93,52,,
119,,93,209,45,75,50,,
120,,57,230,77,78,79,,
121,,51,161,73,72,75,,
122,,36,223,35,57,100,,
123,,44,155,91,41,100,,
124,,0,0,0,0,0,,
125,,131,296,233,23,315,,
126,,67,240,61,85,89,,
127,,87,187,83,31,86,,
128,,0,0,0,0,0,,
129,,25,313,117,42,199,,
130,,53,271,272,16,232,,
131,,35,310,175,34,262,,
132,,42,550,120,0,97,,
133,,20,231,99,59,42,,
134,,15,359,166,165,60,,
135,,44,348,40,167,90,,
136,,18,384,36,115,92,,
137,,26,395,50,96,111,,
138,,138,244,45,39,93,,
139,,36,299,49,124,110,,
140,,0,0,0,0,0,,
141,,73,397,33,122,92,,
142,,56,260,70,52,70,,
143,,94,262,64,76,179,,
144,,93,397,48,55,152,,
145,,81,284,31,102,89,,
146,,105,255,53,78,64,,
147,,117,390,33,72,73,,
148,,56,307,34,83,60,,
149,,56,319,30,215,104,,
150,,75,364,47,213,102,,
151,,39,289,39,165,98,,
152,,15,203,37,195,74,,
153,,17,257,35,196,71,,
154,,26,307,40,244,93,,
155,,0,0,0,0,0,,
156,,26,259,36,318,64,,
157,,17,193,41,240,95,,
158,,30,246,32,167,84,,
159,,63,281,28,174,83,,
160,,24,260,35,224,90,,
161,,95,282,40,233,80,,
162,,20,289,55,423,63,,
163,,20,234,46,401,65,,
164,,29,274,51,259,100,,
165,,17,216,59,397,78,,
166,,19,216,56,456,82,,
167,,24,188,54,576,62,,
168,,0,0,0,0,0,,
169,,31,199,40,61,187,,
170,,51,133,24,174,66,,
171,,63,181,17,25,88,,
172,,0,345,269,48,60,,
173,,36,335,215,68,302,,
174,,40,259,41,236,94,,
175,,21,406,108,43,140,,
176,,393,230,78,36,134,,
177,,116,144,52,58,41,,
178,,120,233,21,46,107,,
179,,38,238,45,48,91,,
180,,31,296,233,23,315,,
