No,Name,IND-PTI,PPP,MQM-P,JIP,Total Votes,Filename
1,1 - Safiyah Boys High School,387,82,24,71,,
2,2 - Safiyah Boys High School,410,105,107,40,,
3,"3 - Bonery primary school (DMC School No. 43 , 44",463,148,46,132,,
4,"4 - DMC Primary School No. 41, 42",442,101,56,40,,
5,5 - Safia Girls School Cambel Street,653,35,38,94,,
6,"6 - Smart School I.I Chundrigar Road, Haqani Chowk Campus Karachi.",600,25,86,120,,
7,7 - DJ Science College Dr. Ziauddin Ahmed Road,445,49,140,142,,
8,8 - DJ Science College Dr. Ziauddin Ahmed Road,329,95,38,67,,
9,9 - GBPS Kutchery Road,375,93,0,109,,
10,10 - DJ Science College Dr. Ziauddin Ahmed Road,356,168,36,64,,
11,11 - GBSS MUM Garikhata Karachi,469,70,21,80,,
12,12 - GBSS Metropolis Jama Cloth Karachi,361,45,33,78,,
13,13 - GBSS Metropolis Jama Cloth Karachi,246,24,56,79,,
14,14 - GGSS Fazl-ur-Rehman,237,14,78,78,,
15,15 - GGSS Fazl-ur-Rehman,263,16,59,97,,
16,16 - B.M.B Toddlers Girls Primary & Secondary School Burns Road,317,16,106,170,,
17,17 - GGLS Railway Fedderer Railway Colony,193,118,150,36,,
18,18 - GBLSS Railway Fedderer Railway Colony,280,88,137,98,,
19,19 - GBLSS Railway Fedderer Railway Colony,247,82,195,81,,
20,20 - GBPS Railway Fedder 01,243,55,41,86,,
21,21 - B.M.B Toddlers Girls Primary & Secondary School Burns Road,261,28,120,174,,
22,22 - Govt. Women College Shahra-e-Liaquat Karachi,403,33,73,254,,
23,23 - Govt. Women College Shahra-e-Liaquat Karachi,291,53,88,136,,
24,24 - Aziz-ud-Din Gaddi DMC School,313,59,67,161,,
25,25 - GBPS SM Model Ratan Talao,311,34,61,81,,
26,26 - Taleem Gah GBSS,184,8,41,61,,
27,27 - DMC Primary School NO. 45/46 Gawali Lane No. 3,478,39,152,101,,
28,28 - DMC Primary School NO. 45/46 Gawali Lane No. 3,258,11,104,59,,
29,29 - Nabi Bagh College Opp. Preedy Police Station,243,7,120,87,,
30,30 - Adam Jee Model School & College (OLD JMA School),335,15,93,105,,
31,31 - Adam Jee Model School & College (OLD JMA School),306,50,98,74,,
32,32 - BVS Parsi School Abdullah Haroon Road Karachi,281,16,27,40,,
33,33 - BVS Parsi School Abdullah Haroon Road Karachi,348,15,31,59,,
34,34 - DMC Dispensary Jahangir Park Saddar,427,56,24,54,,
35,35 - Kutchi Memon Secondary Private School Saddar,797,56,32,56,,
36,36 - Kutchi Memon Secondary Private School Saddar,529,74,41,36,,
37,37 - St. Patricks Girls High School,507,81,34,30,,
38,38 - St. Patricks Girls High School,590,50,48,36,,
39,39 - DMC School No. 49,477,33,54,56,,
40,40 - Govt. Commerce & Economics for Women Dr. Ziauddin Road Karachi,329,95,38,67,,
41,41 - Govt. Commerce & Economics for Women Dr. Ziauddin Road Karachi,356,168,36,64,,
42,42 - Lecon High School 5th Street Bath Island Clifton,227,261,17,148,,
43,"43 - Bay View High School, French Street, Civil Lines",281,124,28,35,,
44,44 - GBLSS President House Gate No. 4 Governor House Karachi,123,26,17,12,,
45,"45 - Bay View High School, French Street, Civil Lines",444,74,13,111,,
46,"46 - DMC School No. 59, 60, 61 Clifton Bridge Karachi",297,44,23,97,,
47,"47 - Bay View High School, French Street, Civil Lines",337,114,24,21,,
48,48 - Beacon House Clifton Campus MC Neil Road Ferrer Town Karachi,356,80,6,44,,
49,49 - GGSS Junior Model School Ferrer Town Karachi,282,94,12,72,,
50,50 - GGSS Junior Model School Ferrer Town Karachi,549,74,20,235,,
51,51 - Beacon House Clifton Campus MC Neil Road Ferrer Town Karachi,503,76,14,112,,
52,52 - Beacon House Clifton Campus MC Neil Road Ferrer Town Karachi,221,168,49,41,,
53,53 - Beacon House Clifton Campus MC Neil Road Ferrer Town Karachi,313,103,60,89,,
54,54 - Islamia Collegate Public School Hijrat Colony D.2 Sector,363,301,5,91,,
55,55 - Islamia Collegate Public School Hijrat Colony D.2 Sector,438,223,19,88,,
56,56 - Iqra Montessori World School Near Yaqoobia Masjid Hijrat Colony Karachi,481,233,19,90,,
57,57 - Iqra Montessori World School Near Yaqoobia Masjid Hijrat Colony Karachi,304,218,9,40,,
58,58 - DMC Primary School No. 54-55 M. Khan Junejo,289,182,9,40,,
59,59 - Govt. Girls Degree Science College Hijrat Colony Karachi,346,208,7,54,,
60,60 - Govt. Girls Degree Science College Hijrat Colony Karachi,337,134,9,30,,
61,61 - DMC Jamshed Ahmed Khan School Hijrat Colony Karachi,251,167,151,22,,
62,62 - GBPS Bismillah Masjid School Hijrat Colony Karachi,458,210,26,33,,
63,63 - DMC Jamshed Ahmed Khan School Hijrat Colony Karachi,277,191,93,19,,
64,64 - DMC 56 Tekri Colony Bath Island.,330,353,5,54,,
65,65 - Citizen Secondary School (Girls Campus) Bath Island Clifton Karachi(MALE),317,87,7,79,,
66,66 - Citizen Secondary School (Girls Campus) Bath Island Clifton Karachi(FEMALE),297,44,3,63,,
67,67 - Citizen Secondary School (Girls Campus) Bath Island Clifton Karachi,525,108,11,71,,
68,68 - Citizen Secondary School (Girls Campus) Bath Island Clifton Karachi,461,119,15,77,,
69,69 - Iqra Rozatul Atfal Trust School Bath Island,547,84,8,72,,
70,70 - Iqra Rozatul Atfal Trust School Bath Island,380,88,9,76,,
71,71 - Clifton Grammar Junior & Senior School Block - 5 Karachi,443,103,7,37,,
72,72 - Clifton Grammar Junior & Senior School Block - 5 Karachi,353,52,3,50,,
73,73 - Sir Syed Medical College Block 5,333,86,1,36,,
74,74 - Civitas Academia,495,14,15,97,,
75,75 - Sir Syed Medical College Block 5,452,31,9,70,,
76,76 - GGPS Abdullah Shahghazi Shah Rasool Colony,314,476,21,104,,
77,77 - GBELS Abdullah Shahghazi Shah (Old GBLS Khatri Islamia Shah Rasool Colony),189,0,0,0,,
78,78 - GGPS Abdullah Shahghazi,334,181,43,84,,
79,79 - GGPS Abdullah Shahghazi Shah Rasool Colony,419,457,11,142,,
80,80 - GBPS Sindhi Medium Gizri,250,277,8,151,,
81,81 - GBPS Sindhi Medium Gizri,213,180,10,151,,
82,82 - GBPS Sindhi Medium Gizri,281,197,0,75,,
83,83 - GGPS Gizri,311,388,13,96,,
84,84 - GGPS Gizri,279,366,23,77,,
85,85 - The Rose Academy D Street Ghizri,251,456,8,50,,
86,86 - The Rose Academy D Street Ghizri,326,370,22,79,,
87,87 - Pak Turk School & College,291,208,8,89,,
88,88 - Pak Turk School & College,325,164,8,103,,
89,89 - Pak Turk School & College,215,442,25,75,,
