No,Name,PTI-IND,MQM-P,JIP,PML-N,PPP,TLP,Total Votes,Filename
1,1,187,24,39,50,72,0,,
2,2,275,27,58,122,63,0,,
3,3,120,11,18,79,58,0,,
4,4,224,10,115,199,67,0,,
5,5,80,5,10,66,16,0,,
6,6,163,28,44,132,22,0,,
7,7,393,20,105,255,90,0,,
8,8,157,5,37,122,46,0,,
9,9,243,12,76,139,60,0,,
10,10,191,13,71,150,75,0,,
11,11,63,4,15,70,31,0,,
12,12,272,45,63,86,147,0,,
13,13,98,12,14,26,71,0,,
14,14,157,27,29,51,26,0,,
15,15,164,86,47,122,40,0,,
16,16,246,36,67,130,81,0,,
17,17,95,27,32,92,41,0,,
18,18,103,16,5,25,15,0,,
19,19,269,67,42,101,60,0,,
20,20,114,16,11,63,40,0,,
21,21,275,96,168,97,0,0,,
22,22,208,67,169,188,75,0,,
23,23,56,13,58,80,52,0,,
24,24,222,42,67,171,87,29,,
25,25,94,15,23,94,76,0,,
26,26,152,18,48,55,57,0,,
27,27,101,445,25,6,20,34,,
28,28,43,1101,6,0,4,6,,
29,29,75,928,54,6,8,0,,
30,30,144,103,38,19,108,374,,
31,31,67,64,18,18,69,179,,
32,32,167,240,53,12,26,227,,
33,33,97,105,24,3,21,79,,
34,34,192,1163,22,13,24,161,,
35,35,121,56,10,5,21,66,,
36,36,335,150,56,52,78,130,,
37,37,194,41,26,24,59,54,,
38,38,164,72,34,20,39,126,,
39,39,310,16,51,85,39,26,,
40,40,270,18,28,100,64,16,,
41,41,260,5,28,51,52,0,,
42,42,211,114,55,82,54,268,,
43,43,111,46,21,20,45,119,,
44,44,311,44,28,38,41,16,,
45,45,270,42,65,80,90,59,,
46,46,246,25,29,51,71,27,,
47,47,66,208,30,7,33,0,,
48,48,51,117,9,5,20,0,,
49,49,129,197,30,9,23,0,,
50,50,202,132,47,24,26,0,,
51,51,120,31,24,2,10,0,,
52,52,105,580,32,11,27,0,,
53,53,87,261,11,4,22,0,,
54,54,99,713,28,0,17,0,,
55,55,129,171,51,2,13,0,,
56,56,267,811,37,1,15,0,,
57,57,0,0,0,0,0,0,,
58,58,78,29,12,2,18,0,,
59,59,181,71,35,9,22,239,,
60,60,183,316,81,33,61,0,,
61,61,102,37,29,13,42,73,,
62,62,0,0,0,0,0,0,,
63,63,327,32,88,106,122,0,,
64,64,153,286,15,3,26,416,,
65,65,0,0,0,0,0,0,,
66,66,140,216,41,4,10,0,,
67,67,65,48,20,1,21,0,,
68,68,78,159,21,3,29,0,,
69,69,62,61,8,3,13,0,,
70,70,141,152,29,37,288,0,,
71,71,65,48,20,1,21,0,,
72,72,289,87,86,40,29,0,,
73,73,225,66,80,22,34,0,,
74,74,292,30,32,113,57,0,,
75,75,307,19,17,40,47,0,,
76,76,178,23,17,25,54,0,,
77,77,320,4,49,49,85,0,,
78,78,355,61,109,71,76,0,,
79,79,186,38,77,65,26,0,,
80,80,179,20,61,28,40,0,,
81,81,230,73,47,66,38,0,,
82,82,83,19,27,35,17,0,,
83,83,262,69,89,83,85,0,,
84,84,230,31,78,54,182,68,,
85,85,113,9,21,20,124,48,,
86,86,154,119,37,21,83,0,,
87,87,84,42,35,6,51,0,,
88,88,190,82,68,17,85,0,,
89,89,98,16,41,4,53,0,,
90,90,99,74,23,11,92,0,,
91,91,251,22,44,48,83,0,,
92,92,153,27,21,20,95,31,,
93,93,445,23,29,54,48,7,,
94,94,293,46,61,55,53,0,,
95,95,149,12,25,26,39,0,,
96,96,542,26,74,46,73,65,,
97,97,156,12,60,29,23,0,,
98,98,276,52,88,66,57,27,,
99,99,377,55,146,48,104,25,,
100,100,201,17,43,21,50,11,,
101,101,341,71,91,34,96,0,,
102,102,224,29,51,17,105,0,,
103,103,332,53,108,41,77,73,,
104,104,174,8,51,17,69,33,,
105,105,183,38,48,19,229,36,,
106,106,77,6,14,8,208,16,,
107,107,388,46,131,28,172,7,,
108,108,356,116,39,12,120,0,,
109,109,153,23,10,9,18,52,,
110,110,86,58,21,26,30,0,,
111,111,52,135,11,13,30,0,,
112,112,68,41,5,25,57,0,,
113,113,181,92,54,63,46,4,,
114,114,171,99,32,47,32,0,,
115,115,72,156,25,17,30,0,,
116,116,0,0,0,0,0,0,,
117,117,0,0,0,0,0,0,,
118,118,0,0,0,0,0,0,,
119,119,62,185,28,12,15,0,,
120,120,0,0,0,0,0,0,,
121,121,45,186,24,5,13,0,,
122,122,106,315,34,10,34,0,,
123,123,56,124,23,6,37,0,,
124,124,68,91,30,24,24,16,,
125,125,146,264,52,32,33,0,,
126,126,126,204,58,27,33,0,,
127,127,106,375,40,6,41,0,,
128,128,55,186,21,7,23,0,,
129,129,81,90,21,16,38,25,,
130,130,190,663,66,46,28,58,,
131,131,76,48,25,21,20,0,,
132,132,273,146,116,75,43,20,,
133,133,177,49,47,42,19,4,,
134,134,363,213,104,57,57,25,,
135,135,184,272,47,10,76,105,,
136,136,118,132,31,11,70,45,,
137,137,0,2,42,25,121,42,,
138,138,160,180,61,18,37,40,,
139,139,134,123,36,33,190,82,,
140,140,55,44,18,18,177,36,,
141,141,175,60,52,39,65,33,,
142,142,259,144,68,31,92,79,,
143,143,131,43,23,23,53,43,,
144,144,304,119,91,89,114,24,,
145,145,84,106,43,21,117,24,,
146,146,180,317,56,27,153,176,,
147,147,109,135,39,11,108,76,,
148,148,118,130,56,61,108,0,,
149,149,58,55,35,43,69,0,,
150,150,159,112,75,81,86,0,,
151,151,92,46,40,34,52,0,,
152,152,229,108,138,69,84,0,,
153,153,89,43,51,34,44,0,,
154,154,138,95,46,33,54,73,,
155,155,116,66,55,36,54,0,,
156,156,82,47,16,32,54,0,,
157,157,108,61,32,54,73,0,,
158,158,141,128,38,42,45,0,,
159,159,73,40,20,13,26,0,,
160,160,201,106,48,166,50,0,,
161,161,194,96,47,77,51,0,,
162,162,76,42,22,42,33,0,,
163,163,130,99,40,48,38,0,,
164,164,125,101,36,48,47,0,,
165,165,120,65,25,36,49,0,,
166,166,196,272,57,60,89,0,,
167,167,0,0,0,0,0,0,,
168,168,0,0,0,0,0,0,,
169,169,94,57,26,22,51,0,,
170,170,143,64,18,63,54,0,,
171,171,0,0,0,0,0,0,,
172,172,28,14,13,10,42,0,,
173,173,46,5,6,7,174,0,,
174,174,0,0,0,0,0,0,,
175,175,8,11,9,12,167,0,,
176,176,0,0,0,0,0,0,,
177,177,54,6,21,15,156,0,,
178,178,195,149,40,84,111,0,,
179,179,112,52,17,26,79,0,,
180,180,120,64,78,103,64,0,,
181,181,122,39,50,78,64,0,,
182,182,207,97,72,72,149,0,,
183,183,104,35,27,55,96,0,,
184,184,148,108,27,33,70,0,,
185,185,173,133,18,46,39,0,,
186,186,82,47,16,32,52,0,,
187,187,226,72,45,106,175,0,,
188,188,100,25,22,28,59,0,,
189,189,156,20,41,70,104,0,,
190,190,92,49,33,80,109,0,,
191,191,129,21,22,88,115,0,,
192,192,72,26,20,57,105,0,,
193,193,250,217,33,34,100,0,,
194,194,90,82,15,17,66,0,,
195,195,266,20,32,27,105,0,,
196,196,237,21,34,35,183,0,,
197,197,314,132,38,126,128,9,,
198,198,226,277,36,36,91,0,,
199,199,183,12,21,73,90,0,,
200,200,168,4,19,46,123,0,,
201,201,86,1,9,36,110,0,,
202,202,328,14,32,43,121,17,,
203,203,271,9,39,59,146,5,,
204,204,202,5,26,40,119,7,,
205,205,272,12,36,42,97,5,,
206,206,132,2,17,25,47,5,,
207,207,28,127,42,0,57,0,,
208,208,135,2,24,27,106,5,,
209,209,113,1,10,12,72,2,,
210,210,247,25,56,57,101,0,,
211,211,269,15,64,80,82,0,,
212,212,327,32,88,106,122,0,,
213,213,289,23,142,139,74,0,,
214,214,91,2,61,52,22,0,,
215,215,304,29,88,118,110,0,,
216,216,127,5,29,61,61,0,,
217,217,138,6,31,20,31,8,,
218,218,239,13,30,59,40,0,,
219,219,184,8,45,49,47,0,,
220,220,209,27,27,54,71,0,,
221,221,208,20,39,57,73,0,,
222,222,161,19,26,33,51,0,,
223,223,84,80,14,73,59,0,,
224,224,43,25,11,40,50,0,,
225,225,189,106,57,92,117,0,,
226,226,82,55,33,58,65,0,,
227,227,132,69,40,87,88,0,,
228,228,197,122,53,99,109,0,,
229,229,160,88,50,65,54,0,,
230,230,66,96,42,59,62,0,,
231,231,67,58,29,48,65,0,,
232,232,440,68,73,22,72,4,,
233,233,409,125,107,37,70,2,,
234,234,133,20,12,11,20,0,,
235,235,134,32,15,7,29,1,,
236,236,300,11,81,13,72,1,,
