No,Name,PTI-IND,PPP,Total Votes,Filename
1,F.G FOUNDATION SCHOOL MANORA CANTT MALE 1,211,187,,
2,F.G FOUNDATION SCHOOL MANORA CANTT FEMALE 1,123,119,,
3,KPT SCHOOL MANORA CANTT COMBINED 1,91,365,,
4,TCF SCHOOL GHAFFAR KHAN GALI MUHAMMADI COLONY MALE 1,267,90,,
5,TCF SCHOOL GHAFFAR KHAN GALI MUHAMMADI COLONY MALE 2,351,93,,
6,USMAN BIN AFFAN SCHOOL MADIRSAH MUHAMMADI COLONY FEMALE 1,173,76,,
7,GBPS SHAHI SCHOOL MUHAMMADI COLONY SHAHI MOHALLAH MALE 1,511,105,,
8,GULSHAN E ISLAM PUBLIC SCHOOL MUHAMMADI COLONY FEMALE 1,317,94,,
9,GBPS SHAHI SCHOOL MUHAMMADI COLONY SHAHI MOHALLAH MALE 2,303,79,,
10,TCF SCHOOL RAKLA CAMPUS 3 MUHAMMADI COLONY MUHAMMADI MASJID MALE 1,124,262,,
11,TCF SCHOOL NO 1 MC 1 MUHAMMADI COLONY MUHAMMADI MASJID FEMALE 1,85,251,,
12,TCF SCHOOL RAKLA CAMPUS 3 MUHAMMADI COLONY MUHAMMADI MASJID MALE 2,189,162,,
13,TCF NO 1 MC 1 MUHAMMADI COLONY MUHAMMADI MASJID MALE 1,124,195,,
14,TCF SCHOOL NO 1 MC 1 MUHAMMADI COLONY MUHAMMADI MASJID FEMALE 2,150,173,,
15,REHBAR PUBLIC SCHOOL MUHAMMADI COLONY MUSTAFA MASJID MALE 1,273,132,,
16,GBPS NOORANI NAVAL SCHOOL MUHAMMADI COLONY MUSTAFA MASJID FEMALE 1,105,77,,
17,GBPS BILAL KACHI PARA MUHAMMADI COLONY PAK MUSLIM MALE 1,168,218,,
18,GBPS BILAL KACHI PARA MUHAMMADI COLONY PAK MUSLIM FEMALE 1,69,76,,
19,GBPS BEGUM HAJRA MUHAMMADI COLONY COMBINED 1,111,93,,
20,GBPS BEGUM HAJRA MUHAMMADI COLONY COMBINED 2,152,101,,
21,HILAL PUBLIC SCHOOL HAROONABAD MALE 1,144,120,,
22,AISHA SCHOOL CAMPUS NO 2 NAVAL COLONY MALE 1,172,102,,
23,NOOR PUBLIC SCHOOL 1 JADOON CHOWK FEMALE 1,174,147,,
24,STAR WORLD SCHOOL MUHAMMADI COLONY AL FALAH MASJID CHOWK MALE 1,215,130,,
25,STAR WORLD SCHOOL MUHAMMADI COLONY AL FALAH MASJID CHOWK MALE 2,143,152,,
26,GBPS NOORANI MUHAMMADI COLONY GUJRAT MOHALA FEMALE 1,145,90,,
27,AISHA SCHOOL CAMPUS NO 1 MUIHAMMADI COLONY BARMA COLONY SHAH JALALI,89,221,,
28,GBSS BEGUM HAJRA MUHAMMADI COLONY FEMALE 1,91,195,,
29,ABUBAKR SECONDARY SCHOOL MUHAMMADI COLONY SHAMSO MOHALLAH COMBINED1,103,174,,
30,GBSS HAJI PIR MUHAMMAD BHIT I LAND FEMALE 1,58,190,,
31,GBSS HAJI PIR MUHAMMAD BHIT I LAND FEMALE 2,43,297,,
32,MCH BHIT ISLAND MALE 1,102,337,,
33,KARACHI ISLAND SCHOOL MALE 1,107,414,,
34,GBSS SHAMS PIR ST NO 1 SHAMS PIR I LAND MALE 1,262,435,,
35,GBSS SHAMS PIR ST NO 1 SHAMS PIR I LAND FEMALE 1,13,234,,
36,GBSS YOUNUSABAD MALE 1,0,0,,
37,GBSS YOUNUSABAD FEMALE 1,97,335,,
38,GBSS SUALEHABAD COMBINED 1,262,435,,
39,GBSS K.B GHULAM NABI BABA ISLAND COMBINED 1,60,190,,
40,BATALA JAMAT KHANA BABA ISLAND MALE 1,40,348,,
41,BASIC HEALTH UNIT BABA ISLAND MALE 1,76,378,,
42,GBSS K.B GHULAM NABI SUALEHABAD FEMALE 1,12,179,,
43,GBSS K.B GHULAM NABI BABA ISLAND FEMALE 1,27,184,,
44,HABIB PUBLIC SCHOOL SULTANABAD INTELLIGINCE COLONY MALE 1,300,110,,
45,HABIB PUBLIC SCHOOL SULTANABAD INTELLIGINCE COLONY FEMALE 1,185,53,,
46,GBSS M.A.O SULTANABAD SULTANABAD D-AREA MALE 2,164,39,,
47,GGSS INTELLIGENCE COLONY SULTANABAD FEMALE 1,152,28,,
48,GBPS MUHAMMADI SULTANABAD SULTANABAD D-AREA COMBINED 1,215,101,,
49,GBSS M.A.O SULTANABAD SULTANABAD D-AREA MALE 1,400,107,,
50,GGSS INTELLIGENCE COLONY SULTANABAD A-AREA FEMALE 2,181,60,,
51,GBPS M.A.O SULTANABAD A-AREA MALE 1,417,106,,
52,GGSS INTELLIGENCE COLONY SULTANABAD A-AREA FEMALE 2,201,51,,
53,HABIB PUBLIC SCHOOL SULTANABAD ST-01 MALE 1,345,64,,
54,HABIB PUBLIC SCHOOL SULTANABAD ST-01 MALE 2,485,73,,
55,HABIB PUBLIC SCHOOL SULTANABAD ST-01 FEMALE 1,117,29,,
56,HABIB PUBLIC SCHOOL SULTANABAD ST-01 FEMALE 2,193,48,,
57,GBPS M.A.O SULTANABAD A-AREA MALE 1,665,118,,
58,GGSS INTELLIGENCE SUKTANABAD FEMALE 1,210,51,,
59,GULSHAN PUBLIC ELEMENTARY SCHOOL GULSHAN E SIKANDARABAD COMBINED 1,215,98,,
60,ZOHAIB PUBLIC SCHOOL GULSHAN E SIKANDARABAD MALE 1,326,131,,
61,PEACE CHILDREN GULSHAN E SIKANDAR ABAD FEMALE 1,107,60,,
62,AL NASSR SCHOOL PATHAN COLONY MALE 4,151,31,,
63,AL NASSR SCHOOL PATHAN COLONY MALE 4,196,111,,
64,AL QUDOOS GOVT SCHOOL KPT FEMALE 1,151,116,,
65,SALT LAKE SCHOOL KPT BUILDING COMBINED 1,170,30,,
66,AL NOOR SCHOOL GULSHAN SIKANDAR ABAD MALE 1,266,81,,
67,TABEER SCHOOL GILSHAN SIKANDAR ABAD FEMALE 1,128,34,,
68,MUSLIM ACADEMY ZAROBI MOHALLAH MALE 1,307,99,,
69,CHICAGO SCHOOL ZAROBI MOHALLAH FEMALE 1,149,80,,
70,AL KAUSAR PUBLIC SCHOOL GULSHAN SIKNADAR ABAD COMBINED 1,298,100,,
71,KAINAT PUBLIC SCHOOL GULSHAN SIKANDAR ABAD MALE 1,493,258,,
72,KAINAT PUBLIC SCHOOL GULSHAN SIKANDAR ABAD FEMALE 1,210,132,,
73,PAK AMERICAN GRAMMAR SCHOOL ASHFAQ COLONY MALE 1,397,82,,
74,SCHOLARS ACADEMY SCHOOL ASHFAQ COLONY FEMALE 1,152,52,,
75,AIMS MODEL SCHOOL TASHQAND COLONY BHUTTA VILLAGE MALE 1,187,63,,
76,TARIQ PUBLIC SCHOOL 2 TASHQAND COLONY BHUTTA VILLAGE MALE 1,356,70,,
77,TARIQ PUBLIC SCHOOL 2 TASHQAND COLONY BHUTTA VILLAGE FEMALE 1,68,19,,
78,TARIQ PUBLIC SCHOOL 2 TASHQAND COLONY BHUTTA VILLAGE FEMALE 1,98,10,,
79,GBPS MULLAH PATEL UMAR KHAN ROAD SUBHAN ALLAH MASJID MALE 1,349,75,,
80,GBPS MULLAH PATEL UMAR KHAN ROAD SUBHAN ALLAH MASJID FEMALE 1,164,48,,
81,INNOVATIVE SECONDARY SCHOOL UMAR KHAN ROAD SUBHANLLAH MASJID MALE 1,357,93,,
82,ZAM ZAM SECONDARY SCHOOL UMAR KHAN ROAD SUBHAN ALLAH MASJID FEMALE 1,179,66,,
83,KBAH MAMA SCHOOL OKHAI COLONY QASIM SHAH ROAD OKHAI COLONY MALE 1,313,41,,
84,KBAH MAMA SCHOOL OKHAI COLONY QASIM SHAH ROAD OKHAI COLONY MALE 2,283,43,,
85,OCEAN GRAMMAR SCHOOL QASIM SHAH ROAD OKHAI COLONY FEMALE 1,234,39,,
86,SHINING STAR TASHQAND COLONY MALE 1,365,119,,
87,INNOVATIVE MODEL SCHOOL TASHQAND COLONY FEMALE 1,116,85,,
88,GBPS BHUTTA VILLAGE TASHQAND COLONY MALE 1,182,171,,
89,GBPS BHUTTA VILLAGE TASHQAND COLONY MALE 2,106,147,,
90,EARLY BIRDS GRAMMAR SCHOOL TASHQAND COLONY FEMALE 1,141,144,,
91,NEW DAFFODILS SECODNARY SCHOOL ZAROBI COLONY PANJRI PARA MALE 2,237,251,,
92,NEW DAFFODILS SECODNARY SCHOOL ZAROBI COLONY PANJRI PARA MALE 2,345,221,,
93,SHABBIR GRAMMAR ZAROBI COLONY PANJRI PARA MALE 1,183,129,,
94,SEA HORSE GRAMMAR SCHOOL ZAROBI MOHALLAH FEMALE 1,120,140,,
95,PAK ISLAMIC ACADEMY ZAROBI COLONY PANJRI PARA FEMALE 1,259,186,,
96,DAFFODILS SECONDARY SCHOOL ZAROBI COLONY PANJRI PARA FEMALE 1,80,117,,
97,LITTLE ANGELS ACADEMY ZAROBI COLONY PANJRI PARA MALE 1,228,247,,
98,AL SHAFAQ GRAMMAR SCHOOL ZAROBI COLONY PANJRI PARA COMBINED 1,195,167,,
99,ROSE HEAVEN PUBLIC SEC SCHOOL KPT MASAN ROAD MALE 1,167,108,,
100,ROSE HEAVEN PUBLIC SEC SCHOOL KPT MASAN ROAD MALE 2,307,152,,
101,FAHAD ACADEMY ZAROBI COLONY PANJRI PARA MALE 1,207,172,,
