No,Name,PTI-IND,MQM-P,PPP,JIP,Total Votes,Filename
1,"Nonihal Secondary School, Islamia Colony No1, Qasba Colony, (Male)",157,2,54,54,,
2,"Rose Garden School, Islamia Colony No.2, Qasba Colony, (Female)",49,2,8,13,,
3,"Rose Garden School, Islamia Colony No.2, Qasba Colony, (Combined)",229,0,85,51,,
4,"Rose Garden School, Islamia Colony No.2, Qasba Colony, (Combined )",200,0,50,45,,
5,"Pak National Grammer Secondary School, New Mian Wali Colony, (Combined)",165,0,53,50,,
6,"Nasir Hanif Memorial, New Mianwali Colony, (Combined)",214,3,89,30,,
7,"Nasir Hanif Memorial, New Mianwali Colony, (Combined)",247,1,58,37,,
8,"Nonihal Secondary School, Islamia Colony No.1, Street No.1114/1115, (Combined)",236,7,68,27,,
9,"Nonihal Secondary School, Islamia Colony No1, Qasba Colony, (Male)",298,10,47,38,,
10,Friend Paradise High School (Male),622,6,33,26,,
11,Al-Moaz School (Female),359,0,16,6,,
12,"M.I Secondary School Awan Colony, (Combined)",283,10,50,44,,
13,GBPS Iqbal Nangar (Combined),191,9,89,42,,
14,GBPS Iqbal Nangar (Combined),208,2,21,25,,
15,"Holly Shephered School, New Mianwali Colony, (Male)",136,148,118,36,,
16,"Holly Shephered School, New Mianwali Colony, (Female)",47,80,73,2,,
17,"GBPS Al Safa, Kunwari Colony, Qasba Colony, (Combined)",96,39,165,15,,
18,"GBPS Al Safa, Kunwari Colony, Qasba Colony, (Combined)",214,4,45,47,,
19,"Allama Shibli Secondary School, Muhammad Pur, Kati Pahari, (Combined)",197,32,51,46,,
20,"Allama Shibli Secondary School, Muhammad Pur, Kati Pahari,  (Combined)",165,13,44,80,,
21,Study Zone Grammer School (Combined) (Proposed),81,5,35,27,,
22,"Madersa Noor ul Islam, (Combined)",257,20,130,2,,
23,"Madersa Noor ul Islam, (Combined)",45,10,39,26,,
24,"Al- Asar, Islamic School (Male)",313,10,108,63,,
25,Farooque Islamic School (Female),81,0,15,13,,
26,"GBPS Quwwat-ul-Islam, Muhammad Pur, Qasba Colony, (Ground Floor) (Combined)",226,11,92,38,,
27,"GBPS Quwwat-ul-Islam, Muhammad Pur, Qasba Colony, (Ground Floor) (Male)",194,12,89,53,,
28,"GBPS Quwwat-ul-Islam, Muhammad Pur, Qasba Colony,  (Ground Floor) (Male)",276,13,53,49,,
29,"Nonihal Secondary School, Islamia Colony No1, Qasba Colony, (Male)",187,1,50,64,,
30,New Falcon High School (Combined),504,66,72,38,,
31,"GBPS MM Uloom, New Mianwali Colony, (Ground Floor) (Male)",146,0,179,51,,
32,"GBPS MM Uloom, New Mianwali Colony, (Ground Floor) (Female)",58,27,103,13,,
33,"GBPS Qasba No.1, Qasba Colony, (Male)",208,42,32,83,,
34,"GBPS Qasba No.1, Qasba Colony,, SITE. (Combined)",79,136,7,37,,
35,"GGSS Qasba Colony,, SITE. (Female)",75,23,5,20,,
36,"Govt. Degree College, Sector A-1, Qasba Colony, (Male)",162,167,12,5,,
37,"Govt. Degree College, Sector A-1, Qasba Colony, (Male)",101,96,11,75,,
38,"Jessay Land School, Sector A-1, Qasba Colony, (Female)",0,0,0,0,,
39,"Jessay Land School, Sector A-1, Qasba Colony, (Female)",67,69,8,29,,
40,"Helicon Grammar School No.1, Quarter No.91 & 92, Qasba Colony, (Male)",138,212,13,117,,
41,"Helicon Grammar School No.1, Quarter No.91 & 92, Qasba Colony, (Female)",115,111,5,83,,
42,"Helicon Grammar School No.2, Quarter No.75 & 76, Qasba Colony, (Male)",108,105,26,77,,
43,"Helicon Grammar School No.2, Quarter No.75 & 76, Qasba Colony, (Female)",53,60,12,13,,
44,"Islamic Vision School, E-Area, Qasba Colony, (Male)",149,69,21,92,,
45,Government Degree College Sector 1-A Qasba Colony (Female) (Proposed),83,24,5,43,,
46,"GBPS Easter Public, K-Area, Qasba Colony, (Combined)",150,126,78,32,,
47,"GBLSS Ramzan Goth, K-Area, Qasba Colony, (Combined)",109,268,27,38,,
48,Al-Marif Huffaz School (Combined),292,1,34,34,,
49,Al-Marif Huffaz School (Combined),182,2,47,25,,
50,"GBLSS Sipahi, Peerabad, ST-2, Banaras, (Combined)",237,15,34,44,,
51,Govt. Degree Science and Commerce College Orangi Town (Male),409,4,38,41,,
52,Govt. Degree Science and Commerce College Orangi Town (Female),94,0,15,4,,
53,"GBPS No.02 Qasba Colony, K-Area, Qasba Colony, (Male)",308,7,50,64,,
54,"GBPS Madrasa Asifia, Qasba Colony, (Female)",75,1,24,8,,
55,Government Degree College Sector 1-A Qasba Colony (Combined) (Proposed),164,15,64,51,,
56,Government Degree College Sector 1-A Qasba Colony (Combined) (Proposed),47,6,32,12,,
57,Government Degree College Sector 1-A Qasba Colony (Combined) (Proposed),59,100,2,14,,
