No,Name,IND-PTI,JIP,TLP,MQM-P,PPP,Total Votes,Filename
1,City Modal School (Male),0,0,0,0,0,,
2,City Modal School (Female),89,48,1,5,20,,
3,City Modal School (Combined),304,279,3,18,71,,
4,Kids Foundation School (Combined),190,41,2,4,47,,
5,Kids Foundation School (Combined),0,0,0,0,0,,
6,UA Foundation School Campus 01 (Combined),264,119,0,15,38,,
7,UA Foundation School Campus 01 (Combined),255,156,7,20,51,,
8,UA Foundation School Campus 01 (Male),212,161,8,38,58,,
9,UA Foundation School Campus 01 (Female),98,38,2,16,37,,
10,GBPS Muhammad Hussain (Combined),337,62,46,69,72,,
11,GBPS Muhammad Hussain (Combined),150,41,42,89,87,,
12,Bright Children School (Male),213,102,68,71,42,,
13,Bright Children School (Female),125,59,43,23,23,,
14,Bright Children School (Combined),210,52,21,44,54,,
15,GBPS Muhammad Hussain (Combined),199,76,33,64,54,,
16,GBPS Muhammad Hussain (Combined),257,83,5,32,56,,
17,GBPS Muhammad Hussain (Combined),362,85,32,86,51,,
18,Shams Bijli Nagar Primary School (Male),275,147,37,45,23,,
19,Shams Bijli Nagar Primary School (Male),0,0,0,0,0,,
20,Shadab Public School (Female),190,69,17,26,19,,
21,B.M Grammar School (Male),169,181,40,101,22,,
22,B.M Grammar School (Female),0,0,0,0,0,,
23,B.M Grammar School (Male),199,236,25,16,7,,
24,GBPS Al-Mustafa Islam Nagar (Female),65,103,7,8,12,,
25,GBPS Qudsia (Combined),342,193,9,3,16,,
26,GBPS Qudsia (Combined),198,149,55,17,27,,
27,Jamia Masjid Tahiri Government Primary School (Combined),376,172,2,5,33,,
28,GBSS. Shams Mujahid Colony Sec 4-F (Male),246,130,0,21,86,,
29,GBSS. Shams Mujahid Colony Sec 4-F (Female),108,54,36,3,43,,
30,GBSS. Shams Mujahid Colony Sec 4-F (Combined),202,75,19,4,43,,
31,Excellent Children Academy (Male),158,72,58,71,2,,
32,Excellent Children Academy (Combined),130,62,0,0,11,,
33,Excellent Children Academy (Female),90,35,20,28,5,,
34,GBPS. Orangi Public School (Male),138,94,130,71,4,,
35,GBPS. Orangi Public School (Male),165,57,21,108,30,,
36,GBPS. Orangi Public School(Female),147,80,44,81,16,,
37,Talant World Public School (Male),200,83,50,22,73,,
38,Talant World Public School (Female),82,32,18,17,36,,
39,Talant World Public School (Combined),157,54,18,16,29,,
40,Talant World Public School (Combined),210,150,42,133,46,,
41,Umar Ideal Public Seconadery School (Combined),216,240,43,45,55,,
42,Bright Horizon School(Male),198,89,27,40,48,,
43,Bright Horizon School (Female),66,37,11,18,33,,
44,GBPS Bismillah Colony (Combined),0,0,0,0,0,,
45,GBPS Bismillah Colony (Combined),0,0,0,0,0,,
46,B.M. Grammar Secondary School (Male),0,0,0,0,0,,
47,B.M. Grammar Secondary School (Male),89,41,45,190,25,,
48,B.M. Grammar Secondary School (Female,136,65,20,32,7,,
49,B.M. Grammar Secondary School (Female),231,49,21,120,27,,
50,GBPS Hanifia Haryana Colony (Combined),131,54,16,97,21,,
51,GBPS Hanifia Haryana Colony (Combined),0,0,0,0,0,,
52,GBPS Hanifia Haryana Colony (Combined),244,168,2,0,31,,
53,Al Hamd Public School (Combined),292,93,11,74,193,,
54,Modern Age School (Combined),120,108,23,49,60,,
55,Nayab School (Combined),148,103,12,31,61,,
56,Nayab School (Combined),153,161,4,6,6,,
57,Hasnain Public School (Combined),127,107,15,28,70,,
58,Hasnain Public School (Combined),121,72,6,80,73,,
