No,Name,IND-PTI,MQM-P,Total Votes,Filename
1,,183,23,,
2,,313,31,,
3,,217,2,,
4,,51,71,,
5,,156,204,,
6,,133,106,,
7,,311,56,,
8,,319,60,,
9,,131,115,,
10,,107,60,,
11,,106,31,,
12,,315,50,,
13,,0,32,,
14,,37,40,,
15,,147,40,,
16,,348,81,,
17,,116,80,,
18,,80,44,,
19,,217,31,,
20,,96,118,,
21,,157,122,,
22,,120,81,,
23,,162,26,,
24,,153,1,,
25,,120,1,,
26,,74,13,,
27,,522,64,,
28,,322,97,,
29,,237,33,,
30,,269,32,,
31,,207,12,,
32,,239,12,,
33,,254,11,,
34,,290,6,,
35,,373,7,,
36,,282,23,,
37,,220,15,,
38,,238,33,,
39,,352,42,,
40,,170,16,,
41,,191,49,,
42,,316,37,,
43,,301,1,,
44,,292,43,,
45,,14,537,,
46,,247,68,,
47,,255,88,,
48,,83,15,,
49,,506,48,,
50,,381,42,,
51,,185,41,,
52,,140,18,,
53,,237,0,,
54,,303,41,,
55,,391,99,,
56,,433,58,,
57,,203,15,,
58,,380,40,,
59,,283,34,,
60,,372,74,,
61,,433,63,,
62,,470,32,,
63,,277,60,,
64,,362,48,,
65,,256,286,,
66,,284,51,,
67,,477,225,,
68,,391,69,,
69,,245,32,,
70,,465,75,,
71,,296,62,,
72,,284,16,,
73,,447,0,,
74,,317,35,,
75,,330,74,,
76,,344,27,,
77,,336,39,,
78,,310,13,,
79,,353,45,,
80,,195,20,,
81,,198,29,,
82,,241,43,,
83,,306,25,,
84,,378,13,,
85,,363,48,,
86,,310,35,,
87,,324,21,,
88,,360,29,,
89,,159,110,,
90,,277,131,,
91,,207,21,,
92,,171,42,,
93,,191,111,,
94,,370,39,,
95,,435,82,,
96,,238,7,,
97,,424,41,,
98,,318,25,,
99,,381,13,,
100,,206,9,,
101,,365,75,,
102,,288,63,,
103,,258,20,,
104,,199,29,,
105,,357,39,,
106,,290,74,,
107,,315,50,,
108,,409,15,,
109,,323,27,,
110,,306,39,,
111,,290,38,,
112,,376,44,,
113,,80,41,,
114,,260,12,,
115,,111,47,,
116,,84,218,,
117,,310,40,,
118,,415,3,,
119,,139,12,,
120,,97,9,,
121,,215,7,,
122,,194,114,,
123,,292,15,,
124,,237,11,,
125,,290,52,,
126,,341,10,,
127,,245,7,,
128,,435,17,,
129,,215,43,,
130,,308,27,,
131,,266,57,,
132,,213,16,,
133,,190,26,,
134,,329,90,,
135,,252,47,,
136,,419,30,,
137,,358,47,,
138,,297,58,,
139,,176,104,,
140,,176,31,,
141,,508,50,,
142,,144,29,,
143,,425,16,,
144,,350,63,,
145,,250,90,,
146,,315,40,,
147,,430,119,,
148,,20,86,,
149,,181,47,,
150,,190,45,,
151,,250,55,,
152,,375,43,,
153,,360,32,,
154,,538,19,,
155,,315,88,,
156,,310,18,,
157,,293,47,,
158,,256,33,,
159,,241,42,,
160,,377,51,,
161,,488,23,,
162,,516,75,,
163,,450,72,,
164,,360,54,,
165,,340,199,,
166,,147,60,,
167,,363,42,,
168,,360,17,,
169,,262,31,,
170,,287,62,,
171,,392,38,,
172,,370,34,,
173,,322,37,,
174,,320,42,,
175,,250,71,,
176,,407,40,,
177,,301,21,,
178,,143,54,,
179,,351,36,,
180,,376,45,,
181,,352,43,,
182,,275,54,,
183,,214,78,,
184,,376,38,,
185,,319,24,,
186,,620,37,,
187,,433,21,,
188,,307,31,,
189,,500,69,,
190,,378,13,,
191,,163,56,,
192,,229,17,,
193,,532,40,,
194,,346,63,,
195,,216,39,,
196,,385,71,,
197,,329,57,,
198,,238,39,,
199,,426,35,,
200,,279,21,,
201,,394,91,,
202,,321,106,,
203,,243,55,,
204,,375,120,,
205,,242,75,,
206,,300,29,,
207,,375,120,,
208,,106,31,,
209,,290,39,,
210,,281,15,,
211,,294,63,,
212,,165,61,,
213,,93,89,,
214,,288,48,,
215,,223,11,,
216,,389,43,,
217,,337,77,,
218,,417,28,,
219,,71,74,,
220,,82,203,,
221,,13,74,,
222,,126,89,,
223,,46,26,,
224,,135,103,,
225,,131,115,,
226,,59,116,,
227,,61,121,,
228,,89,126,,
229,,108,113,,
230,,31,31,,
231,,45,77,,
232,,31,1,,
233,,105,144,,
234,,131,105,,
235,,94,126,,
236,,51,130,,
237,,114,171,,
238,,114,177,,
239,,47,46,,
240,,114,85,,
241,,63,54,,
242,,104,92,,
243,,319,24,,
244,,269,67,,
245,,361,68,,
246,,205,41,,
247,,84,55,,
248,,261,18,,
249,,64,176,,
250,,70,141,,
251,,356,89,,
252,,60,89,,
253,,169,145,,
254,,357,45,,
255,,121,34,,
256,,260,41,,
257,,80,44,,
258,,157,122,,
259,,153,61,,
260,,78,28,,
261,,142,40,,
262,,187,74,,
263,,84,47,,
264,,338,81,,
265,,96,118,,
266,,119,91,,
