No,Name,PTI-IND,JIP,MQM-P,PPP,Total Votes,Filename
1,Brilliant Carrier School Sec 7-D/2 N KHI,166,165,59,64,,
2,Brilliant Carrier School Sec 7-D/2 N KHI,180,138,88,43,,
3,Govt Degree College Sec 7-D N KHI,516,296,47,18,,
4,Govt Degree College Sec 7-D N KHI,556,245,132,13,,
5,Govt Degree College Sec 7-D N KHI,483,198,92,11,,
6,Govt Degree College Sec 7-D N KHI,355,181,62,12,,
8,Govt Degree College Sec 7-D N KHI,457,137,48,9,,
9,Govt Degree College Sec 7-D N KHI,480,19,49,8,,
10,GBPS Sec 7-D/2 North Karachi,447,246,68,7,,
11,SG Grammar School (Old Name Martain Public School) Sec r-970 7-C North Karachi,484,260,49,7,,
14,Kalyana girls college Sec 10 N.K,495,273,67,8,,
15,Kalyana girls college Sec 10 N.K,449,183,46,4,,
16,The Educators Sec 11C/1 North Karachi,437,236,7,7,,
17,The Educators Sec 11C/1 North Karachi,420,191,54,5,,
18,The Educators Sec 11C/1 North Karachi,328,195,76,13,,
19,The Educators Sec 11C/1 North Karachi,304,158,38,7,,
21,The Educators Sec 11C/1 North Karachi,514,219,81,11,,
22,Saeeda Academy ST-9/4 11-C/1 North Karachi,430,177,84,10,,
60,Mak Collegate Sec 14-A Shadman Town,504,215,53,6,,
61,Mak Collegate Sec 14-A Shadman Town,486,236,37,4,,
62,Mak Collegate Sec 14-A Shadman Town,376,254,28,9,,
63,New National scholar School 14-A shadman Town,500,226,95,8,,
64,New National scholar School 14-A shadman Town,451,204,49,15,,
65,Hilton Grammer School 14-B Shadman Town,423,134,28,6,,
66,Hilton Grammer School 14-B Shadman Town,375,126,22,1,,
67,Hilton Grammer School 14-B Shadman Town,490,215,58,3,,
68,Orchard High School Sector 14-B Shadman Town,500,194,51,3,,
69,Orchard High School Sector 14-B Shadman Town,262,126,44,6,,
70,Orchard High School Sector 14-B Shadman Town,262,102,19,2,,
71,Orchard High School Sector 14-B Shadman Town,527,214,43,8,,
72,Orchard High School Sector 14-B Shadman Town,413,158,35,5,,
73,Orchard High School Sector 14-B Shadman Town,419,185,36,0,,
74,Akber Public School 14-B Shadman Town near lmam bargah,381,116,87,11,,
75,Akber Public School 14-B Shadman Town near lmam bargah,343,72,49,3,,
76,Akber Public School 14-B Shadman Town near lmam bargah,368,122,54,5,,
77,Akber Public School 14-B Shadman Town near lmam bargah,339,198,61,44,,
78,Akber Public School 14-B Shadman Town near lmam bargah,238,82,52,31,,
79,Akber Public School 14-B Shadman Town near lmam bargah,251,71,38,6,,
80,R.G Public School L4-B Shadman,254,132,68,7,,
81,R.G Public School L4-B Shadman,232,80,27,6,,
82,R.G Public School L4-B Shadman,208,109,41,5,,
83,TT.C Girls College Sector15-B Bufferzone,426,231,88,6,,
84,TT.C Girls College Sector15-B Bufferzone,462,225,58,5,,
85,F.F.Pubtic School Sectorl 5-B North Karachi,382,171,56,7,,
86,F.F.Pubtic School Sectorl 5-B North Karachi,375,132,33,7,,
87,F.F.Pubtic School Sectorl 5-B North Karachi,328,146,41,6,,
88,Scholar Pride School Sector 1.5-B  Bufferzone,282,127,109,3,,
89,Scholar Pride School Sector 1.5-B  Bufferzone,399,184,98,7,,
90,Scholar Pride School Sector 1.5-B  Bufferzone,306,132,86,3,,
91,TT.C Girls College Sector15-B Bufferzone,408,212,66,2,,
92,TT.C Girls College Sector15-B Bufferzone,218,110,26,1,,
93,TT.C Girls College Sector15-B Bufferzone,304,153,82,14,,
102,Govt.Degree Boys College Sect 15-A/4 Bufferzone,502,195,60,6,,
107,KBCC School Near Eidgah Sector 15-A/1,410,135,44,10,,
110,KBCC School Near Eidgah Sector 15-A/1,284,93,36,5,,
112,KBCC School Near Eidgah Sector 15-A/1,267,111,28,6,,
121,Al- Aleem Public School Sect 15-A/5 Bufferzone,426,202,7,3,,
122,Al- Aleem Public School Sect 15-A/5 Bufferzone,297,109,45,5,,
123,Al- Aleem Public School Sect 15-A/5 Bufferzone,272,83,19,2,,
124,IISAR School on A-70/15-A Bufferzone North Karachi,427,176,34,4,,
125,IISAR School on A-70/15-A Bufferzone North Karachi,292,114,32,6,,
127,IISAR School Near Khan Cambridge Sect-15-A/5 (Male),389,131,0,0,,
131,Ferobal Grammer School Sector 16-A Bufferzone,322,156,70,13,,
132,Karachi Secondary School of Academic Excelence at Plot No 94 101 KBR 1 Sector 16A North karachi,334,113,50,17,,
133,Karachi Secondary School of Academic Excelence at Plot No 94 101 KBR 1 Sector 16A North karachi,354,147,61,33,,
140,GBPS K.B.R. Sector 16-A Bufferzone,274,114,25,5,,
143,Brighter Grammer School Arfat Town near Temuria P.S Block-L,400,272,60,18,,
144,Brighter Grammer School Arfat Town near Temuria P.S Block-L,117,67,32,33,,
145,Brighter Grammer School Arfat Town near Temuria P.S Block-L,154,101,68,54,,
146,Brighter Grammer School Arfat Town near Temuria P.S Block-L,78,91,146,67,,
147,Ghazi Foundation Block L North Nazimabad,178,105,149,11,,
148,Ghazi Foundation Block L North Nazimabad,171,70,38,9,,
149,Ghazi Foundation Block L North Nazimabad,166,152,161,14,,
150,lqra Children Accademy Block-N North Nazimabad,244,248,61,31,,
151,lqra lslamic Edu; AccademY B-353 Block-N North Nazimabad,216,236,39,14,,
152,lqra lslamic Edu; AccademY B-353 Block-N North Nazimabad,154,135,18,8,,
153,Choudhri Rehmat Ali KMC Pry School Block-L N.Naz,231,120,26,0,,
154,Choudhri Rehmat Ali KMC Pry School Block-L N.Naz,226,105,19,30,,
155,Choudhri Rehmat Ali KMC Pry School Block-L N.Naz,293,154,36,3,,
156,Choudhri Rehmat Ali KMC Pry School Block-L N.Naz,274,92,16,6,,
159,Govt. lntermediate Girls College Block-M. North Nazimabad Karachi,375,145,36,13,,
160,Govt. lntermediate Girls College Block-M. North Nazimabad Karachi,319,158,27,3,,
161,Govt. lntermediate Girls College Block-M. North Nazimabad Karachi,271,121,18,3,,
162,Govt comprehensive girls school Block-M North Nazimabad,229,101,16,0,,
163,Govt comprehensive girls school Block-M North Nazimabad,437,214,51,10,,
166,Govt comprehensive girls school Block-M North Nazimabad,333,202,21,7,,
169,Govt. Polytechnic lnstitute Block-N North Nazimabad,282,94,31,4,,
