No,Name,PTI-IND,PML-N,JIP,PPP,Total Votes,Filename
1,االسمآب.د۔)رمد(،11/2-IV( G) االسمآب.دامڈلوکسل 1,345,141,61,15,,
2,االسمآب.د۔)وعرت(،11/2-IV( G) االسمآب.دامڈلوکسل 2,352,101,52,7,,
3,االسمآب.د۔)رمد(،11/2-I-X( G) االسمآب.دامڈلوکسلافررگزل 3,221,82,34,10,,
4,االسمآب.دامڈلاکجلافررگزل،یلگربمن10،یج11/1،االسمآب.د۔)رمد( 14,299,104,51,11,,
5,االسمآب.دامڈلاکجلافررگزل،یلگربمن10،یج11/1،االسمآب.د۔)وعرت( 15,304,74,41,10,,
6,االسمآب.دامڈلاکجلافررگزل،یلگربمن10،یج11/1،االسمآب.د۔)رمد( 16,118,34,31,4,,
7,"االسمآب.دامڈلاکجلافررگزل،یلگربمن10،یج11/1،االسمآب.د۔)وعرت( 17
¸ .",124,25,28,1,,
8,"االسمآب.د۔)رمد(،11/1-G االسمآب.دامڈلاکجلافروبای 18
¸ .",164,50,25,6,,
9,"االسمآب.د۔)وعرت(،11/1-G االسمآب.دامڈلاکجلافروبای 19
¸ .",166,40,16,4,,
10,"االسمآب.د۔)رمد(،11/1-G االسمآب.دامڈلاکجلافروبای 20
¸ .",226,65,47,3,,
11,االسمآب.د۔)وعرت(،11/1-G االسمآب.دامڈلاکجلافروبای 21,210,49,22,2,,
12,االسمآب.د۔)رمد(،11/1-G،یلگربمن154،(IV) االسمآب.دامڈلوکسلافررگزل 22,361,143,49,15,,
13,"االسمآب.د۔)وعرت(،11/1-G،یلگربمن154،(IV) االسمآب.دامڈلوکسلافررگزل 23
¸ .",323,95,38,8,,
14,"وبرکاوجیل،االسمآب.د۔)رتشمہک( (IV) ا. لالسمآب.دامڈلوکس¸لافروبای 30
ا       .                   ا ا     ٰ  نٹی س
. ل              ¸",35,101,0,2,,
15,"السمآبد۔)رمد(،12-G د ر دہلیوم    وریوکسل،امیہرفعج،رٹکیس 36
ا       .                      ا ا     ٰ  نٹی س",172,252,12,9,,
16,"السمآبد۔)وعرت(،12-G د ر دہلیوم    وریوکسل،امیہرفعج،رٹکیس 37
¸            ا       .",123,195,6,2,,
17,"امرہلگویلیوکسلمٹسس،امیہلبنسرفعج، السمآبد۔)رتشمہک( 38
ا       .                        ا       کی   ٹی ٹل                      .",122,82,7,4,,
18,"السمآبد۔)رتشمہک(،12-G دی وجیرٹیکز     لسپمیک/لٹپیکاکجل،دربروچک،رسوسروڈ،رٹکیس 41
ا       .                     ا       کی   ٹی ٹل                      .",96,105,8,3,,
19,"السمآبد۔)رمد(،12-G دی وجیرٹیکز     لسپمیک/لٹپیکاکجل،دربروچک،رسوسروڈ،رٹکیس 42
ا       .                        ا       کی   ٹی ٹل                      .",213,127,14,10,,
20,"السمآبد۔)وعرت(،12-G دی وجیرٹیکز     لسپمیک/لٹپیکاکجل،دربروچک،رسوسروڈ،رٹکیس 43
ہی.ی ہ               ا     ا       .",130,82,8,5,,
21,"رورئیفلیوکسلریم رفعج، السمآبد۔)رمد( 44
ہی.ی ہ               ا     ا       .",68,138,16,3,,
22,"رورئیفلیوکسلریم رفعج، السمآبد۔)وعرت( 45                       ¸
ا       .                          ا  ا",52,124,6,1,,
23,"السمآبد۔)رتشمہک(،12-F،افصریم رپ رمئیوکسل،یلگربمن03،ہلحمامایکلں،امیہرفعج 46
.   ا                 ¸                   ا       .",207,291,36,5,,
24,"بب ملعلوکسلمٹسس،امیہلبنسرفعج،یج12، السمآبد۔)رتشمہک( 47
ا       .                         ا       .               ا ¸ .",69,93,13,7,,
25,"ولیچ، السمآبد۔)رتشمہک( (I-VIII) السمآبدامڈلوکسلافروب ی 48
کی   ٹی ٹل              ا       ل                 ا       .",232,210,16,109,,
26,دیامسرٹوکسل     ل،اہؤسربمن1، رٹسی128،یج13/4، السمآبد۔)رتشمہک( 49,587,128,128,87,,
27,ڈنپرپاہچ،االسمآب.د۔)رمد( (I-X) االسمآب.دامڈلوکسلافررگزل 50,316,185,17,117,,
28,ڈنپرپاہچ،االسمآب.د۔)وعرت( (I-X) االسمآب.دامڈلوکسلافررگزل 51,193,124,6,69,,
29,ڈنپرپاہچ،االسمآب.د۔)رمد( (I-X) االسمآب.دامڈلوکسلافررگزل 52,193,135,12,167,,
30,ڈنپرپاہچ،االسمآب.د۔)وعرت( (I-X) االسمآب.دامڈلوکسلافررگزل 53,142,112,14,138,,
31,"ڈنپرپاہچ،االسمآب.د۔)رتشمہک( (I-X) االسمآب.دامڈلوکسلافررگزل 54
¸ .",329,190,11,32,,
32,"االسمآب.د۔)رمد(،15-G،االسمآب.دامڈلاکجلافروبای 55
¸ .",432,191,126,9,,
33,"االسمآب.د۔)وعرت(،15-G،االسمآب.دامڈلاکجلافروبای 56
¸ .",341,111,89,10,,
34,االسمآب.د۔)رمد(،15-G،االسمآب.دامڈلاکجلافروبای 57,416,117,78,13,,
35,االسمآب.د۔)وعرت(،15-G،االسمآب.دامڈلاکجلافروبا ¸ .ی 58,315,75,53,8,,
36,"االسمآب.د۔)رتشمہک(،15/1-F دیامسر .  .ٹوکسل)لٹپیکسپمیک( ریمشک،اہؤگنسوساسیٹئ،رٹکیس 59
ا     ا                          ھٹگ    ا  ا       .",279,100,72,10,,
37,"ےکآر لیرگ رموکسل،ریششہوسریروڈ،    یدیس ں السمآبد۔)رتشمہک( 60
ا     ا             ¸             .ھٹ.گ    ا  ا       .",286,139,48,11,,
38,ےکآر لیرگ رموکسل،ریششہوسریروڈ،    یدیس ں السمآبد۔)رتشمہک( 61,373,157,36,21,,
39,ڈوھکاہوش،االسمآب.د۔)رمد( (IV)،االسمآب.دامڈلوکسلافررگزل 62,457,216,28,8,,
40,"ڈوھکاہوش،االسمآب.د۔)وعرت( (IV)،االسمآب.دامڈلوکسلافررگزل 63
ا       .                     ا       .               ا ¸ .",368,153,25,7,,
41,"ولیچ، السمآبد۔)رمد(،(I-VIII) السمآبدامڈلوکسلافروب ی 64
ا       .                        ا       .               ا ¸ .",238,121,14,43,,
42,"ولیچ، السمآبد۔)وعرت(،(I-VIII) السمآبدامڈلوکسلافروب ی 65
ا       .                        . ل",1,0,0,0,,
43,السمآبد۔)رمد(،13/3-G،افؤننشیوکسلمٹسس 68,365,119,69,12,,
44,"االسمآب.د۔)وعرت(،13/3 .-G،دیارئیرگارموکسل 69
ا   ا                  ھٹگ    ا   ا       .",398,68,47,11,,
45,"اہیئ زمی وجیرٹیکز،کنلروڈ،    یدیس ں، السمآبد۔)رتشمہک( 70
ا   ا                  .ھٹ.گ    ا   ا       .",270,94,19,13,,
46,"اہیئ زمی وجیرٹیکز،کنلروڈ،    یدیس ں، السمآبد۔)رمد( 71
ا   ا                  .ھٹ.گ    ا   ا       .",280,92,31,14,,
47,"اہیئ زمی وجیرٹیکز،کنلروڈ،    یدیس ں، السمآبد۔)وعرت( 72
.ھٹ.گ    ا   ا       .                     ا       .",217,47,14,5,,
48,یدیس ں، السمآبد۔)رتشمہک( (I-X) السمآبدامڈلوکسل،افررگزل 73,427,158,64,4,,
49,ڈوھکامیلسن،االسمآب.د۔)رمد( (IV) االسمآب.دامڈلوکسلافررگزل 74,378,247,52,23,,
50,ڈوھکامیلسن،االسمآب.د۔)وعرت( (IV) االسمآب.دامڈلوکسلافررگزل 75,251,150,37,20,,
51,"ڈوھکامیلسن،االسمآب.د۔)رتشمہک( (IV) االسمآب.دامڈلوکسلافررگزل 76
¸ .",376,229,33,7,,
52,"االسمآب.د۔)رمد(،13/2-G،االسمآب.دامڈلاکجلافروبای 77
¸ .",436,138,95,14,,
53,االسمآب.د۔)وعرت(،13/2-G،االسمآب.دامڈلاکجلافروبای 78,442,113,68,12,,
54,االسمآب.د۔)رمد(،13/1-G،االسمآب.دامڈلاکجلافررگزل 79,378,103,60,6,,
55,االسمآب.د۔)وعرت(،13/1-G،االسمآب.دامڈلاکجلافررگزل 80,390,71,43,3,,
56,االسمآب.د۔)رمد(،14/4-G،االسمآب.دامڈلاکجلافررگزل 81,281,136,79,2,,
57,"االسمآب.د۔)وعرت(،14/4-G،االسمآب.دامڈلاکجلافررگزل 82
¸        ل",301,95,65,4,,
