No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
1,"Hira Model School, Sohan, Islamabad. (Male)",230,149,7,14,,
2,"Hira Model School, Sohan, Islamabad.(Female)",170,97,3,15,,
3,"The Spirit Model School, Sohan, Islamabad.(Male)",254,152,10,17,,
4,"The Spirit Model School, Sohan, Islamabad. (Female)",166,80,5,11,,
5,"Yaseen Shaheed Model School For Boys (I-VIII) Sohan, Islamabad.(Male)",220,128,2,8,,
6,"Yaseen Shaheed Model School For Boys (I-VIII) Sohan, Islamabad.(Female)",165,98,2,6,,
7,"The Message Schools and Colleges System Sohan,Islamabad. (Male)",254,176,3,9,,
8,"The Message Schools and Colleges System Sohan, Islamabad. (Female)",189,145,6,5,,
9,"The Spirit Model School, Nai Abadi, Warsi Markeet,  Sohan, Islamabad. (Combined)",359,163,1,11,,
10,"The Spirit Model School, Nai Abadi, Warsi Markeet,  Sohan, Islamabad. (Combined)",263,191,13,9,,
11,"Ever Green School, Iqbal Town Stop, Masjid Mai Saleem Akhtar Road, Madni Block,",167,144,11,5,,
12,"Ever Green School, Iqbal Town Stop, Masjid Mai Saleem Akhtar Road, Madni Block,",102,79,9,3,,
13,"Bright Star Montessori School New Iqbal Town Main Road, Islamabad. (Male)",149,127,10,1,,
14,"Bright Star Montessori School New Iqbal Town Main Road, Islamabad. (Female)",72,66,8,1,,
15,"Bright Star Montessori School New Iqbal Town Main Road, Islamabad. (Combined)",101,166,8,1,,
16,"Islamabad Model School for Girls (I-VIII) Sohan, Islamabad. (Male)",302,168,15,8,,
17,"Islamabad Model School for Girls (I-VIII) Sohan, Islamabad. (Female)",0,0,0,0,,
18,"Islamabad Model School for Girls (I-VIII) Sohan, Islamabad. (Male)",405,235,16,8,,
19,"Islamabad Model School for Girls (I-VIII) Sohan, Islamabad. (Female)",248,154,8,11,,
20,"Al Kitab International Public School, Nai Abadi Qazi Abad, Kot Hatial, Islamabad. (M",285,237,30,19,,
21,"Al Kitab International Public School, Nai Abadi Qazi Abad, Kot Hatial, Islamabad. (Female)",0,0,0,0,,
