No,Name,PTI-IND,IND,TLP,Total Votes,Filename
1,ChathaBakhtawar,313,37,66,,
2,ChathaBakhtawar,215,26,29,,
3,ChathaBakhtawar,405,61,62,,
4,ChathaBakhtawar,310,46,49,,
5,ChathaBakhtawar,208,20,34,,
6,ChathaBakhtawar,171,8,16,,
7,ChathaBakhtawar,192,19,16,,
8,Tarlai,409,32,78,,
9,Tarlai,350,27,47,,
10,Khanal Chowk,324,110,35,,
11,Tarlai Kalan,312,35,46,,
12,Tarlai,443,59,100,,
13,Tarlai,338,37,57,,
14,Tarlai,477,118,86,,
15,Tarlai,386,61,53,,
16,Tarlai,334,92,32,,
17,Tarlai,83,0,98,,
18,Tarlai,383,69,45,,
19,Tarlai,256,51,30,,
20,Tarlai,172,32,12,,
21,Tarlai,351,47,56,,
22,Sihala,258,24,24,,
23,Chatta Bakhtawar,172,6,9,,
24,Khana Dak,315,3,31,,
25,Khana Dak,187,5,9,,
26,Khana Dak,452,8,91,,
27,Khana Dak,289,5,46,,
28,Khana Dak,406,25,44,,
29,Khana Dak,261,12,24,,
30,Madina Town,281,149,29,,
31,Madina Town,187,87,9,,
32,Khana Dak,342,63,29,,
33,Ghori town,257,94,21,,
34,Khana Dak,226,57,28,,
35,Khana Dak,175,47,12,,
36,Khana Dak,325,35,31,,
37,Khana Dak,193,18,9,,
38,Khana Dak,225,16,21,,
39,Khana Dak,139,4,8,,
40,Khana Dak,289,37,41,,
41,Khana Dak,325,45,53,,
42,Khana Dak,355,89,51,,
43,Khana Dak,246,64,30,,
44,Khana Dak,337,118,61,,
45,Khana Dak,211,81,14,,
46,Burma Town,369,14,47,,
47,Burma Town,226,4,22,,
48,Burma Town,204,4,27,,
49,Burma Town,94,0,14,,
50,Tarlai,212,36,25,,
51,Khana Dak,135,19,8,,
52,Ghori town,431,91,90,,
53,Ghori town,319,53,56,,
54,Sharif Abad,251,28,66,,
55,Sharif Abad,170,21,44,,
56,Sharif Abad,174,11,114,,
57,Sharif Abad,126,0,85,,
58,Sodhran,486,26,48,,
59,Sodhran,306,10,16,,
60,Ghouri Town,449,22,29,,
61,Ghouri Town,357,13,10,,
62,Ghouri Town,243,17,7,,
63,Sharif Abad,239,31,19,,
64,Ghouri Town,225,42,17,,
65,Ghouri Town,214,31,7,,
66,Tarlai,221,91,62,,
67,Tarlai,160,45,22,,
68,Tarlai Khurd,138,25,42,,
69,Tarlai Khurd,0,0,0,,
70,Sodhran,172,12,18,,
71,Pandoriyan,359,43,0,,
72,Pandoriyan,234,25,17,,
73,JabaTaili,372,22,58,,
74,JabaTaili,266,15,22,,
75,New Shakrial,325,0,42,,
76,New Shakrial,214,0,6,,
77,New Shakrial,183,0,17,,
78,New Shakrial,127,0,11,,
79,New Shakrial,270,0,24,,
80,Khana Nai Abadi,206,0,65,,
81,Khana Nai Abadi,244,19,17,,
82,Khana Nai Abadi,127,0,2,,
83,Pandoriyan,240,10,70,,
84,Pandoriyan,336,9,31,,
85,Pandoriyan,255,38,19,,
86,Pandoriyan,119,26,11,,
87,JabaTaili,157,0,41,,
