No,Name,IND,PPP,TLP,PML-N,PTI-IND,Total Votes,Filename
1,Polling Station No. 1,39,23,71,176,326,,
2,Polling Station No. 2,25,48,25,133,215,,
3,Polling Station No. 3,21,11,39,109,273,,
4,Polling Station No. 4,15,17,17,85,179,,
5,Polling Station No. 5,63,29,39,144,221,,
6,Polling Station No. 6,73,37,43,126,144,,
7,Polling Station No. 7,105,6,271,223,144,,
8,Polling Station No. 8,2,53,31,168,170,,
9,Polling Station No. 9,2,15,51,192,230,,
10,Polling Station No. 10,72,10,317,116,386,,
11,Polling Station No. 11,28,5,58,130,284,,
12,Polling Station No. 12,10,18,109,371,307,,
13,Polling Station No. 13,15,5,25,57,431,,
14,Polling Station No. 14,29,73,13,339,463,,
15,Polling Station No. 15,14,95,5,237,338,,
16,Polling Station No. 16,44,7,41,190,615,,
17,Polling Station No. 17,31,24,25,101,489,,
18,Polling Station No. 18,49,65,121,86,268,,
19,Polling Station No. 19,6,13,140,69,418,,
20,Polling Station No. 20,13,24,160,55,316,,
21,Polling Station No. 21,30,20,202,183,355,,
22,Polling Station No. 22,37,8,71,139,184,,
23,Polling Station No. 23,6,8,46,262,255,,
24,Polling Station No. 24,11,4,60,113,283,,
25,Polling Station No. 25,9,12,38,108,176,,
26,Polling Station No. 26,19,9,330,179,602,,
27,Polling Station No. 27,24,30,198,162,385,,
28,Polling Station No. 28,12,24,350,64,225,,
29,Polling Station No. 29,25,54,180,48,117,,
30,Polling Station No. 30,29,15,76,133,253,,
31,Polling Station No. 31,56,27,42,115,146,,
32,Polling Station No. 32,16,13,69,208,349,,
33,Polling Station No. 33,35,26,50,130,190,,
34,Polling Station No. 34,36,9,51,169,431,,
35,Polling Station No. 35,41,31,37,126,215,,
36,Polling Station No. 36,7,55,253,176,270,,
37,Polling Station No. 37,10,45,200,151,189,,
38,Polling Station No. 38,169,107,82,266,362,,
39,Polling Station No. 39,27,166,322,191,166,,
40,Polling Station No. 40,103,30,388,190,200,,
41,Polling Station No. 41,74,22,171,130,192,,
42,Polling Station No. 42,53,12,254,184,235,,
43,Polling Station No. 43,86,57,159,148,382,,
44,Polling Station No. 44,71,56,94,123,268,,
45,Polling Station No. 45,60,24,145,158,302,,
46,Polling Station No. 46,62,41,79,99,216,,
47,Polling Station No. 47,10,8,33,11,78,,
48,Polling Station No. 48,49,151,53,137,129,,
49,Polling Station No. 49,89,84,102,108,217,,
50,Polling Station No. 50,155,145,169,252,251,,
51,Polling Station No. 51,142,118,183,185,220,,
52,Polling Station No. 52,71,95,126,215,488,,
53,Polling Station No. 53,18,41,167,392,443,,
55,Polling Station No. 55,80,22,10,148,389,,
56,Polling Station No. 56,17,27,2,147,276,,
57,Polling Station No. 57,125,10,16,189,452,,
58,Polling Station No. 58,146,29,11,153,300,,
63,Polling Station No. 63,37,44,83,201,470,,
64,Polling Station No. 64,23,26,116,236,598,,
65,Polling Station No. 65,1,0,7,251,161,,
67,Polling Station No. 67,13,31,19,324,385,,
68,Polling Station No. 68,3,3,128,158,240,,
69,Polling Station No. 69,8,4,128,118,205,,
70,Polling Station No. 70,55,31,117,241,546,,
71,Polling Station No. 71,10,35,27,292,298,,
72,Polling Station No. 72,24,34,8,257,288,,
73,Polling Station No. 73,9,12,46,288,366,,
74,Polling Station No. 74,12,26,39,275,310,,
75,Polling Station No. 75,8,24,82,127,416,,
76,Polling Station No. 76,23,73,62,243,642,,
77,Polling Station No. 77,29,69,35,217,504,,
78,Polling Station No. 78,22,58,53,202,311,,
79,Polling Station No. 79,18,62,22,132,251,,
80,Polling Station No. 80,43,115,31,179,247,,
81,Polling Station No. 81,2,29,201,50,160,,
82,Polling Station No. 82,37,9,22,254,588,,
83,Polling Station No. 83,24,4,10,114,212,,
84,Polling Station No. 84,19,1,4,121,317,,
85,Polling Station No. 85,44,6,28,183,249,,
88,Polling Station No. 88,20,5,61,299,402,,
89,Polling Station No. 89,32,12,123,436,477,,
90,Polling Station No. 90,18,29,101,448,387,,
91,Polling Station No. 91,21,25,266,261,640,,
92,Polling Station No. 92,36,26,221,193,448,,
93,Polling Station No. 93,8,10,116,203,453,,
94,Polling Station No. 94,19,26,77,164,281,,
95,Polling Station No. 95,17,6,126,202,338,,
96,Polling Station No. 96,11,15,58,165,265,,
97,Polling Station No. 97,21,7,129,165,380,,
98,Polling Station No. 98,28,18,62,87,205,,
99,Polling Station No. 99,5,5,94,163,235,,
100,Polling Station No. 100,8,17,52,134,196,,
101,Polling Station No. 101,107,11,33,264,145,,
102,Polling Station No. 102,2,5,15,118,275,,
103,Polling Station No. 103,2,1,5,74,181,,
104,Polling Station No. 104,1,4,4,52,140,,
105,Polling Station No. 105,8,10,70,173,476,,
106,Polling Station No. 106,4,10,38,101,331,,
107,Polling Station No. 107,5,2,27,92,308,,
109,Polling Station No. 109,7,7,26,118,373,,
110,Polling Station No. 110,8,3,13,51,264,,
111,Polling Station No. 111,18,7,42,157,427,,
112,Polling Station No. 112,13,7,26,107,328,,
113,Polling Station No. 113,8,6,41,189,506,,
114,Polling Station No. 114,12,8,41,112,380,,
115,Polling Station No. 115,7,4,79,149,485,,
116,Polling Station No. 116,11,7,57,136,407,,
117,Polling Station No. 117,8,9,32,182,434,,
118,Polling Station No. 118,6,17,24,116,309,,
119,Polling Station No. 119,10,9,34,165,403,,
120,Polling Station No. 120,11,2,19,133,309,,
121,Polling Station No. 121,5,8,58,200,389,,
122,Polling Station No. 122,7,6,36,147,292,,
123,Polling Station No. 123,24,8,75,175,564,,
124,Polling Station No. 124,7,7,47,215,487,,
125,Polling Station No. 125,2,6,20,172,360,,
126,Polling Station No. 126,3,4,15,112,176,,
128,Polling Station No. 128,8,6,29,213,357,,
130,Polling Station No. 130,5,6,33,168,337,,
131,Polling Station No. 131,9,5,15,151,289,,
132,Polling Station No. 132,5,6,39,117,334,,
133,Polling Station No. 133,5,8,24,77,330,,
134,Polling Station No. 134,1,3,52,60,222,,
135,Polling Station No. 135,1,4,37,50,198,,
136,Polling Station No. 136,14,16,85,111,490,,
137,Polling Station No. 137,12,18,146,189,546,,
138,Polling Station No. 138,7,98,83,189,324,,
139,Polling Station No. 139,12,10,76,152,243,,
140,Polling Station No. 140,4,12,145,142,400,,
141,Polling Station No. 141,3,10,124,121,368,,
143,Polling Station No. 143,7,14,25,117,305,,
145,Polling Station No. 145,13,12,60,152,299,,
