No,Name,PPP,TLP,PML-N,IND-PTI,Total Votes,Filename
1,,124,167,554,367,,
2,,118,116,405,263,,
3,,226,44,218,276,,
4,,193,163,149,334,,
5,,155,71,117,268,,
6,,198,178,131,204,,
7,,123,76,110,129,,
8,,239,137,281,348,,
9,,230,47,192,105,,
10,,54,176,317,116,,
11,,38,108,272,85,,
12,,63,155,139,453,,
13,,277,101,271,467,,
14,,273,135,190,142,,
15,,238,51,188,269,,
16,,147,73,219,134,,
17,,180,127,192,153,,
18,,201,136,225,42,,
19,,38,300,163,89,,
20,,69,216,279,124,,
21,,97,442,433,124,,
22,,260,91,105,136,,
23,,135,168,201,251,,
24,,329,336,84,87,,
25,,349,302,70,264,,
26,,174,373,110,261,,
27,,340,99,145,451,,
28,,7,138,265,121,,
29,,431,59,305,274,,
31,,221,179,89,62,,
32,,190,416,237,103,,
33,,196,478,167,96,,
34,,255,134,73,236,,
35,,353,138,50,181,,
36,,52,90,316,58,,
37,,107,147,279,153,,
38,,95,109,232,135,,
39,,92,104,217,191,,
40,,64,90,307,82,,
41,,28,103,137,196,,
42,,299,456,97,142,,
43,,283,351,126,169,,
44,,241,323,113,130,,
45,,310,290,41,99,,
46,,133,264,413,123,,
47,,270,175,150,280,,
48,,195,50,94,273,,
49,,144,199,71,124,,
50,,64,132,90,75,,
51,,81,202,204,257,,
52,,331,226,105,248,,
53,,242,172,88,193,,
54,,178,88,104,88,,
55,,112,72,167,76,,
56,,22,60,341,23,,
57,,296,482,173,97,,
58,,252,333,99,114,,
59,,280,67,61,247,,
60,,296,94,38,283,,
61,,553,144,171,270,,
62,,106,46,89,138,,
63,,178,122,200,243,,
64,,136,32,179,247,,
65,,67,144,412,12,,
67,,140,131,502,93,,
68,,146,63,180,121,,
69,,314,107,44,280,,
70,,375,113,118,265,,
71,,196,269,255,201,,
72,,442,114,87,243,,
73,,66,172,335,504,,
74,,424,43,69,250,,
75,,238,81,107,46,,
76,,627,53,32,197,,
77,,383,71,137,285,,
78,,188,144,207,77,,
79,,200,107,198,49,,
80,,95,268,240,218,,
81,,544,245,99,213,,
82,,109,116,4,18,,
83,,73,93,51,768,,
84,,130,120,123,255,,
85,,85,72,104,166,,
86,,69,99,222,279,,
87,,255,249,236,259,,
88,,221,303,149,125,,
89,,193,193,123,502,,
90,,40,289,44,105,,
91,,241,132,247,34,,
92,,394,120,32,115,,
93,,284,135,226,219,,
94,,340,328,253,135,,
95,,66,32,151,175,,
96,,125,467,167,393,,
97,,158,128,37,33,,
98,,257,208,126,98,,
99,,222,121,118,590,,
100,,43,160,87,405,,
101,,24,143,61,302,,
102,,280,110,50,286,,
103,,108,199,216,204,,
104,,366,196,244,210,,
105,,87,135,46,236,,
106,,269,124,262,96,,
108,,52,197,114,179,,
110,,68,135,218,247,,
112,,76,149,198,307,,
113,,51,157,133,200,,
114,,103,144,194,182,,
115,,83,93,210,172,,
116,,124,244,170,298,,
117,,134,143,148,253,,
118,,86,152,82,167,,
119,,63,72,83,130,,
120,,25,87,110,216,,
121,,25,53,75,164,,
122,,72,121,204,317,,
123,,65,77,182,237,,
124,,93,98,99,285,,
125,,74,102,109,319,,
126,,90,132,161,255,,
127,,77,77,150,221,,
128,,126,248,345,358,,
129,,92,126,286,210,,
130,,106,207,235,362,,
131,,84,45,190,295,,
132,,27,96,74,103,,
133,,131,305,212,277,,
134,,137,123,135,295,,
135,,174,208,75,506,,
136,,380,257,115,316,,
137,,303,157,56,393,,
138,,270,12,123,307,,
139,,242,61,153,297,,
140,,176,68,245,406,,
141,,382,74,137,174,,
142,,196,306,109,264,,
143,,135,197,74,263,,
144,,112,167,80,204,,
145,,262,275,116,226,,
146,,250,188,125,160,,
147,,325,220,116,308,,
148,,359,185,177,239,,
149,,414,223,74,212,,
150,,190,177,38,85,,
151,,248,189,200,325,,
152,,172,39,117,300,,
153,,172,58,106,546,,
154,,329,245,44,378,,
155,,183,170,92,363,,
157,,98,134,78,307,,
158,,325,192,107,670,,
159,,160,100,138,510,,
160,,180,144,122,353,,
161,,110,113,74,441,,
162,,269,39,89,338,,
163,,202,209,105,309,,
164,,148,246,59,279,,
165,,235,97,67,126,,
166,,118,283,127,309,,
167,,221,229,241,262,,
168,,161,230,65,117,,
169,,398,222,103,346,,
170,,173,93,14,218,,
171,,148,100,19,231,,
172,,236,50,24,207,,
173,,128,55,8,182,,
174,,248,191,75,211,,
175,,199,140,61,170,,
176,,198,97,28,259,,
178,,173,83,23,164,,
179,,123,138,107,267,,
180,,196,105,159,241,,
181,,107,81,108,150,,
182,,206,104,86,438,,
183,,188,122,93,174,,
184,,325,139,187,208,,
185,,109,149,88,115,,
186,,150,206,132,254,,
187,,124,168,51,736,,
188,,42,131,216,280,,
189,,74,201,316,350,,
190,,16,440,115,122,,
191,,19,380,111,122,,
192,,24,352,112,143,,
193,,15,290,92,122,,
194,,63,636,180,208,,
195,,57,574,138,190,,
196,,20,498,112,65,,
198,,53,448,244,181,,
199,,50,439,207,173,,
200,,43,190,126,258,,
202,,57,137,128,246,,
203,,42,146,103,192,,
204,,49,283,152,267,,
205,,4,206,146,259,,
206,,35,140,105,209,,
207,,65,177,128,266,,
208,,108,129,169,160,,
209,,64,180,104,298,,
211,,112,146,175,128,,
212,,26,183,126,145,,
213,,12,160,109,162,,
214,,17,217,79,85,,
215,,7,217,80,76,,
216,,74,287,214,172,,
217,,69,279,170,163,,
218,,147,262,231,254,,
219,,83,314,138,86,,
220,,164,74,216,167,,
221,,69,443,221,308,,
222,,74,394,180,257,,
223,,7,218,244,140,,
224,,27,218,244,140,,
225,,29,224,253,142,,
226,,104,158,205,334,,
227,,103,171,197,300,,
228,,52,329,151,62,,
229,,104,374,186,45,,
230,,345,126,142,267,,
231,,158,243,77,78,,
232,,388,355,220,170,,
233,,63,446,36,230,,
234,,240,76,249,299,,
235,,266,37,297,322,,
236,,35,278,233,160,,
237,,85,192,500,114,,
239,,57,209,355,266,,
240,,44,183,175,228,,
241,,78,146,151,219,,
242,,34,160,159,299,,
243,,70,208,191,311,,
244,,31,245,152,244,,
245,,15,192,138,254,,
246,,50,116,104,309,,
247,,64,467,395,381,,
248,,5,95,105,75,,
249,,29,548,262,233,,
250,,64,256,179,311,,
251,,57,464,258,261,,
252,,124,444,431,104,,
253,,46,197,280,33,,
254,,129,210,383,66,,
255,,44,254,224,197,,
256,,26,171,101,304,,
257,,25,243,93,353,,
258,,16,267,206,217,,
259,,25,330,228,188,,
260,,5,110,73,84,,
261,,181,82,365,250,,
262,,46,164,98,119,,
263,,46,204,107,160,,
264,,27,213,119,91,,
265,,14,122,129,151,,
266,,248,86,616,127,,
267,,47,176,206,135,,
268,,81,340,282,152,,
269,,16,77,109,292,,
270,,27,83,253,438,,
271,,33,61,169,507,,
272,,35,53,100,420,,
273,,98,42,343,551,,
274,,53,46,174,302,,
275,,433,167,272,65,,
276,,28,106,126,303,,
277,,38,91,258,386,,
278,,361,208,197,281,,
279,,176,66,70,232,,
280,,150,261,333,146,,
281,,129,129,74,61,,
282,,95,64,139,214,,
283,,71,96,130,322,,
285,,85,132,146,446,,
286,,53,150,57,249,,
287,,88,107,137,421,,
288,,145,272,120,360,,
289,,59,93,93,404,,
290,,91,82,55,367,,
291,,80,139,62,412,,
292,,237,30,203,69,,
293,,93,137,66,147,,
294,,80,200,170,49,,
295,,53,127,313,187,,
296,,46,0,316,157,,
297,,50,34,269,172,,
298,,78,61,217,188,,
299,,33,53,247,188,,
300,,118,85,353,70,,
301,,130,375,437,187,,
302,,87,298,349,109,,
303,,32,115,315,143,,
304,,150,141,126,114,,
305,,152,144,337,139,,
306,,155,247,286,308,,
307,,163,278,221,247,,
308,,84,319,176,216,,
309,,67,326,158,148,,
310,,134,319,350,110,,
311,,133,554,489,42,,
312,,134,319,350,110,,
313,,121,311,320,84,,
314,,103,83,684,106,,
315,,132,494,465,78,,
316,,190,346,96,24,,
317,,59,393,219,154,,
318,,37,660,211,75,,
319,,17,322,170,140,,
320,,142,77,148,6,,
322,,61,286,228,188,,
323,,8,363,205,110,,
324,,19,407,148,290,,
325,,194,239,310,153,,
326,,163,195,344,144,,
327,,94,177,177,211,,
328,,103,313,152,162,,
329,,99,299,152,151,,
330,,110,200,424,129,,
331,,87,179,191,53,,
332,,323,290,196,70,,
333,,139,152,107,38,,
334,,8,20,154,130,,
335,,6,33,125,127,,
336,,102,17,149,297,,
337,,125,29,113,311,,
338,,41,29,288,152,,
339,,54,44,236,162,,
340,,206,264,285,321,,
341,,47,13,98,171,,
342,,323,87,258,279,,
343,,5,275,149,220,,
344,,6,221,101,227,,
345,,1,187,137,41,,
346,,7,26,60,75,,
347,,43,226,362,236,,
349,,2,492,61,46,,
350,,2,594,120,23,,
351,,6,676,91,28,,
352,,5,372,22,35,,
353,,70,536,434,125,,
354,,67,570,452,177,,
355,,11,468,333,291,,
356,,1,375,40,93,,
357,,58,167,242,225,,
358,,89,146,179,173,,
359,,29,418,268,201,,
362,,76,262,214,507,,
363,,79,224,158,430,,
364,,54,118,122,288,,
365,,44,91,106,284,,
366,,38,62,99,185,,
367,,34,50,56,139,,
368,,42,129,174,241,,
369,,22,123,121,196,,
370,,79,26,65,247,,
371,,79,22,78,243,,
372,,39,108,139,253,,
373,,40,112,128,194,,
374,,32,296,105,149,,
375,,30,282,84,131,,
376,,55,307,296,387,,
377,,40,208,155,218,,
378,,33,106,127,157,,
379,,23,282,165,119,,
380,,19,233,129,81,,
381,,86,272,633,438,,
382,,66,172,352,254,,
383,,88,302,128,87,,
384,,56,294,115,76,,
385,,9,99,140,241,,
386,,14,75,130,166,,
387,,38,23,249,237,,
388,,48,32,228,179,,
389,,28,64,71,443,,
390,,27,71,75,332,,
391,,29,118,94,333,,
392,,27,121,99,275,,
393,,31,185,105,436,,
394,,42,164,78,349,,
395,,16,164,252,620,,
396,,40,72,195,196,,
397,,3,102,134,230,,
398,,4,112,131,214,,
399,,7,143,165,308,,
400,,3,210,155,289,,
401,,142,407,317,223,,
402,,122,393,324,210,,
403,,106,190,69,114,,
404,,44,221,284,252,,
405,,90,220,192,310,,
406,,98,150,108,212,,
407,,53,351,174,407,,
408,,39,170,220,225,,
410,,34,70,141,102,,
411,,40,61,203,123,,
412,,196,186,271,191,,
413,,225,239,161,191,,
414,,264,198,130,222,,
415,,45,270,119,84,,
416,,41,213,172,89,,
417,,47,297,235,99,,
418,,79,436,213,122,,
419,,57,325,134,65,,
420,,103,364,184,297,,
421,,23,413,397,171,,
422,,131,393,305,146,,
423,,7,661,227,134,,
424,,29,592,433,80,,
425,,42,479,343,129,,
