No,Name,PTI-IND,IND,PPP,IPP,TLP,Total Votes,Filename
6,Basic Health unit Kalianpur (PS-6),84,71,2,24,10,,
8,Malian Kalan (PS-8),150,210,1,137,8,,
9,Government Elementary School (PS-9),114,194,4,131,5,,
10,Government Girls Primary School (PS-10),223,209,3,137,38,,
11,Government Girls Primary School (PS-11),205,173,1,99,17,,
12,Government Boys High School (PS-12),355,344,3,43,57,,
13,Chahan (PS-13),286,252,4,33,24,,
16,N/A,60,178,0,0,19,,
17,GGHS Girja (PS-17),298,117,1,183,72,,
18,GGHS Girja (PS-18),235,111,4,167,48,,
19,GGHS Girja (PS-19),204,84,0,116,29,,
20,GBPS Chakra (PS-20),302,38,5,34,123,,
21,N/A,180,24,1,10,61,,
24,Government Girls Primary School (PS-24),156,48,5,14,21,,
25,Jami Girls High Secondary School (PS-25),184,61,4,149,83,,
26,Jami GHSS Bhata road,147,45,2,79,54,,
27,Future Hope,155,19,2,30,57,,
28,GGES (PS-28),523,68,7,32,78,,
29,GEGS,402,90,9,19,98,,
30,N/A,329,77,3,5,69,,
35,Government Girls Secondary School,436,225,1,0,40,,
36,GGBS,340,158,4,2,41,,
37,Government Primary School,400,156,5,7,116,,
38,Government Primary School,287,72,3,0,39,,
39,N/A,365,64,7,7,84,,
40,Basic Health unit  (PS-40),234,24,7,1,37,,
41,Basic Health unit  (PS-41),221,211,6,14,95,,
43,N/A,781,140,6,21,19,,
45,GBHS,123,73,6,89,193,,
46,N/A,140,26,1,124,58,,
48,N/A,207,195,5,293,92,,
49,Government Boys Primary School,56,49,1,78,155,,
50,Government Model Primary School,151,7,1,13,3,,
51,GBHS,255,58,3,35,38,,
52,GBHS,304,112,3,105,53,,
53,GBHS,217,34,1,21,20,,
54,N/A,294,69,5,56,24,,
55,Qandeer Elementary School,248,130,3,20,61,,
56,Qandeer Elementary School,258,74,5,27,40,,
57,Union council Renal,223,201,9,32,128,,
58,Government Boys Primary School,187,305,1,74,233,,
59,Government Girls High School,373,52,1,17,33,,
60,Government Girls High School,279,30,4,13,9,,
61,Government Girls High School,330,35,2,17,19,,
62,Government Girls High School,215,13,6,13,4,,
63,N/A,356,18,8,18,34,,
64,Government Model Primary School,312,25,22,77,13,,
65,Government Model Primary School,327,12,6,9,24,,
66,GPS,322,8,19,72,12,,
67,Government Primary School,198,54,12,144,17,,
68,GHS,259,22,5,14,32,,
69,GHS,198,4,5,3,12,,
70,Government Primary High School,225,16,8,27,13,,
71,Government Boys Primary School,100,28,2,108,13,,
73,GHS,239,13,2,3,17,,
74,Government Boys High School,244,58,2,543,54,,
75,GGHS,387,34,9,298,63,,
76,GGPS,206,23,6,117,14,,
77,GPS,108,10,0,146,66,,
78,Government Boys Primary School,185,7,5,481,45,,
79,GGHS,162,20,1,241,38,,
80,Government Boys High School,129,33,0,94,61,,
81,Government Girl Primary School,124,11,3,176,17,,
82,Government Girl Primary School,121,21,4,69,30,,
83,Government Girl Primary School,341,29,2,79,5,,
84,Wahdat Public School,243,12,21,28,4,,
85,Sir Syed School,165,163,0,158,60,,
86,Government Primary School,184,113,4,134,41,,
87,Garhi Sikandar,237,87,0,94,74,,
88,GBHS,330,55,1,65,58,,
89,N/A,223,45,3,69,36,,
90,Government Girl Primary School,330,26,3,38,37,,
91,GHS,221,63,12,366,49,,
92,HMC Boys School Taxila,419,21,13,9,40,,
93,Government Model Community School,191,27,6,296,27,,
94,HMC Girls School Taxila,435,6,14,16,22,,
95,Marry Public School,315,22,11,35,89,,
96,Ishaq Public School,193,5,11,20,18,,
97,Government Girls Community Model School,368,63,6,53,236,,
98,GHS,273,73,3,68,10,,
99,GHS,226,28,3,62,5,,
100,Government Girls Community Model School,204,51,6,88,25,,
101,Government Girls Community Model School,232,36,4,73,8,,
102,Government Boys High School,173,116,4,50,170,,
103,Government Boys High School,108,150,5,80,157,,
104,UET Taxila,278,35,5,61,64,,
105,Mohra Moradu,198,183,6,75,3,,
106,N/A,295,21,6,216,28,,
107,Khuaram Gujar,285,104,7,263,18,,
108,GPS,200,22,0,28,4,,
109,N/A,239,24,5,58,2,,
110,Government Girl Primary School,168,18,4,35,3,,
111,GGPS,199,12,7,64,1,,
112,Taxila,318,95,3,39,36,,
113,Thatha Kalil Road,286,56,4,16,39,,
114,Smart School and College,337,60,1,48,24,,
115,Smart School and College,190,25,5,14,13,,
