No,Name,PML-N,PTI-IND,Total Votes,Filename
1,Government  Model  Elementary  School  no.  1  Bhoth (Combined),287,253,,
2,Government  Boys  Primary  School  Pulli  Top  Khana (PEF) Male,252,406,,
3,Government  Girls  Primary  School  Pulli  Top  Khana (Female),140,302,,
4,Government Boys High School Chak Mandhar (Male),220,231,,
5,Government Boys High School Chak Mandhar (Female),152,187,,
6,Government   Girls   Elementary   School   Rahim   Pur Khichian (Male),193,294,,
7,Government   Girls   Elementary   School   Rahim   Pur Khichian (Female),265,380,,
8,Government Girls Primary School no.2 Bhoth (Male),235,288,,
9,Government Girls Primary School no.2 Bhoth (Female),163,219,,
10,Basic Health Unit Bhoth (East) (Male),375,335,,
11,Basic Health Unit Bhoth (East) (Female),209,238,,
12,Government  Model  Elementary  School  no.1  (Bhoth Male),408,384,,
13,Government  Model  Elementary  School  no.1  (Bhoth Female),214,264,,
14,Basic Health Unit Bhoth (West) (Combined),358,455,,
15,Government Boys High School Bharath (Male),302,467,,
16,Government Boys High School Bharath (Female),213,374,,
17,Government Boys High School Bharath (Male),230,374,,
18,Government Boys High School Bharath (Female),175,308,,
19,Government Boys High School Bharath (Male),452,540,,
20,Government Boys High School Bharath (Female),259,416,,
21,Government Boys Elementary School Gul Bahar Kalan (Combined),179,456,,
22,Government Boys Elementary School Gul Bahar Kalan (Male),188,399,,
23,Government Boys Elementary School Gul Bahar Kalan (Female),156,344,,
24,Government Model Primary School Karool (Combined),502,440,,
25,Government Girls High School Dait,157,590,,
26,Government    Boys    Elementary    School    Mehdipur (Combined),344,537,,
27,Government Boys Elementary School Harspur Malany (Combined),422,631,,
28,Government Girls Primary School Tilak Pur (Combined),445,506,,
29,Government  Boys  Primary  School  Rang  Pur  Jattan (Combined),242,593,,
30,Government Boys Primary School Jhumian Dalan (PEF) (Combined),385,204,,
31,Government Model Primary School Surag Pur (Male),180,452,,
32,Government Model Primary School Surag Pur (Female),178,415,,
33,Government   Model   Primary   School   Malagar   Pur (Combined),207,258,,
34,Government Girls High School Najwal (Combined),412,440,,
35,Government Boys High School Chaprar Khas (Male),266,321,,
36,Government Boys High School Chaprar Khas (Female),165,265,,
37,Government model Elementary School Saleh Pur (Male),226,260,,
38,Government   model   Elementary   School   Saleh   Pur (Female),155,183,,
39,Government Girls Primary School Chadali (Male),328,337,,
40,Government Girls Primary School Chadali (Female),178,186,,
41,Government  Girls  Elementary  School  Kotli  Said  Mir (Male),161,368,,
42,Government  Girls  Elementary  School  Kotli  Said  Mir (Female),104,317,,
43,Govt Girls Primary School Pindi Heeran (Combined),222,371,,
44,Government Boys High School Zahura (Male),235,494,,
45,Government Boys High School Zahura (Female),139,395,,
46,Government Girls Elementary School Bhairi (Combined),224,368,,
47,Government   Model   Primary   School   Romal   Jattan (Combined),141,391,,
