No,Name,PTI-IND,PML-N,JUIF,PPP,TLP,Total Votes,Filename
316,Government Higher Secondary School,342,263,21,42,36,,
298,Degree College Boys,424,246,21,15,29,,
179,Ghss Nari Wash,261,124,41,29,29,,
59,Government Boys School,285,100,2,3,43,,
57,Gges Dhardhar,516,251,1,11,25,,
58,Government Boys Dhardhar,392,136,1,9,53,,
112,Govt Boys Primary School,209,350,0,32,21,,
112,Govt Primary School Chanmbal,0,0,0,0,0,,
63,Govt Boys Es Jabaa,283,308,9,104,175,,
67,Ghs Khaboki,305,236,0,30,168,,
291,Gbos No 1 Hasbali,423,367,23,46,27,,
324,Gps Dhalyanwal,320,245,2,31,33,,
195,Govt Boys Primary School Bhera,226,12,1,111,13,,
132,Ggps Aoir Park,215,184,1,8,24,,
208,Govt Girls Primary School,288,175,27,12,14,,
201,Govt Girls Primary School,300,339,21,110,42,,
214,Govt Mc High School Boys,221,179,268,19,17,,
234,Safah Public Boys,408,312,42,27,37,,
206,High School Gohar Nagar,510,295,44,56,34,,
218,Gps Mc No 5,361,286,31,30,46,,
219,N/A,279,244,23,27,13,,
207,Unani Medical College,383,214,38,19,33,,
205,97 Cf School,785,400,86,96,62,,
196,Arid Agriculture University,128,60,16,30,8,,
N/A,Ghs Anka,313,146,260,14,15,,
4,Ggps Kotli,247,218,10,5,30,,
5,Govt High School Dokali,483,97,21,19,11,,
6,Gghs Ugali,392,153,23,10,9,,
7,Govt Boys Shakkar Kot,165,42,2,124,13,,
8,Ggps Shakkar Kot,374,65,1,70,14,,
9,Govt Girls School Sarhal,585,303,2,17,50,,
10,Gis Dhakkraa,375,99,116,39,35,,
11,Gps Dhabkalla,270,114,71,22,53,,
12,Ggps Chontra,547,164,252,76,77,,
13,Ghs Uchali,301,212,103,36,87,,
14,Govt High School,355,127,78,16,82,,
15,Gghs Aryali,408,181,153,37,52,,
N/A,N/A,190,141,0,16,121,,
17,Es Chatta,318,247,23,6,41,,
18,Govt Girls Primary School Chatta,264,108,8,4,42,,
N/A,Govt Girls High School Koddi,454,249,150,24,11,,
N/A,Gghs Koddi,301,491,164,24,33,,
20,Govt Elementary School Mustafabad,449,173,0,8,38,,
22,Ghs Hardosi,339,182,2,25,14,,
24,Ges Hatir,518,419,6,4,25,,
25,Gps Colony Sadiqabad,344,146,67,39,34,,
26,Govt Model Sadiqabad,309,166,49,43,40,,
27,Govt School Sadiqabad,453,236,79,25,44,,
28,Govt Girls High School Sadiqabad,521,159,94,98,35,,
29,Elementary Girls School Sarki,347,121,16,152,5,,
30,Govt Girls High School Sarki,213,78,3,97,2,,
31,Govt Boys High School Sarki,433,157,13,141,27,,
N/A,Govt High School Khora,382,307,1,41,74,,
33,Girls Khoro,374,136,4,20,145,,
34,Ghs Khurra,165,119,16,16,26,,
35,Gps Khurra,311,156,16,35,42,,
36,Ghs Khurra,290,191,18,22,48,,
37,Daftar Khoro,326,134,34,27,111,,
42,Govt Hardawal,355,264,20,16,31,,
43,Ghs Boys Hardawal,495,351,38,23,20,,
44,Gps Hardawal,394,287,12,28,23,,
45,Gps Masjid Mardawal,410,298,6,29,15,,
46,Gghs Hardawal,388,235,21,12,23,,
47,Govt Girls High School Hardawal,395,212,26,20,18,,
50,N/A,469,305,5,11,18,,
51,Ggps Sadbal,316,162,22,18,8,,
55,Govt Girls Achala,253,54,18,126,37,,
56,Govt Boys School Achala,401,51,36,77,58,,
61,Govt Girls High School Jabba,102,238,6,88,148,,
62,Gghs Jabba,228,308,4,84,33,,
64,Govt Gps Ahmadabad,337,476,1,90,20,,
65,Govt Boys Primary School Khabki,197,134,2,13,170,,
66,Gghs Khabki,292,282,1,40,183,,
68,Ggps Dhokdili,147,210,0,19,232,,
N/A,Gbmc Noshera,361,223,5,59,60,,
70,Gps No 1 Noshera,519,186,14,43,64,,
71,Gcc Noshera,233,157,4,11,15,,
73,N/A,365,227,8,72,99,,
75,Gmps Noshera,292,151,6,35,33,,
76,Thq Noshera,348,211,2,15,39,,
77,Govt Girls High School Noshera,291,123,6,27,28,,
80,Govt School,289,159,10,83,6,,
80,N/A,443,219,10,29,47,,
83,Govt Girls School Dhok,610,207,3,45,67,,
83,Govt Girls Primary School Dhok,610,207,3,45,67,,
84,N/A,432,262,9,37,103,,
84,Govt Boys Primary Dera Baryan,320,175,3,38,68,,
85,Ghs Daiwal,410,139,3,39,96,,
86,Ghs Daiwal,253,63,5,21,36,,
87,Govt Girls Daiwal,540,175,10,109,24,,
88,N/A,218,199,2,23,2,,
89,Govt Boys Dhak,364,174,2,58,62,,
90,Gges Dhak,420,275,4,110,27,,
91,N/A,533,266,3,55,14,,
93,Govt Boys School Jarwal,374,142,1,17,13,,
94,Gps,378,210,2,8,119,,
95,Ggps Marwal,284,219,2,3,59,,
96,Govt Boys Primary No 2 Mangowal,245,166,2,7,62,,
97,Ggcn School,99,338,1,56,38,,
98,Govt Boys Katha,193,297,1,71,57,,
99,Govt Elementry School Boys,295,243,2,61,71,,
100,Union Councel Kath Sacral,454,289,6,99,121,,
101,Kathi Adda Shamali,143,234,2,411,22,,
102,Kotli Rajgaan,119,166,7,67,42,,
103,N/A,181,202,1,130,57,,
104,Govt School,232,262,0,2,71,,
105,Ghs Kuch Hakwal,318,213,1,65,94,,
106,Govt Intermideate Secondary School,429,275,5,81,59,,
107,Govt Primary School Kath Sacral,766,232,1,65,55,,
108,Boys High School,170,360,0,39,39,,
109,Govt Girls School,240,562,6,26,48,,
113,Gbhs Pail,172,436,0,30,78,,
114,Gps,245,433,1,26,69,,
115,Govt Girls High School,246,312,0,23,70,,
116,Ggcm School Pail,178,408,0,32,93,,
117,Gbes Pail,199,319,1,37,26,,
118,Ghs Bider,294,119,1,28,50,,
119,Govt Girls Primary School Mastiyal,324,115,2,33,36,,
120,Gps Haraal,303,261,1,22,51,,
121,Govt High School Bidher,197,277,0,38,47,,
122,Urasal Health Bidher,200,115,3,23,27,,
124,Gps Chab,427,207,0,167,75,,
125,Govt Girls Primary School Dehri,189,170,1,17,32,,
126,Dhan,205,284,0,20,30,,
127,Ggps Kadhar,139,80,0,10,2,,
127,Dare Arqam School Mitha Tiwara,119,111,4,15,29,,
128,Gps Kochara,310,213,0,14,30,,
131,Govt Girls High School Thakki,338,448,0,26,73,,
134,Govt Boys School Kool,333,438,2,32,57,,
135,N/A,388,331,40,111,4,,
136,Govt Boys School Sawal,273,254,23,60,5,,
137,Sahral,313,279,36,43,1,,
138,Ghs Sahral,181,203,21,25,9,,
139,Office Hs Union,121,132,7,23,4,,
140,Govt Girls School,259,264,2,33,69,,
141,Govt School,299,293,2,19,43,,
143,Gmps Dera Ali Wala,141,179,22,80,9,,
