No,Name,PML-N,PPP,PTI-IND,Total Votes,Filename
1,گورنمنٹ بوائز ہائی سکول، چک نمبر 45/گ ب (مرد),762,32,505,,
2,گورنمنٹ گرلز ہائی سکول، چک نمبر 45/گ ب (عورت),530,26,332,,
3,گورنمنٹ بوائز پرائمری سکول، چک نمبر 224/گ ب (مشترکہ),0,0,0,,
4,گورنمنٹ بوائز پرائمری سکول، چک نمبر 225/گ ب (مشترکہ),0,0,0,,
5,گورنمنٹ بوائز ہائی سکول، چک نمبر 222/گ ب (مرد),182,63,395,,
6,گورنمنٹ، گرلز کمیونٹی ماڈل سکول، چک نمبر 222/گ ب (عورت),162,30,283,,
7,گورنمنٹ گرلز مڈل سکول، چک نمبر 223/گ ب (مشترکہ),308,124,441,,
8,گورنمنٹ بوائز پرائمری سکول، چک نمبر 227/گ ب (مرد),262,21,469,,
9,گورنمنٹ بوائز پرائمری سکول، چک نمبر 227/گ ب (عورت),0,0,0,,
10,گورنمنٹ گرلز ہائی سکول، چک نمبر 226/گ ب (مرد),110,138,302,,
11,گورنمنٹ بوائز پی/سکول، چک نمبر 226/گ ب (عورت),73,93,230,,
12,گورنمنٹ گرلز مڈل سکول، چک نمبر 219/گ ب (مرد),285,125,323,,
13,گورنمنٹ گرلز مڈل سکول، چک نمبر 219/گ ب (عورت),0,0,0,,
14,گورنمنٹ گرلز مڈل سکول، چک نمبر 220/گ ب (مشترکہ),281,93,324,,
15,گورنمنٹ گرلز ہائی سکول، چک نمبر 221/گ ب (مرد),0,0,0,,
16,گورنمنٹ بوائز پرائمری سکول، چک نمبر 221/گ ب (عورت),0,0,0,,
17,گورنمنٹ گرلز مڈل سکول، نئی عمارت چک نمبر 217/گ ب (مرد),0,0,0,,
18,گورنمنٹ گرلز مڈل سکول، پرانی عمارت چک نمبر 217/گ ب ساؤتھ (عورت),232,69,340,,
19,گورنمنٹ بوائز ہائی سکول، چک نمبر 218/گ ب (مرد),0,0,0,,
20,گورنمنٹ گرلز ہائی سکول، چک نمبر 218/گ ب (عورت),171,15,375,,
21,گورنمنٹ گرلز ہائی سکول، چک نمبر 473/گ ب (مرد),0,0,0,,
22,گورنمنٹ گرلز ہائی سکول، چک نمبر 473/گ ب (عورت),83,142,202,,
23,گورنمنٹ بوائز پرائمری سکول، چک نمبر 473/گ ب ایسٹ (مرد),0,0,0,,
24,گورنمنٹ گرلز ایلیمنٹری سکول، سکول چک نمبر 473/گ ب ایسٹ (عورت),71,114,168,,
25,گورنمنٹ بوائز ہائی سکول، چک نمبر 474/گ ب (مرد),461,33,384,,
26,گورنمنٹ گرلز پرائمری سکول، چک نمبر 474/گ ب (عورت),306,21,306,,
27,گورنمنٹ گرلز ہائی سکول، چک نمبر 475/گ ب (مرد),0,0,0,,
28,گورنمنٹ گرلز ہائی سکول، چک نمبر 475/گ ب (عورت),0,0,0,,
29,گورنمنٹ بوائز ہائی سکول، چک نمبر 476/گ ب (مرد),318,0,242,,
30,گورنمنٹ بوائز ہائی سکول، چک نمبر 476/گ ب (عورت),0,0,0,,
31,گورنمنٹ گرلز کمیونٹی ماڈل سکول، چک نمبر 477/گ ب (مرد),262,0,244,,
32,گورنمنٹ گرلز کمیونٹی ماڈل سکول، چک نمبر 477/گ ب (عورت),172,0,215,,
33,گورنمنٹ گرلز ہائی سکول، چک نمبر 477/گ ب ویسٹ (مشترکہ),309,0,432,,
34,گورنمنٹ بوائز پرائمری سکول، چک نمبر 478/گ ب (مرد),376,0,378,,
35,گورنمنٹ گرلز ہائی سکول، چک نمبر 478/گ ب (عورت),315,0,331,,
36,گورنمنٹ بوائز ہائی سکول، چک نمبر 479/گ ب (مرد),0,0,0,,
37,گورنمنٹ گرلز ہائی سکول، چک نمبر 479/گ ب (عورت),88,0,149,,
38,گورنمنٹ بوائز پرائمری سکول، چک نمبر 480/گ ب (مرد),288,0,282,,
39,گورنمنٹ گرلز مڈل سکول، چک نمبر 480/گ ب (عورت),231,0,231,,
40,گورنمنٹ بوائز پرائمری سکول، چک نمبر 481/گ ب (مرد),217,0,132,,
41,گورنمنٹ گرلز پرائمری سکول، چک نمبر 481/گ ب (عورت),0,0,0,,
42,گورنمنٹ بوائز پرائمری سکول، چک نمبر 43/گ ب (مرد),341,0,158,,
43,گورنمنٹ گرلز پرائمری سکول، چک نمبر 43/گ ب (عورت),208,0,106,,
44,گورنمنٹ بوائز پرائمری سکول، چک نمبر 47/گ ب (مرد),0,0,0,,
45,گرلز کمیونٹی ماڈل سکول، چک نمبر 47/گ ب (عورت),276,0,164,,
46,گورنمنٹ بوائز ہائی سکول، چک نمبر 47/گ ب (مرد),198,0,98,,
47,گرلز کمیونٹی ماڈل سکول، چک نمبر 47/گ ب (عورت),104,0,405,,
48,گورنمنٹ بوائز پرائمری سکول، چک نمبر 44/گ ب (مرد),213,0,100,,
49,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 44/گ ب (عورت),186,0,64,,
50,گورنمنٹ بوائز پرائمری سکول، چک نمبر 46/گ ب (مشترکہ),439,0,223,,
51,گورنمنٹ گرلز پرائمری سکول، چک نمبر 46/گ ب (مرد),462,0,290,,
52,گورنمنٹ گرلز پرائمری سکول، چک نمبر 46/گ ب (عورت),0,0,0,,
53,گورنمنٹ گرلز مڈل سکول، چک نمبر 48/گ ب (مرد),361,0,366,,
54,گورنمنٹ گرلز مڈل سکول، چک نمبر 48/گ ب (عورت),250,0,252,,
55,گورنمنٹ گرلز کمیونٹیز ماڈل پرائمری سکول، چک نمبر 48/گ ب (مشترکہ),0,0,0,,
56,گورنمنٹ گرلز ہائی سکول، چک نمبر 49/گ ب (مرد),267,0,269,,
57,گورنمنٹ گرلز ہائی سکول، چک نمبر 49/گ ب (عورت),2,0,222,,
58,گورنمنٹ بوائز پرائمری سکول، چک نمبر 49/گ ب (مشترکہ),198,0,590,,
59,گورنمنٹ بوائز پرائمری سکول، چک نمبر 41/گ ب (مرد),546,0,522,,
60,گورنمنٹ گرلز پرائمری سکول، چک نمبر 41/گ ب (عورت),0,0,0,,
61,گورنمنٹ گرلز ایلیمنٹری سکول-I، نئی آبادی چک نمبر 42/گ ب (مرد),288,0,318,,
62,گورنمنٹ گرلز پرائمری سکول-II، نئی آبادی چک نمبر 42/گ ب (عورت),0,0,0,,
63,گورنمنٹ بوائز ہائی سکول، چک نمبر 228/گ ب (مرد),191,0,318,,
64,گورنمنٹ گرلز ہائی سکول، چک نمبر 228/گ ب (عورت),171,0,243,,
65,بیسک ہیلتھ یونٹ چک نمبر 228/گ ب (مشترکہ),131,0,365,,
66,گورنمنٹ بوائز ہائی سکول، چک نمبر 51/گ ب (مرد),332,0,181,,
67,گورنمنٹ گرلز مڈل سکول، چک نمبر 51/گ ب (عورت),244,0,136,,
68,گورنمنٹ گرلز ایلیمنٹری سکول، سکول جونیئر کمپلیکس چک نمبر 52/گ ب (مرد),142,0,206,,
69,گورنمنٹ گرلز ای/سکول، سینئر کیمپس چک نمبر 52/گ ب (عورت),0,0,0,,
70,گورنمنٹ گرلز مڈل سکول، چک نمبر 529/گ ب (مشترکہ),320,0,152,,
71,گورنمنٹ بوائز ہائی سکول، چک نمبر 530/گ ب (مرد),294,0,102,,
72,گورنمنٹ گرلز ہائی سکول، چک نمبر 530/گ ب (عورت),0,0,0,,
73,گورنمنٹ بوائز پرائمری سکول، چک نمبر 531/گ ب (مرد),294,0,248,,
74,گورنمنٹ گرلز مڈل سکول، چک نمبر 531/گ ب (عورت),175,0,103,,
75,گورنمنٹ بوائز پرائمری سکول، چک نمبر 50/گ ب (مرد),122,0,330,,
76,گورنمنٹ گرلز ایلیمنٹری سکول، چک نمبر 50/گ ب (عورت),523,0,509,,
77,گورنمنٹ گرلز ہائی سکول، چک نمبر 134/گ ب (مشترکہ),240,0,316,,
78,گورنمنٹ بوائز ہائی سکول، چک نمبر 135/گ ب (مشترکہ),127,0,122,,
79,گورنمنٹ بوائز ہائی سکول، چک نمبر 527/گ ب (مرد),344,0,560,,
80,گورنمنٹ گرلز ہائیر سیکنڈری سکول، چک نمبر 527/گ ب (عورت),209,0,389,,
81,گورنمنٹ بوائز پرائمری سکول، چک نمبر 528/گ ب جٹیانہ (مشترکہ),0,0,0,,
82,گورنمنٹ گرلز کمیونٹی ماڈل، چک نمبر 528/گ ب منو پور (مشترکہ),509,0,203,,
83,گورنمنٹ گرلز ہائی سکول، چک نمبر 136/گ ب ایسٹ (مرد),0,0,0,,
84,گورنمنٹ گرلز ہائی سکول، چک نمبر 136/گ ب ایسٹ (عورت),279,0,455,,
85,گورنمنٹ گرلز پرائمری سکول،چک نمبر 136/گ ب ویسٹ (مشترکہ),0,0,0,,
86,گورنمنٹ گرلز پرائمری سکول، چک نمبر 372/گ ب (مرد),175,0,420,,
87,گورنمنٹ گرلز پرائمری سکول، چک نمبر 372/گ ب (عورت),112,0,240,,
88,گورنمنٹ بوائز پرائمری سکول، چک نمبر 373/گ ب کرمسر (مرد),0,0,0,,
89,گورنمنٹ بوائز پرائمری سکول، چک نمبر 373/گ ب کرمسر (عورت),0,0,0,,
