No,Name,PTI-IND,PML-N,Total Votes,Filename
1,Directorate of Social Security 65 GT Road Shahdara Lahore (Male-I),351,202,,
2,"Oldage Employees benefit main G.T.Road, Kot Shahab Din Shahdara Lahore",245,138,,
3,"Directorate of Social Security 65 G.T. Road
Shahdara Lahore",255,125,,
4,"Directorate of Social Security 65 GT Road
Shahdara Lahore (Male-II)",297,187,,
5,"East School (Campus-I near wahla Almari) Bazar Kot Shahab ud Din Shahdara, Lahore (Male-I)",402,220,,
6,"Iqra Roza tul atfaal street no. 8, lajpat Road, Shahdara Lahore (Female-I)",200,145,,
7,"East School Chattaha Park, Lajpat Road, Lahore (Combined)",205,194,,
8,"East School (Campus-II) Bazar Kot Shahab ud Din Shahdara, Lahore (Male-II)",309,169,,
9,"East School Chattaha Park , Lajpat Road, Lahore (Male)",213,133,,
10,"East School Bazar Kot Shahab ud Din Shahdara, Lahore (Female)",258,163,,
11,"East School Chattaha Park, Lajpat Road, Lahore (Female)",104,116,,
12,"Adeel Central Model School, St. No. 4, Chatha Park, Shahdara",244,258,,
13,"Wisdom Land High School, Sui Gas Chowk Lajpat Road Shahdara",149,170,,
14,"Royal Educare the School, Lajpat Road, gulzar Colony, Shahdara, Lahore(Male)",340,223,,
15,"Paradise School, Islam Nagar Chowk, Bagh wali Gali, Shahdra, Lahore (Male-I)",254,186,,
16,"Royal Educare the School, Lajpat Road, Gulzar colony, Shahdara, Lahore((Female)",187,168,,
17,"Paradise School, Islam Nagar Chowk, Bagh wali Gali, Shahdra, Lahore (Female-I)",186,140,,
18,"Paradise School, Islam Nagar Chowk, Bagh wali Gali, Shahdra, Lahore (Male-II)",379,207,,
19,"Paradise School, Islam Nagar Chowk, Bagh wali Gali, Shahdra, Lahore (Female-II)",308,156,,
20,"Inspirer School (OLD MILLAT SCHOOL), Mustafa Street 34 Islamia Coloney Wandala Road, Shahdara Lahore",475,232,,
21,New Muslim Modle School Near Masjid Anayat Ghoshia Near Aziz Colony Shahdara Lahore,291,152,,
22,"Allied School, Aziz Coloney, Wandala Road, Shahdara Lahore",420,229,,
23,Quest Modle High School Sir Shahab Park Shahdara Lahore (Male),352,264,,
24,Quest Modle High School Sir Shahab Park Shahdara Lahore (Female),222,205,,
25,"CDG Boys High School, Islam Nagar, Shahdara, Lahore",388,238,,
26,"Iqra Roza tul atfaal street no. 8, lajpat Road, Shahdara Lahore (Female-II)",260,217,,
27,"Iqra Roza tul atfaal street no. 8, lajpat Road, Shahdara Lahore (Female-II)",146,66,,
28,"Star School Ravi Campus (OLD RAVI ACADEMY)St# 09, Lajpat Road Shahdra Lahore",240,165,,
29,"Star School Ravi Campus (OLD RAVI ACADEMY) St# 09, Lajpat Road Shahdra Lahore",166,112,,
30,"City District Govt. High School Boys, Islam Nagar Shahdara Lahore (Combined)",251,140,,
31,"City District Govt. High School Boys, Islam Nagar Shahdara Lahore (Male)",300,161,,
32,"CDG Girls Middle School, Islam Nagar Shahdara(PP 145/27) Female",196,115,,
33,"Nusrat Modle School wandala road Road, Near Muhammadi Chowk, Shahdara Lahore. (Male)",309,191,,
34,"Nusrat Modle School wandala Road, near Muhammadi Chowk, Shahdara Lahore. (Female)",232,145,,
35,"Al-Suffa Foundation School English Ilam Din Colony , wandala road Shahdara Lahore. (Male)",443,167,,
36,"Al-Suffa Foundation School English Ilam Din Colony , wandala road Shahdara Lahore. (Female)",317,127,,
37,"Govt. Girls Elementary Ex-MCL School Weaving Factory, GT Road, Shahdra, Lahore. (Male)",295,118,,
38,"Govt. Girls Elementary Ex-MCL School Weaving Factory, GT Road, Shahdra, Lahore(Female)",251,109,,
39,"City District Govt. Girls High School, G.T.",325,223,,
40,"City District Govt. Girls High School, G.T. Road, Shahdara Lahore. (Female)",235,172,,
41,"Govt. Vocational Training Institute, Matchis Factory, Shahdara, Lahore",199,85,,
42,"CDG Girls High School, Machis Factory Shahdara, Lahore (Male)",121,22,,
43,"CDG Girls High School, Machis Factory Shahdara, Lahore (Female)",239,98,,
44,Govt. Boys Primary school  weaving Factory  Shahdara Lahore. (Combined),211,91,,
45,Govt College of Technology Potry Tevta Match Factory Shahdara Lahore (Male),405,107,,
46,Govt College of Technology Potry Tevta Match Factory Shahdara Lahore (Female),319,96,,
47,"Govt. Boys High School, Chota Gaon, Street No.25, Jinnah Road, Islampura, Shahdara Lahore. (Male)",292,92,,
48,"Govt. Boys High School,Chota Gaon,Street No.25, Jinnah Road, Islampura,  Shahdara Lahore. (Female)",202,61,,
49,"The Learner School Kala Khatai Mor Near, Ali Park, Shahdara, Lahore (Male)",193,568,,
50,"The Learner School Kala Khatai Mor Near, Ali Park, Shahdara, Lahore (Female)",123,336,,
51,"UK School, Ali Park Garvi Mohalla, Shahdara, Lahore (Male)",279,107,,
52,"UK School, Ali Park Garvi Mohalla, Shahdara, Lahore (Female)",113,59,,
53,"Stars high school Faisal Park Imamia Colony Campus, Shahdara Lahore (Male)",356,156,,
54,"Stars high School Faisal Park Imamia Clolony Campus, Shahdara Lahore (Female)",252,132,,
55,"Allied School, Barkat Town, Faisal Park, Shahdara, Lahore (Female)",159,98,,
56,"Allied School, Barkat Town, Faisal Park, Shahdara, Lahore (Male)",291,166,,
57,"City District Govt. High School, Haji Kot, Kala Khatai Road, Shahadra, Lahore (Male-I)",255,171,,
58,"City District Govt. High School, Haji Kot, Kala Khatai Road, Shahadra, Lahore (Female-I)",127,156,,
59,"City District Govt. High School, Haji Kot, Kala Khatai Road, Shahadra, Lahore (Male-II)",335,193,,
60,"City District Govt. High School, Haji Kot, Kala Khatai Road, Shahadra, Lahore (Female-II)",200,156,,
61,"Al-Farooq High School, Javaid Park, Kala Khatai Road, Shahdara (Male)",158,197,,
62,"Al-Farooq High School, Javaid Park, Kala Khatai Road, Shahara (Female)",90,148,,
63,"Govt. Girls Primary School Javaid Par, Kala Khatai Road, Shahdara Lahore",271,252,,
64,"CDG Middle School Barkat Town, Shahdra, Lahore (Male-I)",226,181,,
65,"CDG Middle School Barkat Town, Shahdra, Lahore (Male-II)",445,287,,
66,"Ideal Public School, Street No.10, Barkat Town, Shahdara, Lahore (Female-I)",210,216,,
67,"Ideal Public School, Street No.10, Barkat Town, Shahdara, Lahore (Female-II)",208,155,,
68,"PSE Law College, Nain Sukh, Shahdara",404,359,,
69,"Govt. Public Modle High School for Boys, Nain Sukh, Parchi Stop  Shahdara Lahore",218,315,,
70,Universal Grammar School Barkat Town,95,54,,
71,"Govt. Public Modle High School for Boys Nain  Sukh, Parchi Stop, Shahdara , Lahore (Male-I)",272,318,,
