No,Name,IND-PTI,PML-N,Total Votes,Filename
1,1 - The Smart School 17-B`/`A windsor park Ichra Lahore (Male)-I,424,235,,
2,2 - The Smart School 17-B`/`A windsor park Ichra Lahore Female-III,211,139,,
3,3 - The Smart School 17-B`/`A windsor park Ichra Lahore (Male)-II,330,230,,
4,4 - The Smart School 17-B`/`A windsor park Ichra Lahore (Female)-II,312,142,,
5,5 - EFA School Ichra Lahore (Male)-I,359,251,,
6,6 - EFA School Ichra Lahore (Female)-I,282,199,,
7,7 - Government N.D Islamia High School Ichhra lahore (Male)-I,315,186,,
8,8 - Government N.D Islamia High School Ichhra lahore (Female)-I,346,284,,
9,9 - Government N.D Islamia High School Ichhra lahore (Combined)-I,194,142,,
10,10 - Government N.D Islamia High School Ichhra lahore (Male)-II,309,243,,
11,11 - Government N.D Islamia High School Ichhra lahore (Female)-II,164,145,,
12,12 - Kanz Ul Iman Beacon School Peer Ghazi Road Ichra (Combined)-I,217,167,,
13,13 - Standard Model School Per Ghazi Road Icchra Lahore (Male)-I,163,114,,
14,14 - Standard Model School Per Ghazi Road Icchra Lahore (Female)-I,136,76,,
15,15 - Standard Model School Per Ghazi Road Icchra Lahore (Male)-II,326,268,,
16,16 - Standard Model School Per Ghazi Road Icchra Lahore (Female)-II,240,187,,
17,17 - Government Girls High School Sultan Ahmad Road Ichhra Lahore (Male)-I,311,246,,
18,18 - Government Girls High School Sultan Ahmad Road Ichhra Lahore (Female)- I,219,161,,
19,19 - Native School Ahmad Munir Shaheed Road Ichra Lahore (Male)-I,295,177,,
20,20 - Native School Ahmad Munir Shaheed Road Ichra Lahore (Female)-I,194,125,,
21,21 - Government Girls High School Sultan Ahmad Road Ichhra Lahore (Combined)-I,283,247,,
22,22 - Government Girls High School Sultan Ahmad Road Ichhra Lahore (Male)-II,359,280,,
23,23 - Government Girls High School Sultan Ahmad Road Ichhra Lahore (Female)- II,317,181,,
24,24 - Unique School Siddiqi Building Rehmanpura (Male)-I,447,314,,
25,25 - Unique School Siddiqi Building Rehmanpura (Female)-I,333,195,,
26,26 - Unique School Siddiqi Building Rehmanpura (Male)-II,514,240,,
27,27 - Unique School Siddiqi Building Rehmanpura (Female)-II,437,200,,
28,28 - Ali Scholar School (Combined)-I,472,247,,
29,29 - Ali Scholar School (Male)-I,464,226,,
30,30 - Ali Scholar School (Female)-I,394,130,,
31,31 - Government Pilot Secondary School For Girls Wahdat Colony Lahore (Male)-I,233,137,,
32,32 - Government Pilot Secondary School For Girls Wahdat Colony Lahore (Female)-I,175,96,,
33,33 - CDGL GIRLS MIDDLE SCHOOL SHAHKAMAL (Male)-I,338,179,,
34,34 - CDGL GIRLS MIDDLE SCHOOL SHAHKAMAL (Female)-I,218,135,,
35,35 - CDGL GIRLS MIDDLE SCHOOL SHAHKAMAL (Male)-II,455,260,,
36,36 - CDGL GIRLS MIDDLE SCHOOL SHAHKAMAL Female-III,378,194,,
37,37 - Big Ben City High School Ashiq Chowk (Combined)-I,407,189,,
38,"38 - AL-MUNAWAR PUBLIC HIGH SCHOOL LALA ZAR CAMPUS LALAZAR
COLONY AWAIS KERNI ROAD (Combined)-I",273,144,,
