No,Name,IND-PTI,JIP,MQM-P,PPP,Total Votes,Filename
1,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),101,100,12,25,,
2,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),175,184,36,65,,
3,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),108,120,4,209,,
4,Falcon House Grammar School Blk-7 Gulistan-e-Johar (Combined),145,107,35,27,,
5,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",305,155,28,27,,
6,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",365,266,30,37,,
7,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",373,244,18,23,,
8,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",236,109,25,11,,
9,"The Seeds School, Gulistan-e-Johar Block-7 (Combined)",383,218,22,54,,
10,GBPS Ahad Primary School Pehlwan Goth (Combined),175,92,6,165,,
11,GBPS Ahad Primary School Pehlwan Goth (Combined),102,66,4,67,,
12,Tuba Public School Pehlwan Goth (Combined),232,134,2,104,,
13,Tuba Public School Pehlwan Goth (Combined),228,96,8,86,,
14,GBPS Ahad Primary School Pehlwan Goth (Combined),256,131,1,198,,
15,Tuba Public School Pehlwan Goth (Combined),136,85,3,287,,
16,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),207,106,13,10,,
17,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),170,95,9,13,,
18,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),428,245,31,11,,
19,Shaheen Public School Block-2 Gulistan-e-Johar (Combined)  (POLLING CALLED OFF),0,0,0,0,,
20,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),286,166,9,11,,
21,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),255,25,4,112,,
22,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),350,195,18,13,,
23,Shaheen Public School Block-2 Gulistan-e-Johar (Male),728,336,49,67,,
24,Shaheen Public School Block-2 Gulistan-e-Johar (Female),574,220,0,18,,
25,Shaheen Public School Block-2 Gulistan-e-Johar (Combined),329,192,28,18,,
26,"Aaqa Institute of Sceince Technology, Zikri Goth Block-11, Gulistan-eJohar(c",418,234,20,72,,
27,"Aaqa Institute of Sceince Technology, Zikri Goth Block-11, Gulistan-eJohar(c",152,125,4,224,,
28,"Aaqa Institute of Sceince Technology, Zikri Goth Block-11, Gulistan-eJohar(c",201,150,17,207,,
29,Income Tax Building Block-15 (Male),451,218,29,11,,
30,Income Tax Building Block-15 (Female),438,147,17,8,,
31,Income Tax Building Block-15 (Male),289,155,23,9,,
32,Income Tax Building Block-15 (Male),263,138,18,2,,
33,Income Tax Building Block-15 (Combined),345,164,29,15,,
34,Income Tax Building Block-15 (Combined),455,228,1,17,,
35,Income Tax Building Block-15 (Combined),262,111,18,7,,
36,Income Tax Building Block-15 (Combined),313,138,20,2,,
37,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),241,11,126,11,,
38,Geological Survey of Pakistan Block-2 Gulistan-e-Johar (Combined),132,70,16,4,,
39,Income Tax Building Block-15 (Combined),423,225,41,13,,
40,Income Tax Building Block-15 (Combined),473,278,23,15,,
41,Institute of Clinical Psychology Gulistan-e-Johar (Combined),394,276,30,11,,
42,The Educators School Gulshan CampusIII Block-10-A Gulistan-e-Johar (Co,455,227,44,18,,
43,Institute of Clinical Psychology Gulistan-e-Johar (Combined),208,101,23,8,,
44,Barkley Public Model School Gulistane-Johar (Combined),257,151,13,21,,
45,Barkley Public Model School Gulistane-Johar (Combined),250,129,41,14,,
46,New Earth School Block-17 Gulistan-e-Johar (Combined),422,232,278,28,,
47,Institute of Clinical Psychology Gulistan-e-Johar (Combined),331,102,39,12,,
