No,Name,PTI-IND,JIP,MQM-P,PPP,Total Votes,Filename
1,"138-B.Y.J. GBSS Hyderabad Colony, (Combined)",238,296,20,2,,
2,"139-B.Y.J. GBSS Hyderabad Colony, (Combined)",278,216,91,10,,
3,140-Education Office  Jamshed Town Faima Jinnah Colony  Near BYJ School (Combined),240,209,27,18,,
4,141-Education Office  Jamshed Town Faima Jinnah Colony  Near BYJ School (Combined),190,236,30,10,,
5,142-KMC Elementry School (Combined),212,0,0,6,,
6,143-KMC Elementry School (Combined),210,234,16,3,,
7,144-Safia Memorial School Near Gurumandar (Combined),407,481,21,8,,
8,145-Safia Memorial School Near Gurumandar (Combined),239,268,8,20,,
9,"165-GBSS Pakistan Quarters, (Combined)",264,244,145,94,,
10,"166-GBSS Pakistan Quarters, (Combined)",177,0,0,48,,
11,167-Hali Muslim Government Boys School Nishter Road (Combined),349,49,8,24,,
12,"168-Progressive Model School near Karachi Auditoriom Nashtar Road Garden West, (Combined)",300,226,67,17,,
13,"169-Progressive Model School near Karachi Auditoriom Nashtar Road Garden West, (Combined)",57,124,2,39,,
14,"170-GBSS Pakistan Quarters, (Combined)",0,0,0,0,,
15,"171-GBPS Ibrahim Ali Bhai No. 3  Nashtar Road, (Combined)",368,199,28,32,,
16,"172-GBPS Ibrahim Ali Bhai No. 3  Nashtar Road, (male)",199,67,24,26,,
17,"173-GBPS Ibrahim Ali Bhai No. 3  Nashtar Road, (Female)",0,0,0,0,,
18,"174-GBPS Ibrahim Ali Bhai No. 3  Nashtar Road, (Combined)",0,0,0,0,,
19,"175-Progressive Model School near Karachi Auditoriom Nashtar Road Garden West, (Combined)",229,99,35,67,,
20,176-GGSS Ibrahim Ali bhai (Combined),235,79,21,25,,
21,177-GGSS Ibrahim Ali bhai (Male),324,116,42,35,,
22,178-GGSS Ibrahim Ali bhai (Female),0,0,0,0,,
23,"179-Progressive Model School near Karachi Auditoriom Nashtar Road Garden West, (Combined)",306,130,37,27,,
24,180-Prince Garden School near Kashan-e-Hyderi (Combined),259,153,54,25,,
25,181-Prince Garden School near Kashan-e-Hyderi (Combined),0,0,0,0,,
26,182-Bangali Govt. Girls School Lasbellah (Combined),363,128,34,48,,
27,183-Bangali Govt. Girls School Lasbellah (Combined),148,0,0,133,,
28,184-Bangali Govt. Girls School Lasbellah (Combined),200,0,0,44,,
29,185-Bangali Govt. Girls School Lasbellah (Combined),119,0,0,0,,
30,"186-Adam Jee Science College Soilder Bazar, (Combined)",222,120,34,36,,
31,"187-Adam Jee Science College Soilder Bazar, (Combined)",302,138,27,68,,
32,"188-CDGK Girls & Boys  Primary School JT-41/42 near Jahangiri Masjid Bijili Ground,, (Combined",217,126,38,0,,
33,"189-CDGK Girls & Boys  Primary School JT-41/42 near Jahangiri Masjid Bijili Ground,, (Combined)",221,0,0,22,,
34,"190-Community Center Cabnet  Division Govt. of Pakistan near AL Asifa Ground, Patel Para  (Combined)",116,36,10,19,,
35,"191-Community Center Cabnet  Division Govt. of Pakistan near AL Asifa Ground, Patel Para  (Combined)",274,181,89,60,,
36,"192-GBSS No. 3 Jhangir Road,  (Combined)",247,115,29,39,,
37,"193-GBSS No. 3 Jhangir Road,  (Combined)",221,151,76,23,,
38,"194-GBSS No. 3 Jhangir Road,  (Combined)",351,202,116,33,,
39,"195-GBSS No. 3 Jhangir Road,  (Combined)",276,145,124,107,,
40,"196-GBSS No. 1 Jhangir Road,  (Combined)",0,0,0,0,,
