No,Name,IND-PTI,JIP,MQM-P,Total Votes,Filename
1,"1 - N.H Public High School Campus 1, Zia Colony, Mominabad, Orangi Town (Male)-I",249,121,4,,
2,"2 - N.H Public High School Main Campus, Zia Colony, Mominabad, Orangi Town (Female)-I",78,33,4,,
3,"3 - N.H Public High School Main Campus, Zia Colony, Mominabad, Orangi Town (Combined)-I",250,0,0,,
4,4 - UA Foundation School Main Campus (Combined) (Combined)-III,95,42,0,,
5,5 - UA Foundation School Main Campus (Combined) (Combined)-III,129,41,3,,
6,6 - UA Foundation School Campus 01 (Combined)-II,223,45,5,,
7,7 - UA Foundation School Campus 01 (Combined)-II,199,97,2,,
8,8 - UA Foundation School Campus 2 (Male)-I,163,103,12,,
9,9 - UA Foundation School Campus 2 (Female)-I,84,47,3,,
10,10 - GBSS. Shams Mujahid Colony (Combined)-III,308,58,79,,
11,11 - GBSS. Shams Mujahid Colony (Combined)-III,129,41,93,,
12,12 - Behzad High School (Male)-I,190,104,81,,
13,13 - Behzad High School (Female)-I,122,49,33,,
14,14 - Behzad High School (Combined)-I,172,57,68,,
15,15 - GBPS. M. Hussain Sec 4`/`B. (Combined)-V,165,64,69,,
16,16 - GBPS. M. Hussain Sec 4`/`B. (Combined)-V,211,54,21,,
17,17 - GBPS. M. Hussain Sec 4`/`B. (Combined)-V,308,87,104,,
18,18 - GBPS Shams Bilji Nagar School (Male)-II,203,94,39,,
19,19 - GBPS Shams Bilji Nagar School (Male)-II,120,68,46,,
20,20 - Shadab Public School (Female)-I,166,57,25,,
21,21 - B.M Grammar School (Male)-IV,158,157,101,,
22,22 - B.M Grammar School (Female)-IV,103,58,34,,
23,23 - B.M Grammar School (Male)-IV,135,150,17,,
24,24 - GBPS Al-Mustafa Islam Nagar (Female) (Female)-I,54,80,5,,
25,25 - GBPS Qudsia School (Combined)-II,239,83,1,,
26,26 - GBPS Qudsia School (Combined)-II,149,90,25,,
27,27 - New Standard Secondary School (Combined)-I,277,76,4,,
28,28 - GBSS. Shams Mujahid Colony Sec 4-F (Male)-I,182,81,7,,
29,29 - GBSS. Shams Mujahid Colony Sec 4-F (Female)-I,89,42,3,,
30,30 - GBSS. Shams Mujahid Colony Sec 4-F (Combined)-III,148,43,0,,
31,31 - Excellent Children Academy (Male)-I,137,88,96,,
32,32 - Excellent Children Academy (Combined)-I,112,67,73,,
33,33 - Excellent Children Academy (Female)-I,74,45,30,,
34,34 - GBPS. Orangi Public School (Male)-II,116,99,77,,
35,35 - GBPS. Orangi Public School (Male)-II,139,61,107,,
36,36 - GBPS. Orangi Public School (Female)-I,143,71,75,,
37,37 - 5. Talant World Public School (Male)-I,169,57,45,,
38,38 - 5. Talant World Public School (Female)-I,72,34,21,,
39,39 - 5. Talant World Public School (Combined)-II,128,40,13,,
40,40 - 5. Talant World Public School (Combined)-II,165,147,132,,
41,41 - Umar Ideal Public Seconadery School (Combined)-I,148,123,44,,
42,42 - 21. GBSS New Happy Garden at Bismillah Colony (Male)-I,133,64,36,,
43,43 - 21. GBSS New Happy Garden at Bismillah Colony (Female)-I,63,26,16,,
44,44 - GBPS Bismillah Colony (Combined)-II                        (NO VOTE CAST),0,0,0,,
45,45 - GBPS Bismillah Colony (Combined)-II,109,65,110,,
46,46 - B.M Grammar Secondary School (Male)-IV       (NO VOTE CAST),0,0,0,,
47,47 - B.M Grammar Secondary School (Male)-IV,77,35,202,,
48,48 - B.M Grammar Secondary School (Female)-IV,0,0,0,,
49,49 - B.M Grammar Secondary School (Female)-IV,93,24,117,,
50,50 - 16. GBPS Yaqoobabad at Haryana Colony (Combined)-I,112,57,93,,
51,51 - 16. GBPS Yaqoobabad at Haryana Colony (Combined)- III,0,0,0,,
52,52 - 16. GBPS Yaqoobabad at Haryana Colony (Combined)-I,210,184,226,,
53,53 - Al Hamd Public School (Combined)-I,242,83,68,,
54,54 - Modern Age School (Combined)-I,97,92,56,,
55,55 - 29. Nayab Public School (Combined)-II,113,83,21,,
56,56 - 29. Nayab Public School (Combined)-II,128,111,7,,
57,57 - 30. Hasnain Public School (Combined)-I,102,76,44,,
58,58 - 32. Hasnain Public School (Combined)-I,104,61,85,,
59,59 - 23. GBPS Rehmania (Combined)-II,62,54,11,,
60,60 - 23. GBPS Rehmania (Combined)-II,47,105,7,,
61,61 - 24. GBPS. J`/`M Abaidabad (Combined)-II,51,76,4,,
62,62 - 24. GBPS. J`/`M Abaidabad (Combined)-II,109,84,16,,
63,63 - Ideal English Grammer School (Male)-II,226,142,7,,
64,64 - Ideal English Grammer School (Female)-II,86,40,1,,
65,65 - Ideal English Grammer School (Male)-II,32,75,38,,
66,66 - Ideal English Grammer School (Female)-II,9,56,17,,
67,67 - Pasban e Millat Public Secondary School (Male)-I,136,54,4,,
68,68 - Dua Public School (Female)-I,40,23,0,,
69,69 - Hill Valley School (Combined)-III,156,46,1,,
70,70 - Hill Valley School (Combined)-III,89,22,1,,
71,71 - Hill Valley School (Combined)-III,150,26,0,,
72,72 - 33. Al-Habib Public School Shah Moh (Male)-I,235,95,1,,
73,73 - 33. Al-Habib Public School Shah Moh (Female)-I,90,46,0,,
74,74 - 34. Bright Way Grammar School (Male)-II,0,0,0,,
75,75 - 34. Bright Way Grammar School (Male)-II,148,85,220,,
76,76 - 35. Superior Model Sec School (Female)-II,72,21,44,,
77,77 - 35. Superior Model Sec School (Female)-II,118,37,104,,
